id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,torque,horsepower,fuel_type,fuel_efficiency,engine_type
EN0011,DieselMax 9,37.0,1947.0,High-performance diesel engine.,engine,BrandA,17.51,81.32,"(1.43, 1.06, 1.47)","{'Aluminum': 80, 'Titanium': 20}",low,237.5,368.2,Diesel,11.9,hybrid
EN0012,TorqueX 4,22.0,2711.86,Efficient diesel engine.,engine,BrandA,17.43,179.43,"(0.58, 1.38, 0.95)","{'Copper': 50, 'Steel': 50}",high,229.4,429.2,Diesel,37.0,electric
EN0013,VoltDrive 9,45.0,2423.35,High-performance diesel engine.,engine,BrandC,17.49,97.99,"(1.01, 1.29, 1.1)","{'Aluminum': 80, 'Titanium': 20}",high,417.5,284.0,Diesel,18.6,hybrid
EN0014,TorqueX 1,2.0,4535.52,High-performance diesel engine.,engine,BrandE,17.35,82.4,"(0.88, 1.21, 0.7)","{'Copper': 50, 'Steel': 50}",medium,269.1,255.0,Diesel,32.9,hybrid
EN0015,DieselMax 1,47.0,3066.28,Reliable electric engine.,engine,BrandE,17.43,93.66,"(1.41, 1.08, 1.03)","{'Aluminum': 80, 'Titanium': 20}",high,588.3,178.9,Electric,15.0,hybrid
EN0016,PowerCore 9,2.0,3021.52,Advanced petrol engine.,engine,BrandC,17.44,182.05,"(1.17, 1.19, 1.28)","{'Copper': 50, 'Steel': 50}",high,291.2,336.6,Petrol,11.3,petrol
EN0017,VoltDrive 5,16.0,1737.75,Efficient electric engine.,engine,BrandE,17.3,92.8,"(1.36, 1.36, 0.64)","{'Steel': 60, 'Aluminum': 40}",high,453.0,415.0,Electric,22.4,hybrid
EN0018,VoltDrive 1,17.0,2815.75,High-performance petrol engine.,engine,BrandB,17.52,143.56,"(1.4, 1.47, 0.88)","{'Steel': 60, 'Aluminum': 40}",medium,331.2,244.3,Petrol,32.5,electric
EN0019,DieselMax 3,20.0,2176.77,Efficient diesel engine.,engine,BrandA,17.54,182.31,"(0.6, 0.52, 0.69)","{'Steel': 75, 'Iron': 25}",high,452.3,168.3,Diesel,11.0,petrol
EN0020,TorqueX 1,8.0,1711.06,Efficient electric engine.,engine,BrandE,17.5,80.25,"(1.05, 0.56, 0.67)","{'Steel': 75, 'Iron': 25}",high,277.6,496.5,Electric,47.5,hybrid
EN0021,TorqueX 8,4.0,1745.51,High-performance hybrid engine.,engine,BrandE,17.43,138.6,"(0.66, 1.22, 0.59)","{'Steel': 60, 'Aluminum': 40}",low,390.0,149.7,Hybrid,31.2,diesel
EN0022,VoltDrive 7,18.0,1702.54,Advanced diesel engine.,engine,BrandA,17.45,117.21,"(1.42, 1.34, 0.52)","{'Steel': 60, 'Aluminum': 40}",low,492.5,240.9,Diesel,35.7,electric
EN0023,TorqueX 3,5.0,2023.75,Advanced diesel engine.,engine,BrandC,17.55,163.29,"(0.96, 1.2, 0.55)","{'Steel': 60, 'Aluminum': 40}",low,229.0,431.3,Diesel,12.8,diesel
EN0024,TorqueX 8,41.0,3888.51,Reliable petrol engine.,engine,BrandE,17.53,105.99,"(0.79, 1.2, 1.01)","{'Steel': 75, 'Iron': 25}",medium,230.6,480.1,Petrol,22.8,electric
EN0025,TorqueX 5,31.0,2746.78,High-performance electric engine.,engine,BrandB,17.59,147.79,"(0.54, 1.22, 1.41)","{'Steel': 70, 'Aluminum': 30}",medium,240.9,476.0,Electric,45.9,hybrid
EN0026,HorsePower 4,10.0,3074.69,High-performance petrol engine.,engine,BrandC,17.55,176.87,"(1.49, 0.85, 1.27)","{'Steel': 75, 'Iron': 25}",high,564.5,224.0,Petrol,26.7,hybrid
EN0027,HorsePower 9,4.0,3854.98,Efficient electric engine.,engine,BrandE,17.49,192.46,"(0.83, 0.94, 0.91)","{'Steel': 70, 'Aluminum': 30}",medium,371.6,235.4,Electric,28.0,diesel
EN0028,TorqueX 3,49.0,3387.4,Advanced hybrid engine.,engine,BrandA,17.48,174.25,"(1.16, 0.52, 0.65)","{'Copper': 50, 'Steel': 50}",low,580.9,236.7,Hybrid,19.5,diesel
EN0029,DieselMax 3,47.0,3830.19,High-performance hybrid engine.,engine,BrandE,17.53,153.77,"(1.26, 1.15, 1.46)","{'Copper': 50, 'Steel': 50}",high,207.6,350.8,Hybrid,47.5,electric
EN0030,VoltDrive 1,43.0,4717.48,Advanced petrol engine.,engine,BrandE,17.3,83.41,"(0.95, 0.77, 1.31)","{'Steel': 70, 'Aluminum': 30}",low,269.1,489.7,Petrol,13.3,petrol
EN0031,HorsePower 9,35.0,2296.1,High-performance electric engine.,engine,BrandB,17.35,160.91,"(0.53, 1.24, 1.14)","{'Steel': 60, 'Aluminum': 40}",high,366.8,241.5,Electric,18.1,petrol
EN0032,VoltDrive 9,9.0,2965.74,High-performance hybrid engine.,engine,BrandC,17.4,147.45,"(1.13, 1.24, 1.17)","{'Steel': 75, 'Iron': 25}",low,260.9,339.4,Hybrid,44.4,hybrid
EN0033,DieselMax 3,33.0,3799.8,Reliable petrol engine.,engine,BrandA,17.36,169.77,"(0.57, 1.28, 0.67)","{'Aluminum': 80, 'Titanium': 20}",medium,300.3,410.2,Petrol,14.3,hybrid
EN0034,HorsePower 7,48.0,1793.29,High-performance petrol engine.,engine,BrandC,17.58,146.9,"(1.16, 0.89, 0.92)","{'Aluminum': 80, 'Titanium': 20}",medium,471.1,447.4,Petrol,19.7,petrol
EN0035,TorqueX 3,39.0,4164.96,Reliable diesel engine.,engine,BrandB,17.33,157.26,"(0.86, 1.39, 1.25)","{'Steel': 75, 'Iron': 25}",low,238.5,412.3,Diesel,36.5,petrol
EN0036,DieselMax 2,23.0,3640.64,High-performance petrol engine.,engine,BrandC,17.56,184.41,"(1.15, 1.45, 0.61)","{'Steel': 70, 'Aluminum': 30}",high,575.0,430.7,Petrol,28.5,hybrid
EN0037,TorqueX 9,4.0,3183.2,Advanced diesel engine.,engine,BrandE,17.31,81.94,"(1.06, 1.17, 1.2)","{'Steel': 60, 'Aluminum': 40}",low,498.3,266.0,Diesel,22.3,diesel
EN0038,PowerCore 9,48.0,4942.62,Reliable petrol engine.,engine,BrandB,17.3,85.22,"(0.59, 1.37, 0.77)","{'Steel': 75, 'Iron': 25}",high,349.3,190.7,Petrol,15.3,hybrid
EN0039,DieselMax 6,10.0,4757.71,Reliable hybrid engine.,engine,BrandA,17.39,83.96,"(1.21, 0.96, 0.94)","{'Steel': 70, 'Aluminum': 30}",medium,461.6,102.4,Hybrid,16.9,hybrid
EN0040,TorqueX 6,6.0,4096.83,High-performance petrol engine.,engine,BrandD,17.58,174.27,"(1.05, 0.85, 0.64)","{'Copper': 50, 'Steel': 50}",high,502.3,276.5,Petrol,15.5,hybrid
EN0041,HorsePower 5,33.0,2459.87,High-performance electric engine.,engine,BrandC,17.36,123.79,"(1.42, 0.84, 0.96)","{'Copper': 50, 'Steel': 50}",low,441.4,418.3,Electric,44.3,electric
EN0042,HorsePower 9,3.0,4857.05,Efficient electric engine.,engine,BrandD,17.55,108.29,"(0.82, 1.26, 0.91)","{'Aluminum': 80, 'Titanium': 20}",medium,521.0,321.1,Electric,24.9,petrol
EN0043,VoltDrive 9,20.0,2985.32,Efficient diesel engine.,engine,BrandD,17.36,155.14,"(1.3, 1.15, 1.06)","{'Steel': 75, 'Iron': 25}",high,535.0,469.4,Diesel,22.0,petrol
EN0044,HorsePower 4,21.0,3099.14,Efficient hybrid engine.,engine,BrandD,17.36,162.63,"(1.07, 0.91, 1.23)","{'Steel': 60, 'Aluminum': 40}",high,537.5,129.5,Hybrid,14.3,electric
EN0045,DieselMax 1,21.0,3142.92,Efficient hybrid engine.,engine,BrandC,17.52,189.08,"(1.13, 1.26, 0.89)","{'Copper': 50, 'Steel': 50}",low,556.8,252.3,Hybrid,45.2,electric
EN0046,VoltDrive 7,15.0,1601.93,High-performance petrol engine.,engine,BrandD,17.38,135.83,"(1.43, 0.81, 1.04)","{'Steel': 75, 'Iron': 25}",low,378.1,168.3,Petrol,21.1,electric
EN0047,PowerCore 3,43.0,3367.2,Efficient petrol engine.,engine,BrandD,17.59,178.93,"(0.88, 0.68, 1.09)","{'Steel': 75, 'Iron': 25}",low,536.7,135.0,Petrol,12.8,electric
EN0048,HorsePower 9,42.0,3113.46,Reliable petrol engine.,engine,BrandC,17.52,111.82,"(0.93, 1.0, 0.81)","{'Steel': 70, 'Aluminum': 30}",high,204.3,293.6,Petrol,43.2,hybrid
EN0049,PowerCore 3,41.0,3710.49,High-performance diesel engine.,engine,BrandD,17.5,169.23,"(0.75, 1.02, 0.83)","{'Copper': 50, 'Steel': 50}",high,483.1,398.9,Diesel,46.1,electric
EN0050,DieselMax 7,47.0,1857.13,Advanced electric engine.,engine,BrandA,17.53,170.78,"(1.26, 0.66, 0.81)","{'Aluminum': 80, 'Titanium': 20}",high,489.6,454.0,Electric,36.9,diesel
EN0051,PowerCore 7,24.0,4581.14,Advanced electric engine.,engine,BrandA,17.55,106.37,"(0.77, 1.46, 0.6)","{'Aluminum': 80, 'Titanium': 20}",medium,407.8,205.6,Electric,47.8,hybrid
EN0052,VoltDrive 7,8.0,4692.16,Advanced petrol engine.,engine,BrandA,17.55,88.25,"(1.03, 1.03, 0.82)","{'Steel': 70, 'Aluminum': 30}",high,503.0,114.5,Petrol,38.1,petrol
EN0053,DieselMax 3,43.0,4251.37,High-performance diesel engine.,engine,BrandD,17.32,161.89,"(0.68, 1.16, 1.43)","{'Steel': 70, 'Aluminum': 30}",medium,479.2,435.0,Diesel,15.7,diesel
EN0054,TorqueX 2,33.0,2324.69,Reliable hybrid engine.,engine,BrandC,17.45,136.57,"(1.2, 1.23, 1.32)","{'Steel': 75, 'Iron': 25}",medium,369.1,287.4,Hybrid,29.4,hybrid
EN0055,PowerCore 6,21.0,2960.63,Advanced petrol engine.,engine,BrandB,17.43,175.75,"(1.24, 1.05, 1.35)","{'Steel': 60, 'Aluminum': 40}",low,555.0,251.1,Petrol,30.2,electric
EN0056,VoltDrive 6,45.0,3875.59,Efficient electric engine.,engine,BrandA,17.33,85.29,"(1.15, 1.34, 1.23)","{'Copper': 50, 'Steel': 50}",low,289.6,498.5,Electric,12.4,petrol
EN0057,PowerCore 7,30.0,1540.38,High-performance petrol engine.,engine,BrandB,17.37,169.25,"(1.06, 1.26, 1.36)","{'Steel': 60, 'Aluminum': 40}",medium,514.3,277.7,Petrol,39.3,diesel
EN0058,DieselMax 3,4.0,4419.12,Efficient diesel engine.,engine,BrandD,17.36,189.92,"(0.77, 0.57, 1.25)","{'Steel': 75, 'Iron': 25}",medium,378.9,318.8,Diesel,43.1,diesel
EN0059,TorqueX 8,48.0,1942.82,Efficient petrol engine.,engine,BrandD,17.59,116.34,"(1.16, 0.55, 0.66)","{'Aluminum': 80, 'Titanium': 20}",medium,352.2,356.7,Petrol,28.2,petrol
EN0060,HorsePower 8,30.0,4637.65,Reliable hybrid engine.,engine,BrandD,17.55,146.73,"(1.5, 1.01, 0.56)","{'Aluminum': 80, 'Titanium': 20}",medium,248.9,471.1,Hybrid,38.6,hybrid
EN0061,HorsePower 5,14.0,4296.46,Efficient petrol engine.,engine,BrandC,17.5,184.98,"(1.15, 1.18, 1.21)","{'Steel': 60, 'Aluminum': 40}",low,210.4,463.1,Petrol,28.9,diesel
EN0062,HorsePower 1,1.0,3765.02,Advanced electric engine.,engine,BrandC,17.38,191.69,"(1.06, 0.88, 0.86)","{'Steel': 70, 'Aluminum': 30}",high,371.1,110.4,Electric,18.5,electric
EN0063,HorsePower 6,2.0,3262.23,Reliable electric engine.,engine,BrandC,17.32,97.43,"(1.27, 0.65, 0.69)","{'Steel': 60, 'Aluminum': 40}",low,437.8,365.0,Electric,31.3,hybrid
EN0064,HorsePower 9,31.0,4361.33,Efficient electric engine.,engine,BrandE,17.5,187.71,"(1.44, 1.31, 0.71)","{'Aluminum': 80, 'Titanium': 20}",high,428.3,467.9,Electric,18.0,hybrid
EN0065,PowerCore 3,30.0,2945.74,Reliable hybrid engine.,engine,BrandD,17.33,192.7,"(1.29, 0.61, 1.15)","{'Copper': 50, 'Steel': 50}",medium,323.4,156.6,Hybrid,15.1,petrol
EN0066,TorqueX 1,37.0,3244.3,Advanced hybrid engine.,engine,BrandD,17.37,172.2,"(0.7, 0.73, 0.83)","{'Steel': 70, 'Aluminum': 30}",low,546.0,291.3,Hybrid,27.4,hybrid
EN0067,VoltDrive 3,27.0,2510.03,High-performance electric engine.,engine,BrandA,17.58,88.1,"(1.44, 1.11, 1.23)","{'Steel': 60, 'Aluminum': 40}",low,472.7,217.6,Electric,44.0,electric
EN0068,TorqueX 3,8.0,4684.69,Efficient diesel engine.,engine,BrandB,17.48,105.82,"(1.04, 0.75, 0.67)","{'Copper': 50, 'Steel': 50}",low,228.6,156.8,Diesel,44.2,diesel
EN0069,PowerCore 1,45.0,3490.32,Advanced hybrid engine.,engine,BrandD,17.37,97.7,"(1.13, 0.86, 0.58)","{'Steel': 75, 'Iron': 25}",low,344.1,353.8,Hybrid,23.8,hybrid
EN0070,VoltDrive 3,16.0,3782.05,High-performance petrol engine.,engine,BrandC,17.52,138.78,"(0.51, 1.36, 1.36)","{'Aluminum': 80, 'Titanium': 20}",high,240.6,418.4,Petrol,39.2,hybrid
EN0071,PowerCore 4,1.0,1872.07,Efficient electric engine.,engine,BrandA,17.48,141.88,"(0.76, 1.2, 1.35)","{'Steel': 70, 'Aluminum': 30}",medium,428.1,165.4,Electric,40.3,petrol
EN0072,TorqueX 8,5.0,4334.3,Reliable hybrid engine.,engine,BrandA,17.5,154.91,"(0.79, 0.87, 1.4)","{'Aluminum': 80, 'Titanium': 20}",medium,337.3,196.2,Hybrid,30.6,petrol
EN0073,TorqueX 6,6.0,1867.66,High-performance petrol engine.,engine,BrandC,17.38,146.12,"(1.11, 0.7, 0.59)","{'Steel': 75, 'Iron': 25}",high,519.5,289.1,Petrol,45.7,petrol
EN0074,PowerCore 3,35.0,3110.89,Efficient electric engine.,engine,BrandD,17.32,94.69,"(0.83, 0.9, 1.08)","{'Copper': 50, 'Steel': 50}",medium,360.1,170.7,Electric,48.5,electric
EN0075,PowerCore 6,26.0,4881.15,High-performance petrol engine.,engine,BrandB,17.41,87.66,"(0.94, 1.3, 0.97)","{'Steel': 70, 'Aluminum': 30}",medium,286.8,145.6,Petrol,12.7,electric
EN0076,HorsePower 8,41.0,4826.65,Advanced petrol engine.,engine,BrandB,17.45,117.68,"(0.69, 1.38, 1.39)","{'Aluminum': 80, 'Titanium': 20}",high,302.6,186.1,Petrol,21.5,diesel
EN0077,VoltDrive 1,8.0,2356.15,Efficient petrol engine.,engine,BrandD,17.53,113.18,"(1.35, 0.5, 1.19)","{'Steel': 70, 'Aluminum': 30}",medium,235.1,386.0,Petrol,24.4,hybrid
EN0078,TorqueX 8,22.0,2814.45,Reliable hybrid engine.,engine,BrandE,17.51,151.53,"(1.39, 0.58, 0.67)","{'Steel': 70, 'Aluminum': 30}",low,310.3,165.2,Hybrid,47.9,petrol
EN0079,VoltDrive 7,37.0,4976.1,Advanced petrol engine.,engine,BrandC,17.31,119.37,"(1.47, 1.48, 1.19)","{'Aluminum': 80, 'Titanium': 20}",low,456.6,307.1,Petrol,46.2,petrol
EN0080,TorqueX 8,3.0,3498.96,Reliable diesel engine.,engine,BrandE,17.46,116.53,"(1.3, 1.49, 0.54)","{'Aluminum': 80, 'Titanium': 20}",high,521.1,208.6,Diesel,28.7,hybrid
EN0081,HorsePower 6,1.0,2575.04,Advanced petrol engine.,engine,BrandD,17.51,118.57,"(0.82, 1.26, 1.02)","{'Aluminum': 80, 'Titanium': 20}",low,335.4,471.2,Petrol,33.3,hybrid
EN0082,PowerCore 8,31.0,4525.24,Efficient hybrid engine.,engine,BrandA,17.54,179.83,"(1.37, 1.15, 0.74)","{'Steel': 70, 'Aluminum': 30}",low,303.3,172.4,Hybrid,10.7,hybrid
EN0083,DieselMax 7,3.0,3458.5,Advanced petrol engine.,engine,BrandE,17.34,182.77,"(0.84, 1.08, 1.06)","{'Steel': 70, 'Aluminum': 30}",medium,595.7,186.0,Petrol,35.1,hybrid
EN0084,HorsePower 5,12.0,4431.17,Reliable electric engine.,engine,BrandD,17.58,94.91,"(1.35, 1.08, 0.88)","{'Aluminum': 80, 'Titanium': 20}",medium,296.8,276.0,Electric,11.8,electric
EN0085,TorqueX 3,36.0,4453.6,Advanced diesel engine.,engine,BrandC,17.54,115.8,"(1.16, 1.24, 1.23)","{'Aluminum': 80, 'Titanium': 20}",low,342.1,438.4,Diesel,32.7,electric
EN0086,TorqueX 8,34.0,1827.33,Advanced petrol engine.,engine,BrandB,17.59,134.35,"(0.75, 0.8, 0.69)","{'Aluminum': 80, 'Titanium': 20}",high,217.1,434.6,Petrol,29.2,diesel
EN0087,PowerCore 6,37.0,2738.46,Advanced diesel engine.,engine,BrandA,17.46,194.73,"(0.69, 1.08, 0.77)","{'Copper': 50, 'Steel': 50}",medium,404.8,367.7,Diesel,14.4,electric
EN0088,DieselMax 6,6.0,1994.98,Reliable diesel engine.,engine,BrandD,17.41,172.06,"(0.68, 0.56, 0.6)","{'Steel': 75, 'Iron': 25}",medium,508.0,131.6,Diesel,24.4,petrol
EN0089,HorsePower 8,15.0,2934.36,High-performance electric engine.,engine,BrandC,17.39,86.94,"(0.85, 1.11, 1.11)","{'Copper': 50, 'Steel': 50}",medium,388.6,110.3,Electric,35.4,diesel
EN0090,PowerCore 6,40.0,3623.64,Reliable petrol engine.,engine,BrandE,17.37,144.06,"(0.73, 0.94, 1.19)","{'Steel': 70, 'Aluminum': 30}",high,325.6,473.6,Petrol,11.7,hybrid
EN0091,TorqueX 9,20.0,4985.59,Advanced hybrid engine.,engine,BrandC,17.5,123.03,"(0.7, 0.86, 0.8)","{'Copper': 50, 'Steel': 50}",medium,205.1,287.3,Hybrid,33.4,hybrid
EN0092,TorqueX 1,48.0,1557.74,Advanced diesel engine.,engine,BrandB,17.59,105.21,"(0.71, 0.72, 0.63)","{'Steel': 75, 'Iron': 25}",high,211.4,223.8,Diesel,44.7,electric
EN0093,TorqueX 7,19.0,2008.07,High-performance hybrid engine.,engine,BrandB,17.49,151.66,"(1.0, 1.41, 1.15)","{'Aluminum': 80, 'Titanium': 20}",low,395.3,382.5,Hybrid,36.5,petrol
EN0094,DieselMax 9,20.0,4283.44,Advanced petrol engine.,engine,BrandC,17.4,152.91,"(1.42, 0.94, 1.18)","{'Steel': 75, 'Iron': 25}",high,555.7,258.3,Petrol,10.3,petrol
EN0095,HorsePower 4,24.0,4905.24,Efficient hybrid engine.,engine,BrandE,17.36,135.29,"(1.49, 0.79, 1.44)","{'Steel': 70, 'Aluminum': 30}",high,359.7,206.7,Hybrid,17.0,electric
EN0096,VoltDrive 5,14.0,3018.99,Advanced petrol engine.,engine,BrandC,17.32,168.12,"(0.62, 1.0, 1.36)","{'Aluminum': 80, 'Titanium': 20}",high,207.1,115.5,Petrol,40.4,diesel
EN0097,DieselMax 9,32.0,2452.04,Efficient electric engine.,engine,BrandC,17.42,188.23,"(0.9, 1.33, 1.17)","{'Steel': 70, 'Aluminum': 30}",medium,393.5,290.1,Electric,44.1,petrol
EN0098,DieselMax 8,33.0,3177.08,Efficient hybrid engine.,engine,BrandC,17.6,151.21,"(0.56, 1.08, 0.5)","{'Steel': 70, 'Aluminum': 30}",high,473.6,113.7,Hybrid,22.4,diesel
EN0099,DieselMax 7,15.0,3064.36,High-performance electric engine.,engine,BrandC,17.46,164.02,"(1.06, 0.6, 0.93)","{'Aluminum': 80, 'Titanium': 20}",high,466.1,434.9,Electric,18.1,hybrid
EN0100,HorsePower 6,36.0,4125.95,Reliable diesel engine.,engine,BrandE,17.3,166.64,"(0.87, 1.46, 1.17)","{'Copper': 50, 'Steel': 50}",high,408.1,227.0,Diesel,32.2,electric
EN0101,PowerCore 6,46.0,4537.95,Reliable petrol engine.,engine,BrandA,17.45,190.57,"(0.97, 1.24, 1.35)","{'Steel': 75, 'Iron': 25}",low,206.8,267.7,Petrol,25.2,hybrid
EN0102,DieselMax 1,43.0,4769.73,Efficient hybrid engine.,engine,BrandB,17.5,147.17,"(1.3, 0.79, 1.42)","{'Steel': 70, 'Aluminum': 30}",high,423.6,417.6,Hybrid,36.7,hybrid
EN0103,DieselMax 6,42.0,2381.6,Advanced petrol engine.,engine,BrandD,17.51,172.45,"(1.06, 0.57, 1.22)","{'Copper': 50, 'Steel': 50}",low,342.2,249.4,Petrol,23.1,diesel
EN0104,VoltDrive 6,50.0,3130.22,Efficient electric engine.,engine,BrandB,17.31,155.9,"(1.21, 1.49, 1.13)","{'Steel': 70, 'Aluminum': 30}",medium,565.4,359.7,Electric,27.4,electric
EN0105,PowerCore 9,17.0,4096.43,Efficient diesel engine.,engine,BrandE,17.52,97.34,"(1.43, 0.6, 1.14)","{'Steel': 70, 'Aluminum': 30}",low,238.4,208.8,Diesel,37.3,hybrid
EN0106,PowerCore 5,35.0,3910.03,High-performance electric engine.,engine,BrandC,17.57,192.98,"(1.09, 0.92, 0.86)","{'Steel': 70, 'Aluminum': 30}",medium,405.7,411.2,Electric,34.4,diesel
EN0107,PowerCore 6,20.0,1794.08,High-performance diesel engine.,engine,BrandD,17.49,181.34,"(0.87, 0.69, 0.59)","{'Aluminum': 80, 'Titanium': 20}",low,432.4,407.3,Diesel,22.3,diesel
EN0108,VoltDrive 6,41.0,2012.07,Advanced hybrid engine.,engine,BrandE,17.56,179.89,"(1.13, 1.4, 1.43)","{'Steel': 75, 'Iron': 25}",medium,267.0,261.0,Hybrid,11.4,diesel
EN0109,VoltDrive 2,44.0,1885.67,Advanced diesel engine.,engine,BrandD,17.59,181.02,"(0.53, 1.2, 1.1)","{'Steel': 60, 'Aluminum': 40}",high,454.8,225.9,Diesel,24.3,petrol
EN0110,DieselMax 5,4.0,2684.77,High-performance petrol engine.,engine,BrandA,17.54,175.12,"(1.36, 1.0, 1.34)","{'Steel': 60, 'Aluminum': 40}",low,250.2,468.6,Petrol,28.0,electric
EN0111,PowerCore 3,29.0,2821.6,Advanced diesel engine.,engine,BrandA,17.44,132.96,"(1.39, 0.51, 1.17)","{'Steel': 60, 'Aluminum': 40}",low,250.3,360.1,Diesel,10.5,petrol
EN0112,DieselMax 5,35.0,1579.63,Reliable diesel engine.,engine,BrandD,17.36,151.33,"(1.23, 0.5, 0.56)","{'Steel': 70, 'Aluminum': 30}",low,224.0,249.3,Diesel,46.1,diesel
EN0113,VoltDrive 7,41.0,3085.92,Advanced petrol engine.,engine,BrandD,17.35,89.39,"(0.99, 0.94, 0.6)","{'Steel': 75, 'Iron': 25}",high,320.4,138.3,Petrol,22.6,petrol
EN0114,PowerCore 9,34.0,3674.77,High-performance petrol engine.,engine,BrandA,17.5,166.94,"(0.58, 1.01, 1.15)","{'Copper': 50, 'Steel': 50}",low,333.5,192.6,Petrol,30.8,hybrid
EN0115,PowerCore 8,40.0,4651.03,Efficient diesel engine.,engine,BrandA,17.52,194.65,"(1.33, 0.74, 1.49)","{'Steel': 75, 'Iron': 25}",medium,531.5,162.0,Diesel,37.6,diesel
EN0116,TorqueX 4,4.0,2081.74,Advanced hybrid engine.,engine,BrandB,17.5,166.48,"(0.95, 1.47, 0.93)","{'Copper': 50, 'Steel': 50}",medium,438.3,450.7,Hybrid,28.7,hybrid
EN0117,DieselMax 4,21.0,4827.06,Advanced electric engine.,engine,BrandB,17.34,165.82,"(1.42, 1.35, 1.21)","{'Steel': 60, 'Aluminum': 40}",medium,497.4,315.3,Electric,32.4,petrol
EN0118,VoltDrive 4,44.0,3814.24,Efficient hybrid engine.,engine,BrandA,17.55,132.42,"(0.89, 1.38, 1.4)","{'Aluminum': 80, 'Titanium': 20}",low,260.2,207.8,Hybrid,45.7,diesel
EN0119,VoltDrive 5,20.0,1886.29,Reliable petrol engine.,engine,BrandC,17.42,166.1,"(0.83, 0.54, 1.01)","{'Steel': 75, 'Iron': 25}",high,310.3,337.4,Petrol,26.8,electric
EN0120,DieselMax 6,6.0,2075.85,High-performance hybrid engine.,engine,BrandA,17.43,98.22,"(0.61, 1.38, 0.93)","{'Steel': 70, 'Aluminum': 30}",medium,588.3,447.1,Hybrid,21.6,hybrid
EN0121,PowerCore 1,31.0,3990.0,High-performance electric engine.,engine,BrandC,17.31,106.32,"(0.76, 0.79, 1.34)","{'Steel': 75, 'Iron': 25}",high,468.1,242.8,Electric,42.3,petrol
EN0122,VoltDrive 4,49.0,3402.63,Advanced diesel engine.,engine,BrandD,17.5,110.63,"(1.36, 0.55, 1.0)","{'Copper': 50, 'Steel': 50}",medium,481.9,408.7,Diesel,40.2,diesel
EN0123,VoltDrive 7,18.0,3061.42,Advanced hybrid engine.,engine,BrandB,17.37,159.53,"(0.92, 0.77, 0.5)","{'Steel': 70, 'Aluminum': 30}",medium,496.3,191.9,Hybrid,40.5,petrol
EN0124,VoltDrive 9,1.0,2775.17,Efficient electric engine.,engine,BrandD,17.31,189.03,"(0.97, 1.22, 1.36)","{'Steel': 70, 'Aluminum': 30}",low,383.7,196.0,Electric,30.9,diesel
EN0125,HorsePower 6,37.0,4452.8,Advanced petrol engine.,engine,BrandE,17.42,189.96,"(0.55, 0.69, 1.44)","{'Copper': 50, 'Steel': 50}",medium,299.2,109.0,Petrol,37.1,hybrid
