id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,primary_color,secondary_color,finish,protection_type
SC4901,Luxury 7,13,114.36,Comfortable seat cover.,seatandcover,BrandA,17.53,3.01,"(1.04, 1.09, 1.21)","{'Leather': 63, 'Foam': 33}",low,FF0000,8B4513,matte,uv
SC1310,UltraSoft 1,14,249.09,Comfortable seat cover.,seatandcover,BrandC,17.45,3.93,"(1.25, 1.46, 1.16)","{'Leather': 76, 'Foam': 39}",low,DAA520,FF0000,matte,light
SC2189,Comfy 3,18,140.78,Scratch-resistant seat cover.,seatandcover,BrandA,17.53,2.5,"(1.39, 1.05, 1.3)","{'Leather': 76, 'Foam': 38}",medium,2980B9,FF0000,unfinished,light
SC7134,UltraSoft 8,40,103.02,Scratch-resistant seat cover.,seatandcover,BrandB,17.45,2.88,"(1.32, 1.0, 1.43)","{'Leather': 79, 'Foam': 30}",high,FF5733,DAA520,matte,dust
SC9823,Luxury 8,18,240.78,Durable seat cover.,seatandcover,BrandC,17.42,2.72,"(1.43, 1.2, 1.1)","{'Leather': 62, 'Foam': 30}",low,D4AF37,D4AF37,unfinished,scratch
SC2944,Comfy 8,29,239.36,Luxurious seat cover.,seatandcover,BrandA,17.4,2.51,"(1.26, 1.44, 1.28)","{'Leather': 66, 'Foam': 24}",high,D4AF37,708090,unfinished,uv
SC5321,Comfy 1,22,117.3,Comfortable seat cover.,seatandcover,BrandA,17.6,2.89,"(1.16, 1.15, 1.17)","{'Leather': 62, 'Foam': 29}",high,F5DEB3,D4AF37,unfinished,light
SC8712,UltraSoft 1,32,185.03,Durable seat cover.,seatandcover,BrandC,17.46,3.92,"(1.01, 1.48, 1.49)","{'Leather': 80, 'Foam': 34}",low,8B4513,FF0000,matte,scratch
SC1945,Luxury 9,5,223.72,Luxurious seat cover.,seatandcover,BrandC,17.46,3.15,"(1.31, 1.47, 1.1)","{'Leather': 80, 'Foam': 39}",medium,FF0000,2F4F4F,glossy,scratch
SC5357,UltraSoft 5,26,106.41,Luxurious seat cover.,seatandcover,BrandB,17.53,2.89,"(1.1, 1.04, 1.23)","{'Leather': 72, 'Foam': 35}",low,708090,FF5733,unfinished,uv
SC8023,Premium 2,24,213.51,Durable seat cover.,seatandcover,BrandB,17.49,3.22,"(1.46, 1.04, 1.24)","{'Leather': 62, 'Foam': 36}",high,F5DEB3,2980B9,glossy,dust
SC2726,Comfy 3,50,200.85,Scratch-resistant seat cover.,seatandcover,BrandA,17.47,2.75,"(1.09, 1.14, 1.46)","{'Leather': 61, 'Foam': 31}",undefined,8B4513,FF5733,glossy,dust
SC7519,UltraSoft 6,21,218.12,Scratch-resistant seat cover.,seatandcover,BrandC,17.5,2.98,"(1.2, 1.14, 1.44)","{'Leather': 74, 'Foam': 28}",medium,FF5733,FF0000,matte,uv
SC8660,Premium 4,41,233.8,Scratch-resistant seat cover.,seatandcover,BrandB,17.43,2.92,"(1.1, 1.17, 1.02)","{'Leather': 78, 'Foam': 36}",undefined,2980B9,8B4513,matte,light
SC1939,Premium 8,3,182.38,Luxurious seat cover.,seatandcover,BrandC,17.52,2.82,"(1.19, 1.02, 1.39)","{'Leather': 65, 'Foam': 23}",high,F5F5F5,2F4F4F,matte,dust
SC7368,Premium 4,42,168.25,Durable seat cover.,seatandcover,BrandC,17.51,2.55,"(1.11, 1.36, 1.38)","{'Leather': 68, 'Foam': 37}",low,F5F5F5,2F4F4F,glossy,light
SC8035,Luxury 4,2,106.15,Scratch-resistant seat cover.,seatandcover,BrandC,17.4,3.4,"(1.23, 1.4, 1.12)","{'Leather': 80, 'Foam': 32}",high,F5DEB3,F5DEB3,matte,scratch
SC3446,Comfy 1,20,163.08,Luxurious seat cover.,seatandcover,BrandA,17.47,3.94,"(1.12, 1.37, 1.25)","{'Leather': 60, 'Foam': 32}",high,2980B9,F5F5F5,matte,uv
SC3922,Comfy 6,30,154.7,Comfortable seat cover.,seatandcover,BrandC,17.44,2.89,"(1.25, 1.08, 1.1)","{'Leather': 69, 'Foam': 37}",low,FF5733,708090,glossy,dust
SC3743,Luxury 4,10,200.21,Scratch-resistant seat cover.,seatandcover,BrandB,17.45,2.92,"(1.01, 1.45, 1.11)","{'Leather': 66, 'Foam': 28}",low,FF5733,F5DEB3,unfinished,scratch
SC7736,Comfy 9,28,194.94,Luxurious seat cover.,seatandcover,BrandC,17.54,2.58,"(1.23, 1.22, 1.02)","{'Leather': 74, 'Foam': 38}",low,D4AF37,DAA520,unfinished,uv
SC3265,Premium 3,8,133.54,Luxurious seat cover.,seatandcover,BrandA,17.55,3.31,"(1.15, 1.33, 1.06)","{'Leather': 66, 'Foam': 29}",undefined,8B4513,708090,glossy,dust
SC7385,Luxury 8,8,208.18,Durable seat cover.,seatandcover,BrandB,17.5,3.54,"(1.42, 1.21, 1.37)","{'Leather': 67, 'Foam': 39}",high,2980B9,FF5733,unfinished,dust
SC1520,UltraSoft 5,1,228.49,Luxurious seat cover.,seatandcover,BrandB,17.52,2.77,"(1.46, 1.39, 1.1)","{'Leather': 78, 'Foam': 35}",medium,FF5733,D4AF37,matte,light
SC8017,UltraSoft 7,19,104.67,Comfortable seat cover.,seatandcover,BrandA,17.5,3.33,"(1.23, 1.35, 1.46)","{'Leather': 72, 'Foam': 22}",high,FF0000,DAA520,glossy,uv
SC1840,Luxury 2,31,197.3,Durable seat cover.,seatandcover,BrandB,17.41,3.35,"(1.06, 1.27, 1.16)","{'Leather': 64, 'Foam': 35}",high,D4AF37,D4AF37,unfinished,uv
SC1088,Premium 7,33,233.36,Luxurious seat cover.,seatandcover,BrandC,17.59,2.85,"(1.08, 1.27, 1.46)","{'Leather': 70, 'Foam': 23}",undefined,FF0000,8B4513,glossy,uv
SC9902,Luxury 7,7,125.94,Durable seat cover.,seatandcover,BrandB,17.54,2.61,"(1.03, 1.15, 1.45)","{'Leather': 73, 'Foam': 25}",undefined,8B4513,8B4513,matte,dust
SC6911,UltraSoft 3,19,139.99,Luxurious seat cover.,seatandcover,BrandC,17.47,2.52,"(1.44, 1.47, 1.41)","{'Leather': 64, 'Foam': 38}",low,F5DEB3,F5DEB3,unfinished,uv
SC4118,Comfy 1,22,123.4,Durable seat cover.,seatandcover,BrandC,17.48,2.83,"(1.24, 1.12, 1.34)","{'Leather': 70, 'Foam': 37}",low,DAA520,2980B9,glossy,dust
SC5736,Premium 1,31,133.23,Comfortable seat cover.,seatandcover,BrandB,17.46,3.35,"(1.44, 1.43, 1.22)","{'Leather': 77, 'Foam': 22}",high,F5F5F5,D4AF37,unfinished,light
SC4247,Luxury 6,4,202.02,Comfortable seat cover.,seatandcover,BrandA,17.48,3.27,"(1.29, 1.01, 1.07)","{'Leather': 65, 'Foam': 36}",undefined,708090,F5F5F5,matte,uv
SC2913,Luxury 5,46,228.18,Durable seat cover.,seatandcover,BrandB,17.59,3.03,"(1.02, 1.28, 1.21)","{'Leather': 73, 'Foam': 34}",medium,8B4513,2F4F4F,matte,scratch
SC7807,Luxury 5,18,150.63,Durable seat cover.,seatandcover,BrandC,17.51,3.39,"(1.15, 1.13, 1.1)","{'Leather': 75, 'Foam': 24}",high,708090,DAA520,unfinished,uv
SC4643,UltraSoft 9,34,194.58,Scratch-resistant seat cover.,seatandcover,BrandB,17.47,3.05,"(1.45, 1.12, 1.01)","{'Leather': 79, 'Foam': 39}",undefined,FF0000,DAA520,unfinished,dust
SC1590,UltraSoft 7,49,136.72,Luxurious seat cover.,seatandcover,BrandA,17.52,3.46,"(1.19, 1.16, 1.37)","{'Leather': 79, 'Foam': 22}",low,D4AF37,FF0000,glossy,dust
SC4565,Comfy 7,34,147.69,Scratch-resistant seat cover.,seatandcover,BrandA,17.55,3.16,"(1.37, 1.11, 1.05)","{'Leather': 78, 'Foam': 30}",high,FF0000,F5F5F5,glossy,uv
SC2585,Premium 7,6,165.17,Durable seat cover.,seatandcover,BrandA,17.57,2.92,"(1.21, 1.37, 1.21)","{'Leather': 67, 'Foam': 38}",low,DAA520,DAA520,unfinished,light
SC1079,Comfy 3,1,248.93,Durable seat cover.,seatandcover,BrandB,17.56,3.35,"(1.24, 1.49, 1.1)","{'Leather': 64, 'Foam': 31}",undefined,FF0000,2980B9,unfinished,dust
SC8789,Luxury 2,24,116.57,Scratch-resistant seat cover.,seatandcover,BrandA,17.57,3.15,"(1.16, 1.16, 1.22)","{'Leather': 62, 'Foam': 22}",medium,F5DEB3,FF5733,matte,dust
SC3764,Comfy 5,19,184.0,Comfortable seat cover.,seatandcover,BrandA,17.52,3.78,"(1.07, 1.29, 1.32)","{'Leather': 76, 'Foam': 25}",medium,DAA520,2F4F4F,glossy,scratch
SC3896,Luxury 8,13,144.24,Durable seat cover.,seatandcover,BrandB,17.5,3.03,"(1.09, 1.43, 1.34)","{'Leather': 68, 'Foam': 26}",undefined,DAA520,DAA520,glossy,dust
SC1131,Comfy 5,20,104.22,Scratch-resistant seat cover.,seatandcover,BrandC,17.41,3.83,"(1.48, 1.33, 1.08)","{'Leather': 66, 'Foam': 37}",medium,8B4513,2F4F4F,unfinished,light
SC7228,UltraSoft 2,41,101.79,Comfortable seat cover.,seatandcover,BrandB,17.43,3.14,"(1.22, 1.32, 1.11)","{'Leather': 73, 'Foam': 21}",medium,DAA520,8B4513,matte,light
SC9172,UltraSoft 1,46,244.75,Comfortable seat cover.,seatandcover,BrandB,17.58,3.51,"(1.22, 1.22, 1.2)","{'Leather': 72, 'Foam': 29}",low,FF0000,8B4513,unfinished,dust
SC8372,Premium 8,36,234.4,Durable seat cover.,seatandcover,BrandA,17.56,2.71,"(1.24, 1.04, 1.09)","{'Leather': 79, 'Foam': 39}",medium,DAA520,2F4F4F,unfinished,light
SC5189,Premium 8,20,137.04,Comfortable seat cover.,seatandcover,BrandB,17.56,3.59,"(1.35, 1.0, 1.09)","{'Leather': 79, 'Foam': 38}",high,708090,2F4F4F,unfinished,light
SC2018,Comfy 9,38,127.73,Scratch-resistant seat cover.,seatandcover,BrandB,17.46,2.76,"(1.18, 1.22, 1.26)","{'Leather': 76, 'Foam': 35}",medium,708090,D4AF37,unfinished,scratch
SC1001,Premium 6,44,183.19,Scratch-resistant seat cover.,seatandcover,BrandA,17.43,2.78,"(1.37, 1.19, 1.0)","{'Leather': 73, 'Foam': 28}",undefined,F5F5F5,2980B9,unfinished,light
SC8543,Comfy 6,44,245.26,Luxurious seat cover.,seatandcover,BrandC,17.41,2.52,"(1.07, 1.19, 1.22)","{'Leather': 76, 'Foam': 20}",low,D4AF37,708090,matte,scratch
SC2988,Luxury 4,28,177.44,Luxurious seat cover.,seatandcover,BrandB,17.54,3.38,"(1.01, 1.41, 1.27)","{'Leather': 74, 'Foam': 28}",undefined,F5F5F5,708090,glossy,scratch
SC4668,Luxury 7,7,219.88,Durable seat cover.,seatandcover,BrandB,17.41,3.64,"(1.33, 1.01, 1.04)","{'Leather': 80, 'Foam': 21}",medium,FF0000,DAA520,unfinished,light
SC3239,Comfy 7,9,235.95,Comfortable seat cover.,seatandcover,BrandC,17.41,3.76,"(1.29, 1.36, 1.11)","{'Leather': 80, 'Foam': 25}",low,DAA520,F5DEB3,glossy,scratch
SC5276,Premium 5,27,102.43,Comfortable seat cover.,seatandcover,BrandB,17.46,3.58,"(1.16, 1.07, 1.33)","{'Leather': 61, 'Foam': 27}",low,2F4F4F,FF0000,unfinished,uv
SC8786,Comfy 9,4,180.89,Comfortable seat cover.,seatandcover,BrandC,17.52,3.33,"(1.23, 1.13, 1.5)","{'Leather': 76, 'Foam': 38}",medium,8B4513,F5F5F5,unfinished,uv
SC6399,Comfy 6,43,167.14,Luxurious seat cover.,seatandcover,BrandA,17.47,2.72,"(1.46, 1.33, 1.09)","{'Leather': 77, 'Foam': 29}",low,F5DEB3,8B4513,unfinished,dust
SC7304,UltraSoft 9,34,116.52,Durable seat cover.,seatandcover,BrandC,17.51,2.51,"(1.16, 1.25, 1.47)","{'Leather': 68, 'Foam': 30}",high,708090,8B4513,unfinished,scratch
SC6202,UltraSoft 6,37,125.54,Durable seat cover.,seatandcover,BrandC,17.48,2.6,"(1.26, 1.37, 1.12)","{'Leather': 60, 'Foam': 20}",undefined,F5F5F5,708090,glossy,scratch
SC1546,Comfy 2,27,186.47,Luxurious seat cover.,seatandcover,BrandC,17.56,2.59,"(1.31, 1.31, 1.28)","{'Leather': 66, 'Foam': 29}",medium,DAA520,FF5733,matte,dust
SC4645,UltraSoft 1,16,188.78,Durable seat cover.,seatandcover,BrandB,17.47,3.24,"(1.5, 1.08, 1.38)","{'Leather': 78, 'Foam': 30}",high,8B4513,708090,glossy,uv
SC9593,Luxury 9,10,118.07,Durable seat cover.,seatandcover,BrandA,17.56,3.37,"(1.0, 1.11, 1.41)","{'Leather': 78, 'Foam': 27}",high,708090,2980B9,glossy,light
SC4197,Comfy 7,39,168.74,Luxurious seat cover.,seatandcover,BrandB,17.58,3.92,"(1.07, 1.39, 1.29)","{'Leather': 68, 'Foam': 29}",medium,DAA520,708090,unfinished,uv
SC8615,UltraSoft 2,6,169.14,Scratch-resistant seat cover.,seatandcover,BrandA,17.59,3.11,"(1.41, 1.29, 1.38)","{'Leather': 61, 'Foam': 24}",high,DAA520,F5DEB3,matte,dust
SC6979,UltraSoft 5,8,111.51,Scratch-resistant seat cover.,seatandcover,BrandB,17.45,3.48,"(1.3, 1.49, 1.12)","{'Leather': 79, 'Foam': 27}",high,8B4513,DAA520,unfinished,uv
SC4432,UltraSoft 8,36,100.59,Comfortable seat cover.,seatandcover,BrandA,17.45,3.93,"(1.27, 1.45, 1.35)","{'Leather': 67, 'Foam': 35}",low,708090,F5DEB3,glossy,dust
SC9729,UltraSoft 7,25,141.47,Comfortable seat cover.,seatandcover,BrandC,17.54,3.55,"(1.44, 1.12, 1.3)","{'Leather': 78, 'Foam': 30}",medium,FF5733,708090,matte,uv
SC3175,Comfy 7,24,219.91,Luxurious seat cover.,seatandcover,BrandB,17.55,2.77,"(1.13, 1.03, 1.09)","{'Leather': 62, 'Foam': 32}",undefined,708090,2980B9,matte,uv
SC7947,UltraSoft 4,16,111.3,Scratch-resistant seat cover.,seatandcover,BrandC,17.55,3.31,"(1.23, 1.46, 1.36)","{'Leather': 69, 'Foam': 28}",medium,FF0000,708090,glossy,scratch
SC9748,Comfy 1,13,134.39,Comfortable seat cover.,seatandcover,BrandC,17.45,2.54,"(1.03, 1.43, 1.15)","{'Leather': 74, 'Foam': 23}",low,F5DEB3,8B4513,glossy,light
SC3958,Luxury 2,46,182.16,Scratch-resistant seat cover.,seatandcover,BrandB,17.5,3.97,"(1.29, 1.28, 1.37)","{'Leather': 79, 'Foam': 20}",high,F5DEB3,DAA520,glossy,light
SC3917,Premium 3,32,224.92,Durable seat cover.,seatandcover,BrandB,17.59,3.92,"(1.0, 1.06, 1.01)","{'Leather': 72, 'Foam': 39}",medium,D4AF37,FF5733,unfinished,light
SC6140,Luxury 6,50,249.33,Durable seat cover.,seatandcover,BrandB,17.41,3.76,"(1.41, 1.01, 1.47)","{'Leather': 78, 'Foam': 35}",high,8B4513,708090,matte,uv
SC8140,UltraSoft 4,33,140.19,Comfortable seat cover.,seatandcover,BrandC,17.42,2.53,"(1.38, 1.26, 1.43)","{'Leather': 69, 'Foam': 36}",low,F5DEB3,F5DEB3,matte,dust
SC8744,Premium 3,41,221.7,Luxurious seat cover.,seatandcover,BrandA,17.46,2.76,"(1.03, 1.37, 1.33)","{'Leather': 80, 'Foam': 29}",undefined,FF5733,F5F5F5,glossy,light
SC3152,UltraSoft 7,11,227.7,Scratch-resistant seat cover.,seatandcover,BrandA,17.49,3.29,"(1.42, 1.49, 1.37)","{'Leather': 71, 'Foam': 38}",medium,FF0000,2F4F4F,glossy,dust
SC3614,Luxury 5,30,118.11,Durable seat cover.,seatandcover,BrandA,17.49,3.06,"(1.27, 1.01, 1.27)","{'Leather': 78, 'Foam': 36}",medium,FF5733,D4AF37,unfinished,scratch
SC9484,UltraSoft 7,18,240.14,Comfortable seat cover.,seatandcover,BrandC,17.53,2.52,"(1.11, 1.23, 1.04)","{'Leather': 72, 'Foam': 34}",low,2980B9,708090,matte,light
SC1956,Comfy 3,17,224.31,Comfortable seat cover.,seatandcover,BrandB,17.52,3.42,"(1.43, 1.41, 1.1)","{'Leather': 74, 'Foam': 32}",medium,D4AF37,2F4F4F,unfinished,dust
SC4168,Luxury 1,9,213.54,Comfortable seat cover.,seatandcover,BrandB,17.47,3.86,"(1.38, 1.07, 1.34)","{'Leather': 76, 'Foam': 24}",medium,D4AF37,FF5733,glossy,dust
SC3173,Luxury 5,20,198.04,Luxurious seat cover.,seatandcover,BrandC,17.41,3.81,"(1.07, 1.4, 1.34)","{'Leather': 60, 'Foam': 33}",undefined,F5DEB3,8B4513,glossy,scratch
SC7790,Luxury 2,5,246.49,Scratch-resistant seat cover.,seatandcover,BrandB,17.49,3.02,"(1.23, 1.38, 1.36)","{'Leather': 66, 'Foam': 25}",high,F5F5F5,D4AF37,matte,light
SC5212,Luxury 5,32,110.37,Scratch-resistant seat cover.,seatandcover,BrandA,17.56,3.28,"(1.4, 1.39, 1.14)","{'Leather': 72, 'Foam': 31}",undefined,2980B9,2980B9,glossy,light
SC2254,Luxury 7,13,187.39,Scratch-resistant seat cover.,seatandcover,BrandB,17.56,3.74,"(1.28, 1.36, 1.14)","{'Leather': 77, 'Foam': 29}",high,8B4513,F5F5F5,unfinished,scratch
SC4389,Premium 7,9,168.14,Comfortable seat cover.,seatandcover,BrandB,17.54,2.69,"(1.04, 1.31, 1.38)","{'Leather': 70, 'Foam': 22}",high,2980B9,F5DEB3,matte,light
SC4953,UltraSoft 1,11,178.26,Durable seat cover.,seatandcover,BrandC,17.59,2.69,"(1.08, 1.36, 1.2)","{'Leather': 66, 'Foam': 27}",undefined,2F4F4F,DAA520,glossy,uv
SC6348,Luxury 5,37,161.32,Comfortable seat cover.,seatandcover,BrandB,17.59,2.96,"(1.26, 1.29, 1.12)","{'Leather': 66, 'Foam': 20}",undefined,F5F5F5,F5F5F5,glossy,dust
SC3211,Comfy 9,48,116.4,Comfortable seat cover.,seatandcover,BrandC,17.41,2.79,"(1.12, 1.15, 1.28)","{'Leather': 61, 'Foam': 32}",high,FF5733,F5F5F5,glossy,scratch
SC1013,UltraSoft 5,21,113.12,Comfortable seat cover.,seatandcover,BrandA,17.42,3.46,"(1.39, 1.11, 1.34)","{'Leather': 79, 'Foam': 29}",low,F5DEB3,8B4513,matte,uv
SC7735,Luxury 2,1,152.13,Luxurious seat cover.,seatandcover,BrandC,17.54,3.03,"(1.26, 1.42, 1.42)","{'Leather': 73, 'Foam': 20}",medium,FF5733,F5DEB3,unfinished,light
SC5409,UltraSoft 8,46,183.03,Luxurious seat cover.,seatandcover,BrandB,17.54,2.79,"(1.17, 1.05, 1.08)","{'Leather': 63, 'Foam': 40}",low,F5DEB3,FF0000,unfinished,dust
SC9065,UltraSoft 4,9,101.49,Scratch-resistant seat cover.,seatandcover,BrandB,17.59,3.15,"(1.06, 1.03, 1.21)","{'Leather': 66, 'Foam': 36}",medium,708090,D4AF37,glossy,light
SC5798,UltraSoft 2,50,201.09,Scratch-resistant seat cover.,seatandcover,BrandA,17.45,3.34,"(1.08, 1.2, 1.28)","{'Leather': 76, 'Foam': 33}",medium,FF5733,D4AF37,matte,scratch
SC8702,Premium 7,45,174.07,Comfortable seat cover.,seatandcover,BrandB,17.6,3.42,"(1.09, 1.24, 1.2)","{'Leather': 79, 'Foam': 27}",undefined,FF5733,708090,matte,scratch
SC1976,Luxury 3,5,122.86,Durable seat cover.,seatandcover,BrandB,17.47,3.7,"(1.08, 1.41, 1.16)","{'Leather': 76, 'Foam': 34}",medium,D4AF37,2980B9,glossy,light
SC9848,Comfy 1,23,197.94,Scratch-resistant seat cover.,seatandcover,BrandB,17.45,3.94,"(1.34, 1.1, 1.22)","{'Leather': 71, 'Foam': 39}",high,FF5733,F5DEB3,matte,scratch
SC3408,Premium 9,21,200.61,Durable seat cover.,seatandcover,BrandC,17.45,3.09,"(1.22, 1.15, 1.34)","{'Leather': 67, 'Foam': 38}",medium,F5F5F5,2980B9,matte,light
SC5533,Premium 3,18,130.67,Comfortable seat cover.,seatandcover,BrandA,17.43,3.28,"(1.1, 1.08, 1.18)","{'Leather': 66, 'Foam': 28}",low,F5DEB3,D4AF37,unfinished,scratch
SC3455,Luxury 3,22,211.76,Durable seat cover.,seatandcover,BrandA,17.58,3.47,"(1.35, 1.41, 1.36)","{'Leather': 80, 'Foam': 29}",medium,F5F5F5,FF5733,matte,dust
SC3301,UltraSoft 8,43,222.93,Luxurious seat cover.,seatandcover,BrandC,17.58,3.29,"(1.37, 1.23, 1.44)","{'Leather': 66, 'Foam': 29}",high,F5F5F5,F5F5F5,unfinished,uv
SC4522,Comfy 1,44,128.26,Durable seat cover.,seatandcover,BrandB,17.48,3.03,"(1.17, 1.01, 1.47)","{'Leather': 78, 'Foam': 38}",medium,F5F5F5,D4AF37,matte,scratch
SC8230,UltraSoft 6,26,157.13,Comfortable seat cover.,seatandcover,BrandB,17.58,3.53,"(1.14, 1.48, 1.49)","{'Leather': 80, 'Foam': 29}",medium,708090,F5DEB3,unfinished,light
SC4409,Luxury 1,3,243.98,Luxurious seat cover.,seatandcover,BrandB,17.44,2.97,"(1.37, 1.27, 1.26)","{'Leather': 60, 'Foam': 26}",low,F5DEB3,DAA520,unfinished,uv
SC3098,UltraSoft 1,13,146.68,Luxurious seat cover.,seatandcover,BrandC,17.44,3.82,"(1.15, 1.47, 1.19)","{'Leather': 71, 'Foam': 22}",low,F5DEB3,FF0000,unfinished,uv
SC1770,Luxury 5,9,113.25,Scratch-resistant seat cover.,seatandcover,BrandA,17.6,3.1,"(1.43, 1.49, 1.1)","{'Leather': 62, 'Foam': 29}",high,2F4F4F,FF5733,matte,uv
SC3950,Premium 6,31,149.36,Durable seat cover.,seatandcover,BrandC,17.43,2.55,"(1.44, 1.3, 1.22)","{'Leather': 63, 'Foam': 29}",undefined,DAA520,708090,glossy,scratch
