id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,voltage,amperage,power_inout,avg_lifespan,temperature_rating,battery_type
BA8708,VoltPlus 6,34,227.61,Durable battery.,battery,BrandC,17.46,5.49,"(0.35, 0.39, 0.35)","{'Lead': 64, 'Acid': 47}",undefined,23.8,125.9,2996.42,4482,17,alkaline
BA2204,PowerMax 5,49,193.34,Long-lasting battery.,battery,BrandD,17.42,5.52,"(0.38, 0.48, 0.3)","{'Lead': 68, 'Acid': 38}",medium,12.6,148.4,1869.84,3710,33,alkaline
BA8032,AmpPro 6,43,204.92,High-capacity battery.,battery,BrandD,17.94,5.07,"(0.31, 0.48, 0.33)","{'Lead': 54, 'Acid': 37}",undefined,14.2,101.0,1434.2,3632,26,lead acid
BA1249,VoltPlus 7,27,127.1,Reliable battery.,battery,BrandD,17.36,4.57,"(0.33, 0.38, 0.35)","{'Lead': 64, 'Acid': 44}",undefined,19.1,195.5,3734.05,3119,15,alkaline
BA9950,PowerMax 2,23,180.1,Reliable battery.,battery,BrandA,17.4,3.0,"(0.43, 0.45, 0.47)","{'Lead': 61, 'Acid': 46}",low,16.4,117.0,1918.8,4655,-4,nickel-cadmium
BA7752,AmpPro 3,9,121.46,Reliable battery.,battery,BrandB,17.08,3.32,"(0.35, 0.47, 0.35)","{'Lead': 55, 'Acid': 45}",low,13.8,101.9,1406.22,4979,30,lithium-ion
BA7306,PowerMax 8,40,158.66,Long-lasting battery.,battery,BrandC,17.79,5.86,"(0.46, 0.45, 0.49)","{'Lead': 57, 'Acid': 50}",high,13.8,132.8,1832.64,4690,5,lead acid
BA3250,EnergyCore 8,8,141.79,Durable battery.,battery,BrandA,17.21,3.52,"(0.32, 0.41, 0.42)","{'Lead': 53, 'Acid': 45}",high,18.9,133.5,2523.15,4646,13,lead acid
BA9610,PowerMax 8,10,214.12,Reliable battery.,battery,BrandC,17.25,4.26,"(0.48, 0.44, 0.31)","{'Lead': 55, 'Acid': 43}",high,18.0,163.9,2950.2,3161,4,lead acid
BA4891,PowerMax 5,41,201.97,Long-lasting battery.,battery,BrandD,17.3,4.66,"(0.35, 0.33, 0.38)","{'Lead': 56, 'Acid': 49}",undefined,22.9,198.3,4541.07,4300,14,lithium-ion
BA3504,VoltPlus 2,8,215.66,Durable battery.,battery,BrandC,17.46,5.1,"(0.35, 0.42, 0.33)","{'Lead': 52, 'Acid': 48}",low,15.7,141.3,2218.41,3317,30,alkaline
BA7942,EnergyCore 5,31,217.25,High-capacity battery.,battery,BrandB,17.6,4.49,"(0.43, 0.47, 0.48)","{'Lead': 65, 'Acid': 50}",high,12.1,118.0,1427.8,4033,2,lead acid
BA9728,PowerMax 4,6,169.41,Reliable battery.,battery,BrandB,17.72,4.25,"(0.41, 0.38, 0.3)","{'Lead': 59, 'Acid': 47}",high,15.0,138.7,2080.5,4912,46,nickel-cadmium
BA7989,PowerMax 8,47,200.11,Reliable battery.,battery,BrandA,17.79,5.15,"(0.42, 0.33, 0.39)","{'Lead': 63, 'Acid': 50}",low,19.3,191.4,3694.02,4527,1,nickel-cadmium
BA5564,EnergyCore 5,36,156.89,High-capacity battery.,battery,BrandC,17.25,5.64,"(0.38, 0.3, 0.33)","{'Lead': 57, 'Acid': 42}",medium,14.7,166.2,2443.14,4899,5,alkaline
BA7713,AmpPro 2,43,190.11,Reliable battery.,battery,BrandC,17.59,4.83,"(0.35, 0.48, 0.32)","{'Lead': 51, 'Acid': 41}",medium,15.0,161.0,2415.0,4011,1,lithium-ion
BA1457,PowerMax 6,50,146.39,High-capacity battery.,battery,BrandC,17.85,5.26,"(0.32, 0.49, 0.49)","{'Lead': 61, 'Acid': 45}",undefined,20.4,164.0,3345.6,3099,44,lithium-ion
BA5314,VoltPlus 1,21,181.8,Long-lasting battery.,battery,BrandA,17.31,5.34,"(0.4, 0.43, 0.36)","{'Lead': 51, 'Acid': 38}",low,16.7,135.7,2266.19,3907,50,lead acid
BA8788,EnergyCore 4,29,141.38,Durable battery.,battery,BrandB,17.93,5.71,"(0.48, 0.39, 0.32)","{'Lead': 69, 'Acid': 44}",undefined,21.2,193.1,4093.72,3030,16,nickel-cadmium
BA8403,VoltPlus 4,14,131.27,Long-lasting battery.,battery,BrandC,17.48,4.9,"(0.36, 0.31, 0.5)","{'Lead': 66, 'Acid': 48}",low,17.7,102.8,1819.56,3176,32,lithium-ion
BA9980,EnergyCore 9,48,106.77,Durable battery.,battery,BrandC,17.47,3.49,"(0.36, 0.4, 0.31)","{'Lead': 67, 'Acid': 34}",medium,13.7,186.8,2559.16,3386,49,alkaline
BA4869,VoltPlus 5,29,128.76,Long-lasting battery.,battery,BrandD,17.65,5.72,"(0.49, 0.39, 0.33)","{'Lead': 65, 'Acid': 47}",high,17.4,198.9,3460.86,3561,26,lithium-ion
BA8895,EnergyCore 3,45,141.45,Durable battery.,battery,BrandD,17.23,3.86,"(0.38, 0.34, 0.33)","{'Lead': 63, 'Acid': 41}",medium,21.8,187.9,4096.22,3164,43,lead acid
BA9179,VoltPlus 8,30,161.0,High-capacity battery.,battery,BrandB,17.93,5.56,"(0.36, 0.3, 0.49)","{'Lead': 63, 'Acid': 42}",undefined,23.4,182.8,4277.52,3276,15,alkaline
BA1105,EnergyCore 1,3,119.54,High-capacity battery.,battery,BrandD,17.48,5.79,"(0.31, 0.39, 0.31)","{'Lead': 66, 'Acid': 40}",medium,17.4,190.2,3309.48,3909,46,lead acid
BA2247,EnergyCore 4,12,201.76,High-capacity battery.,battery,BrandD,17.24,3.44,"(0.34, 0.43, 0.43)","{'Lead': 66, 'Acid': 48}",medium,18.5,187.2,3463.2,4594,2,lead acid
BA5254,AmpPro 9,7,118.26,Durable battery.,battery,BrandC,17.62,4.64,"(0.35, 0.44, 0.49)","{'Lead': 67, 'Acid': 31}",undefined,16.4,120.6,1977.84,4154,9,lithium-ion
BA2245,AmpPro 8,45,168.32,Durable battery.,battery,BrandB,17.28,4.02,"(0.43, 0.43, 0.39)","{'Lead': 57, 'Acid': 41}",high,23.3,199.8,4655.34,3941,10,lithium-ion
BA7778,PowerMax 4,30,130.83,High-capacity battery.,battery,BrandA,17.44,4.59,"(0.37, 0.34, 0.44)","{'Lead': 59, 'Acid': 40}",undefined,20.1,129.2,2596.92,4493,33,alkaline
BA5531,PowerMax 4,15,116.14,High-capacity battery.,battery,BrandD,17.53,4.95,"(0.45, 0.37, 0.43)","{'Lead': 55, 'Acid': 35}",low,13.4,199.5,2673.3,3565,38,alkaline
BA4440,VoltPlus 9,25,139.71,Reliable battery.,battery,BrandD,17.21,5.82,"(0.5, 0.45, 0.42)","{'Lead': 54, 'Acid': 38}",undefined,22.5,165.6,3726.0,4319,6,lithium-ion
BA9415,VoltPlus 9,32,215.13,Long-lasting battery.,battery,BrandB,17.93,4.2,"(0.33, 0.38, 0.43)","{'Lead': 65, 'Acid': 45}",undefined,23.9,162.4,3881.36,3392,12,nickel-cadmium
BA3015,EnergyCore 3,15,167.08,Reliable battery.,battery,BrandA,17.05,3.41,"(0.4, 0.4, 0.36)","{'Lead': 51, 'Acid': 41}",high,13.1,177.0,2318.7,4282,-8,lead acid
BA5434,PowerMax 4,3,244.3,Durable battery.,battery,BrandC,17.31,5.91,"(0.37, 0.44, 0.42)","{'Lead': 63, 'Acid': 42}",undefined,22.6,167.8,3792.28,4176,24,alkaline
BA7334,AmpPro 5,21,236.53,High-capacity battery.,battery,BrandD,17.64,5.58,"(0.4, 0.35, 0.38)","{'Lead': 51, 'Acid': 38}",undefined,12.0,116.7,1400.4,4029,21,nickel-cadmium
BA3062,AmpPro 4,43,243.34,High-capacity battery.,battery,BrandD,17.71,4.77,"(0.44, 0.32, 0.46)","{'Lead': 67, 'Acid': 50}",undefined,19.7,169.2,3333.24,3965,39,lithium-ion
BA8162,PowerMax 3,17,220.94,Long-lasting battery.,battery,BrandD,17.5,5.12,"(0.47, 0.39, 0.36)","{'Lead': 65, 'Acid': 36}",undefined,17.6,132.4,2330.24,4389,43,lead acid
BA7224,PowerMax 1,41,102.48,High-capacity battery.,battery,BrandC,17.28,4.17,"(0.33, 0.45, 0.46)","{'Lead': 61, 'Acid': 33}",medium,19.2,193.6,3717.12,3404,-9,lithium-ion
BA5656,PowerMax 5,8,137.24,Reliable battery.,battery,BrandB,17.2,4.08,"(0.35, 0.33, 0.48)","{'Lead': 56, 'Acid': 30}",high,13.9,136.7,1900.13,3458,24,lead acid
BA5032,AmpPro 8,33,187.67,Reliable battery.,battery,BrandA,17.89,3.87,"(0.44, 0.39, 0.32)","{'Lead': 66, 'Acid': 50}",low,19.9,156.9,3122.31,4755,18,lithium-ion
BA8816,PowerMax 1,30,221.86,High-capacity battery.,battery,BrandD,17.34,4.44,"(0.37, 0.35, 0.31)","{'Lead': 55, 'Acid': 44}",medium,14.0,151.0,2114.0,3145,-10,lead acid
BA6916,PowerMax 1,28,103.16,Durable battery.,battery,BrandA,17.55,3.1,"(0.5, 0.4, 0.49)","{'Lead': 58, 'Acid': 49}",medium,15.0,194.7,2920.5,4045,-3,nickel-cadmium
BA9570,AmpPro 6,48,208.96,Long-lasting battery.,battery,BrandB,17.72,4.68,"(0.32, 0.31, 0.42)","{'Lead': 56, 'Acid': 45}",high,23.1,149.4,3451.14,4083,8,alkaline
BA1039,PowerMax 9,34,221.15,Durable battery.,battery,BrandA,17.81,5.23,"(0.44, 0.44, 0.5)","{'Lead': 54, 'Acid': 39}",medium,13.2,152.9,2018.28,3641,8,nickel-cadmium
BA2336,EnergyCore 9,15,119.69,Reliable battery.,battery,BrandD,17.14,5.01,"(0.4, 0.3, 0.34)","{'Lead': 63, 'Acid': 34}",high,12.9,109.5,1412.55,4198,38,lead acid
BA5718,VoltPlus 7,14,113.09,Long-lasting battery.,battery,BrandA,17.64,5.83,"(0.34, 0.49, 0.33)","{'Lead': 63, 'Acid': 34}",low,18.7,183.5,3431.45,3601,43,nickel-cadmium
BA4339,EnergyCore 6,29,169.23,Reliable battery.,battery,BrandC,17.24,3.29,"(0.36, 0.41, 0.49)","{'Lead': 61, 'Acid': 34}",medium,14.4,132.2,1903.68,3704,29,nickel-cadmium
BA2633,AmpPro 1,12,176.04,Durable battery.,battery,BrandD,17.36,4.39,"(0.49, 0.39, 0.34)","{'Lead': 60, 'Acid': 36}",undefined,19.2,195.6,3755.52,4104,36,nickel-cadmium
BA7562,EnergyCore 8,12,222.34,Durable battery.,battery,BrandD,17.45,3.45,"(0.43, 0.38, 0.32)","{'Lead': 57, 'Acid': 47}",undefined,17.0,145.0,2465.0,3006,2,nickel-cadmium
BA2275,EnergyCore 2,37,235.89,Long-lasting battery.,battery,BrandC,17.23,4.2,"(0.39, 0.37, 0.42)","{'Lead': 70, 'Acid': 33}",low,19.1,157.0,2998.7,4995,-5,alkaline
BA5088,PowerMax 7,19,166.98,Durable battery.,battery,BrandA,17.29,4.08,"(0.45, 0.39, 0.47)","{'Lead': 54, 'Acid': 50}",low,20.1,138.3,2779.83,4357,33,alkaline
BA3413,VoltPlus 5,6,213.2,Durable battery.,battery,BrandA,17.22,5.36,"(0.44, 0.42, 0.41)","{'Lead': 66, 'Acid': 46}",undefined,16.9,194.0,3278.6,4236,43,lithium-ion
BA3799,VoltPlus 3,28,153.12,High-capacity battery.,battery,BrandB,17.47,5.02,"(0.33, 0.45, 0.36)","{'Lead': 56, 'Acid': 31}",high,15.1,103.9,1568.89,4594,5,lead acid
BA7327,EnergyCore 7,36,166.42,Reliable battery.,battery,BrandD,17.16,5.11,"(0.4, 0.32, 0.35)","{'Lead': 51, 'Acid': 39}",medium,14.1,177.5,2502.75,3317,18,lead acid
BA3094,AmpPro 4,38,154.65,High-capacity battery.,battery,BrandD,17.49,4.54,"(0.47, 0.47, 0.44)","{'Lead': 69, 'Acid': 41}",low,17.5,134.5,2353.75,3858,-3,alkaline
BA3410,VoltPlus 2,45,128.55,Durable battery.,battery,BrandB,17.42,4.95,"(0.38, 0.39, 0.39)","{'Lead': 58, 'Acid': 34}",undefined,23.1,178.0,4111.8,4881,13,nickel-cadmium
BA8986,EnergyCore 4,3,111.21,Reliable battery.,battery,BrandD,17.65,5.13,"(0.43, 0.48, 0.33)","{'Lead': 70, 'Acid': 30}",undefined,14.5,199.3,2889.85,4058,49,alkaline
BA9153,VoltPlus 2,18,232.89,Reliable battery.,battery,BrandD,17.75,3.98,"(0.37, 0.4, 0.32)","{'Lead': 56, 'Acid': 45}",medium,22.7,145.6,3305.12,3606,18,alkaline
BA5329,EnergyCore 4,9,138.18,Reliable battery.,battery,BrandD,17.25,3.79,"(0.45, 0.45, 0.35)","{'Lead': 70, 'Acid': 37}",medium,21.5,118.1,2539.15,4610,-5,lead acid
BA5395,EnergyCore 7,28,236.79,Reliable battery.,battery,BrandB,17.3,4.79,"(0.35, 0.32, 0.43)","{'Lead': 60, 'Acid': 49}",medium,19.6,133.6,2618.56,4956,44,lithium-ion
BA7908,AmpPro 6,21,125.5,Reliable battery.,battery,BrandC,17.71,3.44,"(0.43, 0.48, 0.37)","{'Lead': 55, 'Acid': 43}",undefined,14.5,111.3,1613.85,4289,13,nickel-cadmium
BA7878,AmpPro 1,42,106.57,Long-lasting battery.,battery,BrandC,17.19,3.9,"(0.46, 0.46, 0.48)","{'Lead': 68, 'Acid': 41}",high,18.0,162.5,2925.0,4931,27,alkaline
BA6481,EnergyCore 8,38,148.7,Long-lasting battery.,battery,BrandD,17.8,5.04,"(0.45, 0.45, 0.33)","{'Lead': 50, 'Acid': 42}",high,20.9,107.7,2250.93,3097,48,lithium-ion
BA1706,AmpPro 9,6,191.15,Long-lasting battery.,battery,BrandA,17.23,3.68,"(0.31, 0.41, 0.42)","{'Lead': 63, 'Acid': 44}",medium,23.8,144.8,3446.24,3094,15,lead acid
BA6436,AmpPro 4,17,177.09,Reliable battery.,battery,BrandD,17.96,5.18,"(0.48, 0.42, 0.45)","{'Lead': 65, 'Acid': 37}",undefined,13.7,136.7,1872.79,4493,36,alkaline
BA3054,EnergyCore 3,38,140.34,Long-lasting battery.,battery,BrandB,17.23,4.53,"(0.49, 0.44, 0.44)","{'Lead': 69, 'Acid': 48}",low,15.8,162.8,2572.24,4374,18,nickel-cadmium
BA6006,EnergyCore 4,28,125.41,Durable battery.,battery,BrandD,17.27,5.91,"(0.32, 0.44, 0.36)","{'Lead': 66, 'Acid': 41}",high,19.0,119.0,2261.0,4825,5,lead acid
BA6557,VoltPlus 9,41,161.64,Long-lasting battery.,battery,BrandA,17.84,3.85,"(0.46, 0.42, 0.4)","{'Lead': 63, 'Acid': 50}",medium,20.2,199.8,4035.96,3847,-7,nickel-cadmium
BA4456,AmpPro 4,30,102.73,High-capacity battery.,battery,BrandD,17.07,3.91,"(0.43, 0.39, 0.31)","{'Lead': 66, 'Acid': 39}",undefined,23.4,143.4,3355.56,3352,-10,lithium-ion
BA8047,VoltPlus 2,46,181.34,Durable battery.,battery,BrandC,17.31,3.57,"(0.38, 0.32, 0.42)","{'Lead': 69, 'Acid': 31}",low,14.2,118.5,1682.7,4984,50,lead acid
BA6293,AmpPro 3,18,122.13,Long-lasting battery.,battery,BrandA,17.08,5.08,"(0.36, 0.34, 0.33)","{'Lead': 65, 'Acid': 36}",medium,20.4,181.0,3692.4,3320,41,lithium-ion
BA1157,AmpPro 3,15,144.44,Durable battery.,battery,BrandA,17.61,5.95,"(0.4, 0.47, 0.43)","{'Lead': 67, 'Acid': 37}",high,18.1,199.5,3610.95,4498,16,lithium-ion
BA2529,EnergyCore 5,28,228.34,Long-lasting battery.,battery,BrandD,17.78,4.85,"(0.38, 0.38, 0.3)","{'Lead': 51, 'Acid': 34}",high,14.8,143.4,2122.32,4929,24,nickel-cadmium
BA7233,VoltPlus 4,38,217.81,Reliable battery.,battery,BrandB,17.23,5.29,"(0.35, 0.46, 0.36)","{'Lead': 66, 'Acid': 35}",low,22.8,192.1,4379.88,4480,18,lithium-ion
BA3705,AmpPro 5,35,227.59,Long-lasting battery.,battery,BrandC,18.0,3.24,"(0.47, 0.42, 0.35)","{'Lead': 64, 'Acid': 49}",undefined,13.8,100.0,1380.0,4211,11,lead acid
BA7425,PowerMax 1,20,132.96,High-capacity battery.,battery,BrandC,17.35,4.92,"(0.43, 0.45, 0.42)","{'Lead': 61, 'Acid': 41}",high,20.0,122.3,2446.0,3700,48,lead acid
BA6194,EnergyCore 2,40,242.4,High-capacity battery.,battery,BrandB,17.91,5.49,"(0.32, 0.47, 0.38)","{'Lead': 57, 'Acid': 41}",medium,21.6,148.4,3205.44,4803,42,nickel-cadmium
BA1783,AmpPro 8,36,217.78,High-capacity battery.,battery,BrandC,17.24,5.56,"(0.34, 0.32, 0.35)","{'Lead': 68, 'Acid': 38}",low,23.4,110.2,2578.68,4887,50,alkaline
BA4259,VoltPlus 4,26,162.55,High-capacity battery.,battery,BrandA,17.88,4.62,"(0.3, 0.48, 0.42)","{'Lead': 56, 'Acid': 35}",medium,21.5,116.9,2513.35,3841,7,lithium-ion
BA7110,PowerMax 7,35,190.49,Reliable battery.,battery,BrandC,17.8,4.22,"(0.35, 0.42, 0.4)","{'Lead': 51, 'Acid': 31}",high,18.4,101.0,1858.4,3467,47,lead acid
BA1975,VoltPlus 6,31,114.47,Reliable battery.,battery,BrandC,17.05,5.12,"(0.46, 0.32, 0.38)","{'Lead': 69, 'Acid': 50}",high,21.5,163.1,3506.65,3028,3,alkaline
