id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,max_stress,brake_type
BR8616,MetalGrip 2,19,141.19,Reliable metal brake.,brake,BrandD,17.31,2.77,"(0.46, 0.32, 0.37)","{'Metal': 85, 'Ceramic': 22}",high,1384.8,metal
BR8666,RoadSafe 6,39,141.0,Reliable metal brake.,brake,BrandD,17.43,4.21,"(0.49, 0.34, 0.34)","{'Metal': 71, 'Ceramic': 17}",medium,909.1,metal
BR1163,QuickBrake 4,44,142.82,Durable ceramic brake.,brake,BrandA,17.36,2.84,"(0.41, 0.35, 0.39)","{'Metal': 82, 'Ceramic': 13}",medium,1143.9,ceramic
BR5612,PowerStop 9,10,121.0,Advanced metal brake.,brake,BrandE,17.58,2.83,"(0.38, 0.45, 0.39)","{'Metal': 77, 'Ceramic': 16}",high,1217.3,metal
BR1690,MetalGrip 6,48,113.57,Durable organic brake.,brake,BrandE,17.32,2.12,"(0.37, 0.32, 0.4)","{'Metal': 89, 'Ceramic': 27}",medium,916.4,organic
BR4300,MetalGrip 7,49,144.04,Affordable semi_metallic brake.,brake,BrandE,17.38,2.25,"(0.32, 0.34, 0.43)","{'Metal': 80, 'Ceramic': 12}",high,1275.0,semi_metallic
BR8344,QuickBrake 5,23,132.85,Reliable ceramic brake.,brake,BrandA,17.52,3.85,"(0.4, 0.47, 0.33)","{'Metal': 84, 'Ceramic': 30}",medium,1039.1,ceramic
BR3477,PowerStop 8,29,97.06,Durable organic brake.,brake,BrandD,17.51,2.91,"(0.4, 0.3, 0.34)","{'Metal': 84, 'Ceramic': 21}",high,1296.1,organic
BR7912,PowerStop 1,24,109.2,Durable organic brake.,brake,BrandA,17.32,4.26,"(0.34, 0.4, 0.38)","{'Metal': 79, 'Ceramic': 22}",medium,991.8,organic
BR5806,StopForce 8,44,141.29,Affordable semi_metallic brake.,brake,BrandC,17.43,3.24,"(0.39, 0.4, 0.39)","{'Metal': 82, 'Ceramic': 22}",low,1290.0,semi_metallic
BR8816,QuickBrake 6,32,127.07,Durable ceramic brake.,brake,BrandE,17.37,2.12,"(0.38, 0.45, 0.33)","{'Metal': 72, 'Ceramic': 28}",high,1139.7,ceramic
BR7335,MetalGrip 2,42,136.95,Durable metal brake.,brake,BrandE,17.35,4.54,"(0.33, 0.35, 0.45)","{'Metal': 73, 'Ceramic': 11}",high,961.3,metal
BR8986,PowerStop 6,22,103.15,Reliable semi_metallic brake.,brake,BrandB,17.34,4.19,"(0.5, 0.42, 0.33)","{'Metal': 82, 'Ceramic': 14}",low,1069.8,semi_metallic
BR9897,QuickBrake 5,40,112.66,Affordable semi_metallic brake.,brake,BrandA,17.58,4.39,"(0.49, 0.34, 0.39)","{'Metal': 88, 'Ceramic': 10}",medium,1247.2,semi_metallic
BR4408,PowerStop 5,33,143.88,Advanced semi_metallic brake.,brake,BrandC,17.49,4.3,"(0.31, 0.49, 0.47)","{'Metal': 81, 'Ceramic': 26}",low,934.4,semi_metallic
BR1735,RoadSafe 6,49,129.03,Affordable metal brake.,brake,BrandA,17.5,4.4,"(0.43, 0.4, 0.31)","{'Metal': 71, 'Ceramic': 17}",high,1485.7,metal
BR1080,PowerStop 7,17,91.37,Advanced semi_metallic brake.,brake,BrandA,17.32,4.01,"(0.42, 0.47, 0.42)","{'Metal': 82, 'Ceramic': 22}",low,1317.9,semi_metallic
BR2486,PowerStop 5,33,97.61,Advanced semi_metallic brake.,brake,BrandE,17.56,4.61,"(0.33, 0.5, 0.4)","{'Metal': 72, 'Ceramic': 12}",low,989.8,semi_metallic
BR5086,RoadSafe 5,41,133.4,Affordable semi_metallic brake.,brake,BrandC,17.52,3.7,"(0.35, 0.32, 0.3)","{'Metal': 84, 'Ceramic': 30}",high,1236.9,semi_metallic
BR6434,StopForce 8,47,101.68,Durable semi_metallic brake.,brake,BrandB,17.41,4.02,"(0.45, 0.36, 0.46)","{'Metal': 82, 'Ceramic': 15}",low,1059.8,semi_metallic
BR4961,StopForce 1,28,95.95,Affordable ceramic brake.,brake,BrandB,17.56,4.45,"(0.48, 0.31, 0.47)","{'Metal': 79, 'Ceramic': 15}",medium,1230.2,ceramic
BR9606,PowerStop 7,9,80.93,Durable ceramic brake.,brake,BrandD,17.59,3.87,"(0.38, 0.49, 0.46)","{'Metal': 75, 'Ceramic': 17}",high,1116.2,ceramic
BR9421,StopForce 4,34,122.27,Reliable semi_metallic brake.,brake,BrandC,17.42,2.73,"(0.47, 0.3, 0.3)","{'Metal': 81, 'Ceramic': 28}",medium,1117.5,semi_metallic
BR4101,QuickBrake 8,24,127.16,Reliable organic brake.,brake,BrandB,17.4,2.3,"(0.42, 0.36, 0.32)","{'Metal': 86, 'Ceramic': 17}",low,1157.5,organic
BR5401,QuickBrake 5,42,133.68,Durable metal brake.,brake,BrandE,17.49,3.66,"(0.46, 0.5, 0.3)","{'Metal': 85, 'Ceramic': 14}",low,1412.2,metal
BR8922,PowerStop 3,19,89.37,Affordable semi_metallic brake.,brake,BrandD,17.41,4.9,"(0.35, 0.36, 0.39)","{'Metal': 78, 'Ceramic': 25}",high,966.5,semi_metallic
BR8151,PowerStop 2,17,92.75,Durable semi_metallic brake.,brake,BrandB,17.46,3.2,"(0.38, 0.43, 0.34)","{'Metal': 70, 'Ceramic': 25}",medium,1084.2,semi_metallic
BR6469,StopForce 9,13,146.83,Affordable semi_metallic brake.,brake,BrandB,17.48,2.58,"(0.33, 0.32, 0.34)","{'Metal': 72, 'Ceramic': 19}",medium,1138.9,semi_metallic
BR5286,PowerStop 9,50,120.92,Advanced organic brake.,brake,BrandD,17.48,3.93,"(0.46, 0.5, 0.36)","{'Metal': 77, 'Ceramic': 18}",medium,1055.2,organic
BR3737,MetalGrip 2,5,112.99,Reliable metal brake.,brake,BrandE,17.33,2.32,"(0.33, 0.4, 0.47)","{'Metal': 75, 'Ceramic': 12}",low,1216.2,metal
BR3174,QuickBrake 3,31,83.79,Durable metal brake.,brake,BrandB,17.55,3.3,"(0.32, 0.41, 0.5)","{'Metal': 79, 'Ceramic': 15}",medium,924.3,metal
BR4651,RoadSafe 6,50,147.84,Reliable metal brake.,brake,BrandD,17.48,2.03,"(0.32, 0.49, 0.48)","{'Metal': 90, 'Ceramic': 28}",medium,962.2,metal
BR5762,RoadSafe 3,19,112.47,Durable organic brake.,brake,BrandD,17.45,2.34,"(0.49, 0.42, 0.45)","{'Metal': 71, 'Ceramic': 18}",medium,1191.6,organic
BR4775,MetalGrip 2,30,148.24,Durable metal brake.,brake,BrandA,17.39,4.41,"(0.4, 0.42, 0.44)","{'Metal': 85, 'Ceramic': 26}",low,1382.9,metal
BR3503,RoadSafe 2,32,133.61,Reliable ceramic brake.,brake,BrandE,17.49,3.79,"(0.36, 0.36, 0.46)","{'Metal': 80, 'Ceramic': 23}",medium,1157.6,ceramic
BR7727,StopForce 4,50,113.95,Advanced semi_metallic brake.,brake,BrandA,17.34,2.11,"(0.5, 0.43, 0.38)","{'Metal': 76, 'Ceramic': 20}",high,1065.6,semi_metallic
BR6340,MetalGrip 9,42,102.08,Advanced semi_metallic brake.,brake,BrandD,17.55,3.71,"(0.41, 0.4, 0.36)","{'Metal': 78, 'Ceramic': 15}",low,1208.1,semi_metallic
BR3777,StopForce 1,2,87.2,Reliable organic brake.,brake,BrandE,17.39,2.03,"(0.39, 0.35, 0.33)","{'Metal': 83, 'Ceramic': 29}",low,1435.1,organic
BR4648,MetalGrip 5,43,116.18,Affordable semi_metallic brake.,brake,BrandD,17.32,3.16,"(0.48, 0.48, 0.36)","{'Metal': 83, 'Ceramic': 24}",low,998.6,semi_metallic
BR1999,PowerStop 3,19,126.52,Durable ceramic brake.,brake,BrandE,17.57,2.02,"(0.46, 0.38, 0.46)","{'Metal': 89, 'Ceramic': 21}",low,1025.2,ceramic
BR9834,RoadSafe 6,39,116.71,Affordable semi_metallic brake.,brake,BrandC,17.34,2.09,"(0.34, 0.38, 0.47)","{'Metal': 70, 'Ceramic': 26}",high,1190.1,semi_metallic
BR8697,QuickBrake 9,8,99.92,Advanced organic brake.,brake,BrandD,17.51,2.87,"(0.41, 0.46, 0.43)","{'Metal': 76, 'Ceramic': 27}",low,1433.7,organic
BR6831,StopForce 6,12,101.34,Advanced metal brake.,brake,BrandD,17.6,3.08,"(0.3, 0.31, 0.3)","{'Metal': 84, 'Ceramic': 19}",low,903.0,metal
BR4669,MetalGrip 2,29,105.94,Durable organic brake.,brake,BrandA,17.34,4.7,"(0.3, 0.49, 0.39)","{'Metal': 79, 'Ceramic': 12}",medium,1325.2,organic
BR9855,MetalGrip 2,36,85.5,Advanced organic brake.,brake,BrandA,17.52,4.59,"(0.4, 0.38, 0.39)","{'Metal': 79, 'Ceramic': 13}",high,1357.8,organic
BR7482,StopForce 7,30,96.2,Reliable metal brake.,brake,BrandD,17.49,4.36,"(0.39, 0.46, 0.48)","{'Metal': 75, 'Ceramic': 21}",medium,1303.3,metal
BR2986,QuickBrake 8,11,88.97,Reliable metal brake.,brake,BrandD,17.39,3.67,"(0.32, 0.41, 0.45)","{'Metal': 71, 'Ceramic': 18}",low,1428.4,metal
BR6057,QuickBrake 6,3,85.47,Reliable metal brake.,brake,BrandE,17.5,4.41,"(0.46, 0.41, 0.43)","{'Metal': 84, 'Ceramic': 26}",medium,1075.4,metal
BR8001,QuickBrake 5,22,119.81,Affordable organic brake.,brake,BrandE,17.43,4.39,"(0.48, 0.39, 0.49)","{'Metal': 83, 'Ceramic': 11}",medium,1007.6,organic
BR8712,MetalGrip 6,17,142.63,Reliable metal brake.,brake,BrandE,17.52,2.48,"(0.34, 0.39, 0.4)","{'Metal': 84, 'Ceramic': 20}",medium,1007.0,metal
BR7644,PowerStop 4,17,148.55,Advanced metal brake.,brake,BrandD,17.4,2.92,"(0.33, 0.3, 0.49)","{'Metal': 72, 'Ceramic': 25}",high,1232.5,metal
BR7086,StopForce 2,47,118.97,Advanced ceramic brake.,brake,BrandA,17.34,4.74,"(0.44, 0.48, 0.45)","{'Metal': 75, 'Ceramic': 13}",high,1400.1,ceramic
BR9648,RoadSafe 1,41,142.44,Affordable organic brake.,brake,BrandD,17.45,3.65,"(0.35, 0.46, 0.38)","{'Metal': 73, 'Ceramic': 10}",medium,1388.6,organic
BR4768,StopForce 6,26,81.49,Durable ceramic brake.,brake,BrandD,17.56,4.04,"(0.31, 0.45, 0.34)","{'Metal': 83, 'Ceramic': 22}",low,1283.7,ceramic
BR4650,StopForce 1,6,120.84,Affordable metal brake.,brake,BrandE,17.4,4.94,"(0.46, 0.33, 0.35)","{'Metal': 89, 'Ceramic': 30}",low,990.3,metal
BR5631,RoadSafe 9,31,122.58,Affordable semi_metallic brake.,brake,BrandE,17.4,3.51,"(0.48, 0.48, 0.38)","{'Metal': 73, 'Ceramic': 10}",low,1255.5,semi_metallic
BR7327,MetalGrip 1,21,139.91,Affordable metal brake.,brake,BrandD,17.41,4.58,"(0.41, 0.44, 0.32)","{'Metal': 75, 'Ceramic': 17}",low,1330.8,metal
BR6845,PowerStop 1,40,100.77,Advanced metal brake.,brake,BrandD,17.41,2.35,"(0.44, 0.42, 0.5)","{'Metal': 86, 'Ceramic': 25}",low,1225.9,metal
BR4408,RoadSafe 3,6,108.01,Advanced organic brake.,brake,BrandB,17.4,3.69,"(0.41, 0.37, 0.49)","{'Metal': 77, 'Ceramic': 25}",high,1485.7,organic
BR8054,StopForce 7,19,122.66,Affordable metal brake.,brake,BrandD,17.5,4.94,"(0.42, 0.44, 0.49)","{'Metal': 82, 'Ceramic': 26}",low,1432.2,metal
BR1354,MetalGrip 9,25,135.55,Affordable semi_metallic brake.,brake,BrandB,17.32,4.48,"(0.32, 0.49, 0.5)","{'Metal': 70, 'Ceramic': 17}",low,1045.9,semi_metallic
BR5568,QuickBrake 9,44,109.37,Reliable organic brake.,brake,BrandC,17.41,2.53,"(0.31, 0.46, 0.48)","{'Metal': 84, 'Ceramic': 14}",medium,1277.7,organic
BR5854,MetalGrip 1,13,89.1,Reliable metal brake.,brake,BrandE,17.42,4.33,"(0.46, 0.48, 0.47)","{'Metal': 74, 'Ceramic': 25}",medium,1396.4,metal
BR6368,QuickBrake 7,46,120.4,Advanced ceramic brake.,brake,BrandD,17.45,3.97,"(0.47, 0.35, 0.31)","{'Metal': 76, 'Ceramic': 10}",high,1158.7,ceramic
BR6106,StopForce 6,37,102.9,Durable metal brake.,brake,BrandE,17.42,4.7,"(0.35, 0.35, 0.33)","{'Metal': 81, 'Ceramic': 30}",high,957.9,metal
BR3139,MetalGrip 9,3,106.32,Durable ceramic brake.,brake,BrandE,17.36,3.55,"(0.34, 0.48, 0.49)","{'Metal': 76, 'Ceramic': 27}",low,1408.4,ceramic
BR6331,RoadSafe 2,38,96.03,Advanced ceramic brake.,brake,BrandA,17.34,2.95,"(0.45, 0.46, 0.49)","{'Metal': 76, 'Ceramic': 29}",medium,972.2,ceramic
BR2505,RoadSafe 7,37,96.64,Affordable organic brake.,brake,BrandD,17.59,2.67,"(0.36, 0.35, 0.45)","{'Metal': 87, 'Ceramic': 30}",medium,1221.9,organic
BR2013,RoadSafe 9,49,106.83,Advanced ceramic brake.,brake,BrandE,17.46,2.52,"(0.44, 0.32, 0.4)","{'Metal': 74, 'Ceramic': 22}",medium,1428.5,ceramic
BR4605,RoadSafe 6,37,87.06,Reliable ceramic brake.,brake,BrandD,17.54,2.78,"(0.47, 0.36, 0.32)","{'Metal': 74, 'Ceramic': 21}",low,1469.2,ceramic
BR8725,MetalGrip 5,31,130.55,Durable organic brake.,brake,BrandE,17.47,4.21,"(0.36, 0.43, 0.48)","{'Metal': 88, 'Ceramic': 27}",medium,937.5,organic
BR3735,StopForce 1,9,148.99,Durable ceramic brake.,brake,BrandB,17.56,4.57,"(0.44, 0.49, 0.33)","{'Metal': 79, 'Ceramic': 19}",medium,1095.7,ceramic
BR1135,MetalGrip 2,3,100.23,Affordable semi_metallic brake.,brake,BrandD,17.54,3.94,"(0.37, 0.37, 0.33)","{'Metal': 75, 'Ceramic': 23}",high,1418.4,semi_metallic
BR6085,MetalGrip 1,48,149.6,Reliable ceramic brake.,brake,BrandC,17.34,2.32,"(0.36, 0.46, 0.36)","{'Metal': 81, 'Ceramic': 14}",low,1012.5,ceramic
BR4650,RoadSafe 4,37,114.63,Affordable semi_metallic brake.,brake,BrandA,17.37,2.95,"(0.45, 0.42, 0.43)","{'Metal': 77, 'Ceramic': 27}",high,1195.2,semi_metallic
BR2999,MetalGrip 9,41,103.61,Advanced ceramic brake.,brake,BrandA,17.37,3.23,"(0.38, 0.34, 0.5)","{'Metal': 71, 'Ceramic': 10}",low,1161.1,ceramic
BR3279,RoadSafe 8,12,112.54,Durable metal brake.,brake,BrandC,17.56,4.64,"(0.32, 0.47, 0.34)","{'Metal': 72, 'Ceramic': 29}",medium,1291.9,metal
BR9405,RoadSafe 1,1,96.74,Advanced metal brake.,brake,BrandB,17.55,4.14,"(0.3, 0.48, 0.39)","{'Metal': 73, 'Ceramic': 27}",high,1305.1,metal
BR4796,QuickBrake 6,2,106.26,Durable metal brake.,brake,BrandE,17.52,2.13,"(0.46, 0.4, 0.36)","{'Metal': 72, 'Ceramic': 24}",medium,1034.3,metal
BR6163,PowerStop 7,40,95.54,Durable organic brake.,brake,BrandA,17.57,4.67,"(0.47, 0.31, 0.31)","{'Metal': 76, 'Ceramic': 15}",high,1045.7,organic
BR2003,MetalGrip 9,39,96.47,Reliable organic brake.,brake,BrandB,17.48,3.55,"(0.44, 0.38, 0.36)","{'Metal': 74, 'Ceramic': 28}",high,1238.8,organic
BR4445,RoadSafe 2,11,110.14,Durable metal brake.,brake,BrandA,17.42,4.08,"(0.3, 0.44, 0.5)","{'Metal': 83, 'Ceramic': 10}",low,1142.6,metal
BR7193,StopForce 6,48,105.64,Durable metal brake.,brake,BrandB,17.36,4.44,"(0.42, 0.4, 0.48)","{'Metal': 89, 'Ceramic': 14}",low,1208.0,metal
BR1039,MetalGrip 8,18,128.01,Advanced organic brake.,brake,BrandC,17.44,2.9,"(0.41, 0.48, 0.36)","{'Metal': 85, 'Ceramic': 18}",medium,1249.0,organic
BR2094,MetalGrip 2,28,92.85,Advanced organic brake.,brake,BrandC,17.53,4.28,"(0.48, 0.44, 0.31)","{'Metal': 78, 'Ceramic': 23}",high,1164.9,organic
BR1422,MetalGrip 7,3,139.46,Advanced organic brake.,brake,BrandB,17.51,2.45,"(0.34, 0.49, 0.36)","{'Metal': 88, 'Ceramic': 27}",high,1402.6,organic
BR1101,QuickBrake 8,6,142.4,Affordable organic brake.,brake,BrandB,17.49,4.05,"(0.41, 0.45, 0.39)","{'Metal': 90, 'Ceramic': 23}",high,983.4,organic
BR9474,PowerStop 1,13,120.65,Advanced organic brake.,brake,BrandA,17.6,2.17,"(0.47, 0.33, 0.45)","{'Metal': 83, 'Ceramic': 25}",high,1257.1,organic
BR8382,QuickBrake 4,18,137.99,Durable metal brake.,brake,BrandB,17.38,2.31,"(0.49, 0.44, 0.46)","{'Metal': 89, 'Ceramic': 30}",medium,1043.4,metal
BR7202,QuickBrake 4,14,113.34,Reliable metal brake.,brake,BrandC,17.6,4.48,"(0.32, 0.44, 0.42)","{'Metal': 81, 'Ceramic': 13}",high,930.2,metal
BR1301,QuickBrake 6,48,98.07,Advanced metal brake.,brake,BrandB,17.45,3.37,"(0.36, 0.41, 0.48)","{'Metal': 85, 'Ceramic': 21}",low,953.8,metal
BR5107,QuickBrake 1,45,138.3,Durable organic brake.,brake,BrandA,17.56,4.91,"(0.45, 0.45, 0.41)","{'Metal': 88, 'Ceramic': 19}",high,1464.5,organic
BR8683,StopForce 7,41,148.74,Durable organic brake.,brake,BrandA,17.58,3.76,"(0.48, 0.36, 0.44)","{'Metal': 81, 'Ceramic': 18}",medium,1142.9,organic
BR7756,MetalGrip 8,38,96.93,Durable ceramic brake.,brake,BrandD,17.44,3.85,"(0.5, 0.43, 0.33)","{'Metal': 80, 'Ceramic': 22}",low,971.0,ceramic
