id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,primary_color
PA6614,Ocean 5,23,35.57,Glossy paint.,paint,BrandA,17.57,1.06,"(0.23, 0.22, 0.22)","{'Pigment': 58, 'Solvent': 27, 'Resin': 18}",medium,D4AF37
PA8779,Sunset 5,48,43.05,Matte paint.,paint,BrandC,17.43,1.26,"(0.23, 0.28, 0.21)","{'Pigment': 52, 'Solvent': 30, 'Resin': 18}",medium,D4AF37
PA3901,Sunset 7,29,42.57,Premium paint.,paint,BrandB,17.48,1.31,"(0.24, 0.22, 0.28)","{'Pigment': 51, 'Solvent': 29, 'Resin': 18}",low,8B4513
PA7012,Sky 6,47,50.84,Matte paint.,paint,BrandC,17.47,1.42,"(0.3, 0.21, 0.22)","{'Pigment': 60, 'Solvent': 23, 'Resin': 12}",high,2980B9
PA1607,Blackout 3,30,49.15,Glossy paint.,paint,BrandC,17.45,1.07,"(0.25, 0.25, 0.29)","{'Pigment': 51, 'Solvent': 21, 'Resin': 19}",medium,FF5733
PA8209,Frost 5,19,39.21,Glossy paint.,paint,BrandB,17.51,1.14,"(0.22, 0.25, 0.25)","{'Pigment': 56, 'Solvent': 24, 'Resin': 14}",undefined,FF0000
PA7417,Blackout 4,31,39.47,Matte paint.,paint,BrandC,17.43,1.43,"(0.25, 0.3, 0.28)","{'Pigment': 56, 'Solvent': 30, 'Resin': 18}",medium,2980B9
PA6962,Sky 7,2,45.94,High-durability paint.,paint,BrandB,17.42,1.06,"(0.28, 0.26, 0.23)","{'Pigment': 54, 'Solvent': 22, 'Resin': 19}",undefined,FF5733
PA6986,Frost 9,44,48.59,Matte paint.,paint,BrandA,17.56,1.07,"(0.23, 0.29, 0.22)","{'Pigment': 57, 'Solvent': 29, 'Resin': 14}",low,DAA520
PA7458,Sunset 1,49,36.26,High-durability paint.,paint,BrandC,17.47,1.49,"(0.24, 0.29, 0.27)","{'Pigment': 51, 'Solvent': 21, 'Resin': 13}",undefined,708090
PA7379,Blackout 3,13,56.16,High-durability paint.,paint,BrandA,17.58,1.22,"(0.21, 0.27, 0.24)","{'Pigment': 58, 'Solvent': 30, 'Resin': 14}",high,8B4513
PA5870,Sky 6,30,39.16,Premium paint.,paint,BrandA,17.51,1.19,"(0.23, 0.3, 0.26)","{'Pigment': 54, 'Solvent': 27, 'Resin': 10}",low,8B4513
PA4619,Sky 6,1,43.08,Matte paint.,paint,BrandC,17.41,1.21,"(0.29, 0.28, 0.21)","{'Pigment': 50, 'Solvent': 23, 'Resin': 18}",medium,8B4513
PA6509,Sunset 7,27,52.58,Glossy paint.,paint,BrandB,17.57,1.09,"(0.21, 0.26, 0.21)","{'Pigment': 58, 'Solvent': 25, 'Resin': 20}",undefined,DAA520
PA4697,Blackout 9,38,39.56,Premium paint.,paint,BrandA,17.56,1.27,"(0.21, 0.29, 0.29)","{'Pigment': 58, 'Solvent': 26, 'Resin': 20}",high,DAA520
PA9965,Frost 6,46,47.81,Glossy paint.,paint,BrandA,17.5,1.26,"(0.24, 0.23, 0.21)","{'Pigment': 58, 'Solvent': 21, 'Resin': 18}",medium,2980B9
PA1832,Frost 5,20,57.68,High-durability paint.,paint,BrandA,17.5,1.26,"(0.29, 0.27, 0.27)","{'Pigment': 54, 'Solvent': 24, 'Resin': 17}",medium,708090
PA9033,Sky 7,46,55.11,Glossy paint.,paint,BrandA,17.57,1.24,"(0.29, 0.2, 0.27)","{'Pigment': 51, 'Solvent': 28, 'Resin': 20}",high,2F4F4F
PA3100,Frost 4,42,33.14,Matte paint.,paint,BrandC,17.43,1.17,"(0.25, 0.22, 0.29)","{'Pigment': 58, 'Solvent': 24, 'Resin': 17}",low,8B4513
PA7417,Frost 6,32,55.3,High-durability paint.,paint,BrandA,17.59,1.06,"(0.23, 0.23, 0.28)","{'Pigment': 56, 'Solvent': 21, 'Resin': 18}",undefined,FF5733
PA7479,Sky 3,6,52.18,High-durability paint.,paint,BrandC,17.6,1.44,"(0.24, 0.26, 0.26)","{'Pigment': 54, 'Solvent': 24, 'Resin': 11}",medium,2980B9
PA9776,Sunset 5,36,49.15,Premium paint.,paint,BrandA,17.49,1.31,"(0.25, 0.26, 0.2)","{'Pigment': 51, 'Solvent': 22, 'Resin': 16}",medium,F5F5F5
PA9106,Ocean 3,3,47.07,Premium paint.,paint,BrandC,17.54,1.25,"(0.25, 0.27, 0.2)","{'Pigment': 57, 'Solvent': 23, 'Resin': 17}",low,2980B9
PA8268,Frost 6,1,55.78,Premium paint.,paint,BrandA,17.56,1.18,"(0.22, 0.23, 0.22)","{'Pigment': 50, 'Solvent': 28, 'Resin': 11}",medium,FF0000
PA9317,Sunset 9,30,48.91,Glossy paint.,paint,BrandB,17.54,1.21,"(0.29, 0.24, 0.29)","{'Pigment': 56, 'Solvent': 23, 'Resin': 19}",undefined,D4AF37
PA2920,Ocean 7,23,42.85,Glossy paint.,paint,BrandC,17.44,1.45,"(0.28, 0.22, 0.28)","{'Pigment': 58, 'Solvent': 26, 'Resin': 11}",high,708090
PA7672,Ocean 1,16,41.49,Matte paint.,paint,BrandA,17.56,1.16,"(0.28, 0.22, 0.28)","{'Pigment': 55, 'Solvent': 30, 'Resin': 10}",high,F5DEB3
PA5905,Blackout 6,32,54.01,Matte paint.,paint,BrandC,17.48,1.2,"(0.28, 0.29, 0.23)","{'Pigment': 51, 'Solvent': 28, 'Resin': 11}",medium,F5DEB3
PA9006,Blackout 5,49,54.13,Glossy paint.,paint,BrandC,17.45,1.15,"(0.24, 0.24, 0.28)","{'Pigment': 59, 'Solvent': 25, 'Resin': 15}",high,2F4F4F
PA9042,Sunset 2,23,49.46,Matte paint.,paint,BrandC,17.5,1.09,"(0.21, 0.21, 0.25)","{'Pigment': 52, 'Solvent': 23, 'Resin': 10}",undefined,D4AF37
PA9007,Ocean 1,28,55.66,Premium paint.,paint,BrandB,17.45,1.05,"(0.23, 0.28, 0.23)","{'Pigment': 60, 'Solvent': 28, 'Resin': 18}",medium,FF0000
PA7758,Blackout 2,48,31.23,High-durability paint.,paint,BrandA,17.52,1.48,"(0.29, 0.29, 0.27)","{'Pigment': 56, 'Solvent': 26, 'Resin': 12}",medium,708090
PA2494,Frost 2,41,30.32,High-durability paint.,paint,BrandC,17.49,1.18,"(0.25, 0.24, 0.26)","{'Pigment': 52, 'Solvent': 27, 'Resin': 16}",high,DAA520
PA1909,Frost 4,18,30.92,High-durability paint.,paint,BrandC,17.53,1.04,"(0.29, 0.3, 0.22)","{'Pigment': 51, 'Solvent': 28, 'Resin': 16}",medium,F5DEB3
PA6996,Blackout 7,32,32.37,Matte paint.,paint,BrandB,17.46,1.12,"(0.3, 0.25, 0.23)","{'Pigment': 56, 'Solvent': 25, 'Resin': 14}",low,708090
PA6683,Ocean 8,3,35.1,Glossy paint.,paint,BrandA,17.53,1.01,"(0.2, 0.28, 0.21)","{'Pigment': 55, 'Solvent': 29, 'Resin': 12}",low,D4AF37
PA7728,Blackout 9,14,36.86,Premium paint.,paint,BrandB,17.57,1.05,"(0.3, 0.26, 0.22)","{'Pigment': 50, 'Solvent': 22, 'Resin': 16}",low,FF5733
PA7951,Frost 4,9,34.48,Glossy paint.,paint,BrandA,17.58,1.05,"(0.29, 0.27, 0.27)","{'Pigment': 56, 'Solvent': 29, 'Resin': 19}",high,F5F5F5
PA3908,Sky 7,26,55.57,Matte paint.,paint,BrandB,17.41,1.41,"(0.24, 0.23, 0.24)","{'Pigment': 60, 'Solvent': 27, 'Resin': 14}",low,FF0000
PA5416,Blackout 3,10,49.23,Matte paint.,paint,BrandB,17.42,1.09,"(0.25, 0.22, 0.28)","{'Pigment': 50, 'Solvent': 20, 'Resin': 10}",high,D4AF37
PA9470,Sunset 2,41,32.19,Matte paint.,paint,BrandB,17.47,1.42,"(0.24, 0.28, 0.25)","{'Pigment': 59, 'Solvent': 29, 'Resin': 12}",medium,F5DEB3
PA3388,Ocean 9,43,37.27,High-durability paint.,paint,BrandB,17.59,1.06,"(0.21, 0.25, 0.27)","{'Pigment': 53, 'Solvent': 23, 'Resin': 10}",undefined,F5F5F5
PA7709,Blackout 1,3,42.73,Matte paint.,paint,BrandC,17.42,1.28,"(0.26, 0.26, 0.3)","{'Pigment': 53, 'Solvent': 20, 'Resin': 14}",medium,F5F5F5
PA6890,Sky 9,50,45.98,Glossy paint.,paint,BrandB,17.53,1.2,"(0.25, 0.21, 0.24)","{'Pigment': 56, 'Solvent': 30, 'Resin': 12}",medium,FF0000
PA7229,Sunset 9,19,37.31,Glossy paint.,paint,BrandC,17.44,1.3,"(0.29, 0.22, 0.3)","{'Pigment': 56, 'Solvent': 27, 'Resin': 17}",undefined,708090
PA4789,Blackout 9,12,33.2,Premium paint.,paint,BrandA,17.56,1.4,"(0.3, 0.21, 0.22)","{'Pigment': 59, 'Solvent': 25, 'Resin': 18}",low,D4AF37
PA2463,Sky 6,36,46.14,High-durability paint.,paint,BrandA,17.49,1.04,"(0.27, 0.3, 0.3)","{'Pigment': 56, 'Solvent': 22, 'Resin': 13}",low,F5DEB3
PA8999,Sky 2,36,54.58,Matte paint.,paint,BrandC,17.53,1.32,"(0.28, 0.26, 0.26)","{'Pigment': 57, 'Solvent': 24, 'Resin': 19}",undefined,F5DEB3
PA1379,Sky 7,45,45.1,Glossy paint.,paint,BrandC,17.58,1.26,"(0.26, 0.27, 0.24)","{'Pigment': 60, 'Solvent': 30, 'Resin': 19}",low,FF5733
PA9762,Sunset 8,39,32.53,Glossy paint.,paint,BrandC,17.55,1.11,"(0.27, 0.25, 0.27)","{'Pigment': 50, 'Solvent': 26, 'Resin': 12}",low,FF5733
PA3354,Sky 9,14,55.89,High-durability paint.,paint,BrandC,17.59,1.33,"(0.22, 0.27, 0.27)","{'Pigment': 59, 'Solvent': 24, 'Resin': 11}",medium,FF0000
PA2311,Sky 6,1,38.28,Glossy paint.,paint,BrandC,17.44,1.43,"(0.25, 0.27, 0.21)","{'Pigment': 50, 'Solvent': 28, 'Resin': 18}",undefined,FF5733
PA1598,Sunset 1,16,56.07,High-durability paint.,paint,BrandB,17.45,1.19,"(0.22, 0.21, 0.28)","{'Pigment': 50, 'Solvent': 27, 'Resin': 13}",undefined,F5DEB3
PA9438,Frost 1,49,30.87,High-durability paint.,paint,BrandC,17.59,1.0,"(0.23, 0.27, 0.25)","{'Pigment': 58, 'Solvent': 30, 'Resin': 20}",undefined,2980B9
PA1670,Sunset 2,6,45.58,Glossy paint.,paint,BrandA,17.56,1.08,"(0.2, 0.29, 0.2)","{'Pigment': 57, 'Solvent': 20, 'Resin': 12}",medium,2980B9
PA4875,Blackout 7,12,54.72,Glossy paint.,paint,BrandA,17.54,1.12,"(0.25, 0.25, 0.2)","{'Pigment': 55, 'Solvent': 24, 'Resin': 10}",undefined,F5DEB3
PA8260,Sky 8,25,36.62,High-durability paint.,paint,BrandC,17.57,1.37,"(0.22, 0.26, 0.25)","{'Pigment': 54, 'Solvent': 29, 'Resin': 19}",high,FF5733
PA1459,Blackout 8,20,34.63,Matte paint.,paint,BrandA,17.41,1.18,"(0.2, 0.27, 0.25)","{'Pigment': 52, 'Solvent': 22, 'Resin': 16}",undefined,D4AF37
PA9626,Frost 7,9,58.0,Premium paint.,paint,BrandC,17.6,1.13,"(0.25, 0.29, 0.22)","{'Pigment': 60, 'Solvent': 22, 'Resin': 15}",high,8B4513
PA2993,Blackout 6,42,44.73,Glossy paint.,paint,BrandA,17.55,1.07,"(0.2, 0.23, 0.3)","{'Pigment': 51, 'Solvent': 28, 'Resin': 13}",medium,8B4513
PA3516,Sky 4,48,45.04,Matte paint.,paint,BrandB,17.42,1.27,"(0.26, 0.21, 0.27)","{'Pigment': 54, 'Solvent': 20, 'Resin': 14}",high,2F4F4F
PA7744,Ocean 9,20,59.84,Matte paint.,paint,BrandA,17.53,1.33,"(0.21, 0.2, 0.23)","{'Pigment': 52, 'Solvent': 24, 'Resin': 14}",medium,FF5733
PA1051,Ocean 5,13,51.59,Premium paint.,paint,BrandB,17.52,1.39,"(0.24, 0.28, 0.22)","{'Pigment': 57, 'Solvent': 28, 'Resin': 10}",undefined,FF0000
PA1333,Frost 8,32,47.77,High-durability paint.,paint,BrandC,17.49,1.19,"(0.24, 0.26, 0.23)","{'Pigment': 59, 'Solvent': 28, 'Resin': 11}",undefined,F5DEB3
PA6957,Ocean 8,12,42.29,Matte paint.,paint,BrandA,17.6,1.39,"(0.24, 0.23, 0.21)","{'Pigment': 50, 'Solvent': 23, 'Resin': 20}",high,F5F5F5
PA9983,Blackout 7,44,45.1,Premium paint.,paint,BrandA,17.48,1.07,"(0.24, 0.24, 0.28)","{'Pigment': 53, 'Solvent': 24, 'Resin': 19}",undefined,8B4513
PA3450,Blackout 9,6,40.22,Matte paint.,paint,BrandC,17.53,1.17,"(0.24, 0.26, 0.2)","{'Pigment': 52, 'Solvent': 29, 'Resin': 13}",medium,F5DEB3
PA4991,Blackout 6,47,33.02,Glossy paint.,paint,BrandA,17.57,1.02,"(0.23, 0.27, 0.27)","{'Pigment': 60, 'Solvent': 23, 'Resin': 14}",high,2F4F4F
PA9562,Sky 8,10,48.61,Glossy paint.,paint,BrandA,17.56,1.37,"(0.21, 0.25, 0.21)","{'Pigment': 55, 'Solvent': 28, 'Resin': 18}",high,2F4F4F
PA3058,Sunset 5,23,36.71,High-durability paint.,paint,BrandA,17.54,1.22,"(0.27, 0.3, 0.26)","{'Pigment': 52, 'Solvent': 26, 'Resin': 15}",low,2980B9
PA2085,Sunset 5,6,51.36,Matte paint.,paint,BrandC,17.56,1.24,"(0.27, 0.22, 0.29)","{'Pigment': 60, 'Solvent': 24, 'Resin': 16}",undefined,2980B9
PA3142,Frost 8,25,40.09,Matte paint.,paint,BrandB,17.48,1.01,"(0.28, 0.27, 0.22)","{'Pigment': 58, 'Solvent': 20, 'Resin': 12}",high,708090
PA6790,Blackout 3,18,35.68,Matte paint.,paint,BrandC,17.49,1.11,"(0.21, 0.25, 0.27)","{'Pigment': 54, 'Solvent': 22, 'Resin': 19}",undefined,FF5733
PA8189,Sunset 4,18,37.84,Premium paint.,paint,BrandC,17.54,1.43,"(0.27, 0.21, 0.21)","{'Pigment': 51, 'Solvent': 28, 'Resin': 16}",low,2980B9
PA8943,Sky 6,4,30.08,High-durability paint.,paint,BrandB,17.53,1.44,"(0.27, 0.25, 0.23)","{'Pigment': 58, 'Solvent': 27, 'Resin': 20}",high,D4AF37
PA6644,Blackout 3,15,52.27,Premium paint.,paint,BrandB,17.53,1.48,"(0.27, 0.3, 0.25)","{'Pigment': 54, 'Solvent': 25, 'Resin': 12}",undefined,DAA520
PA9028,Frost 3,13,30.4,Glossy paint.,paint,BrandB,17.51,1.36,"(0.26, 0.23, 0.25)","{'Pigment': 60, 'Solvent': 20, 'Resin': 19}",high,D4AF37
PA2015,Frost 5,8,32.92,Glossy paint.,paint,BrandA,17.58,1.36,"(0.28, 0.25, 0.25)","{'Pigment': 57, 'Solvent': 30, 'Resin': 14}",undefined,708090
PA6299,Ocean 3,3,43.74,Matte paint.,paint,BrandB,17.57,1.4,"(0.29, 0.24, 0.29)","{'Pigment': 59, 'Solvent': 24, 'Resin': 10}",low,2980B9
PA7861,Sunset 3,23,35.49,Matte paint.,paint,BrandA,17.51,1.19,"(0.28, 0.21, 0.26)","{'Pigment': 59, 'Solvent': 24, 'Resin': 17}",low,F5DEB3
PA5698,Blackout 4,19,53.51,Matte paint.,paint,BrandB,17.41,1.28,"(0.3, 0.25, 0.26)","{'Pigment': 55, 'Solvent': 22, 'Resin': 19}",high,708090
PA2810,Blackout 9,30,45.27,Glossy paint.,paint,BrandC,17.58,1.46,"(0.22, 0.21, 0.24)","{'Pigment': 57, 'Solvent': 27, 'Resin': 11}",low,F5DEB3
PA5135,Ocean 7,17,52.89,Premium paint.,paint,BrandB,17.48,1.23,"(0.29, 0.24, 0.3)","{'Pigment': 57, 'Solvent': 29, 'Resin': 16}",medium,F5F5F5
PA4391,Blackout 9,49,49.28,High-durability paint.,paint,BrandA,17.41,1.08,"(0.22, 0.26, 0.24)","{'Pigment': 59, 'Solvent': 28, 'Resin': 12}",low,FF0000
PA1188,Sky 4,23,37.23,Matte paint.,paint,BrandB,17.59,1.31,"(0.24, 0.26, 0.24)","{'Pigment': 58, 'Solvent': 21, 'Resin': 15}",undefined,F5F5F5
PA2230,Sunset 9,14,56.41,Glossy paint.,paint,BrandB,17.41,1.17,"(0.2, 0.22, 0.22)","{'Pigment': 57, 'Solvent': 21, 'Resin': 11}",medium,F5DEB3
PA7207,Sky 9,24,52.99,Matte paint.,paint,BrandB,17.5,1.26,"(0.21, 0.28, 0.29)","{'Pigment': 50, 'Solvent': 30, 'Resin': 17}",low,FF0000
PA9441,Frost 1,45,56.96,High-durability paint.,paint,BrandC,17.5,1.41,"(0.26, 0.26, 0.26)","{'Pigment': 52, 'Solvent': 25, 'Resin': 10}",medium,708090
PA1657,Sky 2,14,46.95,High-durability paint.,paint,BrandA,17.56,1.39,"(0.26, 0.25, 0.23)","{'Pigment': 60, 'Solvent': 28, 'Resin': 12}",high,D4AF37
PA2840,Sky 6,9,44.1,High-durability paint.,paint,BrandB,17.44,1.22,"(0.29, 0.29, 0.24)","{'Pigment': 55, 'Solvent': 21, 'Resin': 16}",undefined,D4AF37
PA8548,Frost 8,17,49.76,High-durability paint.,paint,BrandC,17.53,1.01,"(0.21, 0.22, 0.22)","{'Pigment': 55, 'Solvent': 24, 'Resin': 10}",medium,FF0000
PA6471,Sunset 1,17,51.14,Glossy paint.,paint,BrandC,17.53,1.25,"(0.27, 0.21, 0.21)","{'Pigment': 57, 'Solvent': 25, 'Resin': 14}",undefined,F5F5F5
PA8716,Blackout 6,37,51.37,Glossy paint.,paint,BrandB,17.48,1.27,"(0.21, 0.27, 0.27)","{'Pigment': 53, 'Solvent': 23, 'Resin': 19}",medium,FF5733
PA7519,Sunset 3,34,38.7,High-durability paint.,paint,BrandA,17.52,1.04,"(0.26, 0.2, 0.22)","{'Pigment': 56, 'Solvent': 22, 'Resin': 18}",undefined,2980B9
