id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,load_capacity,max_stress,tire_type
TI1596,SpeedMaster 3,14,156.04,Optimized off_road tire.,tire,BrandE,17.34,13.19,"(0.72, 0.75, 0.8)","{'Rubber': 87, 'Steel': 19}",medium,475.1,776.8,off_road
TI6894,EcoTread 5,32,184.04,Durable all_season tire.,tire,BrandD,17.47,14.0,"(0.61, 0.66, 0.74)","{'Rubber': 83, 'Steel': 19}",medium,490.2,846.4,all_season
TI8434,SnowGrip 9,8,116.49,Optimized summer tire.,tire,BrandE,17.44,11.28,"(0.68, 0.77, 0.65)","{'Rubber': 89, 'Steel': 12}",medium,565.3,975.4,summer
TI4087,AllRoad 8,27,108.36,Reliable summer tire.,tire,BrandE,17.52,14.67,"(0.75, 0.62, 0.6)","{'Rubber': 86, 'Steel': 20}",medium,595.6,861.7,summer
TI7128,SpeedMaster 1,3,109.46,High-performance winter tire.,tire,BrandC,17.53,13.63,"(0.68, 0.75, 0.72)","{'Rubber': 89, 'Steel': 14}",high,330.4,977.8,winter
TI4706,AllRoad 9,17,153.41,Reliable winter tire.,tire,BrandD,17.53,12.86,"(0.7, 0.69, 0.71)","{'Rubber': 83, 'Steel': 20}",high,356.3,938.3,winter
TI3790,TrailRider 9,46,129.6,Reliable off_road tire.,tire,BrandA,17.42,14.29,"(0.8, 0.66, 0.76)","{'Rubber': 87, 'Steel': 12}",low,459.4,935.1,off_road
TI1046,AllRoad 6,19,192.02,Durable winter tire.,tire,BrandA,17.39,12.73,"(0.63, 0.6, 0.73)","{'Rubber': 83, 'Steel': 10}",medium,557.8,733.4,winter
TI1120,AllRoad 7,14,177.92,Durable off_road tire.,tire,BrandB,17.55,14.81,"(0.74, 0.73, 0.71)","{'Rubber': 81, 'Steel': 19}",high,461.3,797.0,off_road
TI6291,TrailRider 8,38,142.85,High-performance winter tire.,tire,BrandB,17.46,14.1,"(0.61, 0.65, 0.7)","{'Rubber': 82, 'Steel': 16}",high,483.5,806.2,winter
TI9725,SnowGrip 8,31,199.21,High-performance summer tire.,tire,BrandB,17.39,10.3,"(0.71, 0.63, 0.7)","{'Rubber': 80, 'Steel': 10}",low,516.9,843.3,summer
TI5570,AllRoad 5,28,150.18,Durable summer tire.,tire,BrandC,17.32,12.08,"(0.77, 0.78, 0.66)","{'Rubber': 86, 'Steel': 18}",low,554.0,794.0,summer
TI6568,AllRoad 8,47,156.88,Reliable off_road tire.,tire,BrandC,17.34,12.59,"(0.7, 0.79, 0.8)","{'Rubber': 87, 'Steel': 19}",low,464.3,827.1,off_road
TI6339,EcoTread 2,10,171.92,Durable all_season tire.,tire,BrandE,17.35,12.77,"(0.66, 0.77, 0.75)","{'Rubber': 88, 'Steel': 16}",low,348.5,986.0,all_season
TI4325,EcoTread 2,49,132.94,Optimized off_road tire.,tire,BrandE,17.51,10.45,"(0.62, 0.72, 0.72)","{'Rubber': 87, 'Steel': 17}",high,434.8,700.6,off_road
TI1807,EcoTread 6,27,108.4,High-performance winter tire.,tire,BrandA,17.51,12.99,"(0.8, 0.67, 0.7)","{'Rubber': 88, 'Steel': 10}",low,305.3,714.0,winter
TI5773,AllRoad 9,14,164.1,Durable performance tire.,tire,BrandD,17.36,13.39,"(0.64, 0.72, 0.76)","{'Rubber': 83, 'Steel': 14}",low,432.0,984.2,performance
TI1012,AllRoad 2,1,163.45,Optimized all_season tire.,tire,BrandD,17.38,13.18,"(0.67, 0.64, 0.75)","{'Rubber': 89, 'Steel': 15}",low,411.0,713.6,all_season
TI5239,SpeedMaster 1,1,127.89,High-performance performance tire.,tire,BrandB,17.39,10.5,"(0.73, 0.67, 0.63)","{'Rubber': 84, 'Steel': 10}",medium,337.9,935.6,performance
TI9595,AllRoad 5,27,106.1,Optimized winter tire.,tire,BrandE,17.51,14.92,"(0.67, 0.76, 0.75)","{'Rubber': 88, 'Steel': 17}",high,345.0,962.9,winter
TI1924,SnowGrip 9,10,185.78,Reliable all_season tire.,tire,BrandB,17.54,14.26,"(0.74, 0.62, 0.77)","{'Rubber': 83, 'Steel': 14}",high,411.6,793.9,all_season
TI3298,EcoTread 2,24,129.3,Optimized all_season tire.,tire,BrandE,17.3,11.88,"(0.68, 0.74, 0.66)","{'Rubber': 89, 'Steel': 17}",low,417.4,866.6,all_season
TI4433,SnowGrip 3,32,118.64,Optimized summer tire.,tire,BrandB,17.4,13.83,"(0.73, 0.73, 0.76)","{'Rubber': 88, 'Steel': 17}",medium,417.4,794.2,summer
TI2266,SnowGrip 1,14,163.59,Reliable winter tire.,tire,BrandB,17.41,10.48,"(0.74, 0.73, 0.71)","{'Rubber': 90, 'Steel': 20}",low,483.8,952.1,winter
TI3471,SpeedMaster 5,32,180.07,Durable off_road tire.,tire,BrandB,17.53,12.87,"(0.69, 0.64, 0.78)","{'Rubber': 81, 'Steel': 14}",low,446.3,938.6,off_road
TI8148,TrailRider 8,37,103.66,High-performance summer tire.,tire,BrandB,17.44,11.98,"(0.69, 0.6, 0.71)","{'Rubber': 84, 'Steel': 10}",low,546.4,887.7,summer
TI7751,EcoTread 2,50,108.22,High-performance off_road tire.,tire,BrandC,17.37,11.35,"(0.66, 0.74, 0.67)","{'Rubber': 89, 'Steel': 13}",high,302.3,923.3,off_road
TI7072,EcoTread 1,16,111.59,Optimized performance tire.,tire,BrandC,17.32,12.08,"(0.65, 0.7, 0.79)","{'Rubber': 87, 'Steel': 18}",low,396.9,915.0,performance
TI2846,TrailRider 1,36,159.8,Durable performance tire.,tire,BrandD,17.34,12.25,"(0.7, 0.65, 0.69)","{'Rubber': 82, 'Steel': 20}",high,418.6,998.1,performance
TI6985,TrailRider 1,14,104.56,High-performance summer tire.,tire,BrandC,17.6,11.88,"(0.71, 0.6, 0.8)","{'Rubber': 85, 'Steel': 15}",high,458.1,829.1,summer
TI6352,SpeedMaster 7,10,138.48,Optimized all_season tire.,tire,BrandA,17.57,12.57,"(0.78, 0.73, 0.77)","{'Rubber': 85, 'Steel': 10}",medium,331.2,903.8,all_season
TI1377,AllRoad 5,45,198.19,Optimized performance tire.,tire,BrandD,17.31,14.63,"(0.78, 0.79, 0.68)","{'Rubber': 85, 'Steel': 10}",medium,332.8,735.7,performance
TI3275,AllRoad 4,48,121.31,Optimized summer tire.,tire,BrandD,17.43,11.28,"(0.73, 0.69, 0.78)","{'Rubber': 90, 'Steel': 20}",low,596.2,708.9,summer
TI2006,TrailRider 9,12,175.06,Reliable off_road tire.,tire,BrandA,17.44,14.27,"(0.64, 0.68, 0.66)","{'Rubber': 81, 'Steel': 20}",low,391.1,880.1,off_road
TI5483,SpeedMaster 2,45,199.94,Durable all_season tire.,tire,BrandB,17.33,12.3,"(0.79, 0.72, 0.69)","{'Rubber': 89, 'Steel': 10}",low,341.2,778.5,all_season
TI6205,SpeedMaster 1,3,153.91,Durable summer tire.,tire,BrandB,17.37,10.11,"(0.65, 0.7, 0.72)","{'Rubber': 90, 'Steel': 14}",high,540.0,757.0,summer
TI3990,AllRoad 8,38,131.73,Optimized all_season tire.,tire,BrandE,17.32,12.45,"(0.74, 0.7, 0.71)","{'Rubber': 81, 'Steel': 18}",high,484.4,905.4,all_season
TI3769,SnowGrip 8,7,105.02,Optimized all_season tire.,tire,BrandD,17.56,13.36,"(0.63, 0.67, 0.78)","{'Rubber': 89, 'Steel': 11}",low,559.6,771.1,all_season
TI2094,SpeedMaster 5,33,126.54,Durable off_road tire.,tire,BrandB,17.33,10.05,"(0.64, 0.67, 0.67)","{'Rubber': 88, 'Steel': 11}",low,446.9,770.3,off_road
TI3502,EcoTread 2,28,183.96,Optimized all_season tire.,tire,BrandB,17.55,10.25,"(0.74, 0.62, 0.62)","{'Rubber': 82, 'Steel': 11}",low,393.2,700.3,all_season
TI9885,SnowGrip 1,33,121.51,High-performance performance tire.,tire,BrandA,17.56,11.94,"(0.67, 0.62, 0.74)","{'Rubber': 81, 'Steel': 11}",high,421.0,826.0,performance
TI8445,EcoTread 8,11,150.25,Durable all_season tire.,tire,BrandA,17.55,14.75,"(0.67, 0.75, 0.77)","{'Rubber': 85, 'Steel': 17}",low,598.8,788.9,all_season
TI3015,AllRoad 7,6,116.05,High-performance winter tire.,tire,BrandE,17.43,11.02,"(0.74, 0.77, 0.65)","{'Rubber': 87, 'Steel': 17}",high,407.1,792.1,winter
TI7049,SpeedMaster 8,22,198.9,Reliable all_season tire.,tire,BrandC,17.34,10.47,"(0.74, 0.69, 0.71)","{'Rubber': 89, 'Steel': 14}",medium,555.1,954.9,all_season
TI9413,SpeedMaster 1,39,163.1,Reliable off_road tire.,tire,BrandD,17.5,14.35,"(0.79, 0.73, 0.79)","{'Rubber': 85, 'Steel': 20}",high,393.7,870.4,off_road
TI8807,TrailRider 2,13,152.51,Reliable all_season tire.,tire,BrandE,17.31,12.59,"(0.67, 0.73, 0.75)","{'Rubber': 88, 'Steel': 15}",medium,475.6,907.5,all_season
TI3021,EcoTread 1,30,117.07,Durable off_road tire.,tire,BrandC,17.41,10.55,"(0.77, 0.61, 0.67)","{'Rubber': 81, 'Steel': 10}",medium,405.0,781.4,off_road
TI8031,SnowGrip 4,5,194.52,Optimized off_road tire.,tire,BrandA,17.54,12.94,"(0.6, 0.76, 0.7)","{'Rubber': 82, 'Steel': 10}",medium,541.9,872.2,off_road
TI5119,SnowGrip 9,44,123.01,High-performance winter tire.,tire,BrandE,17.45,13.02,"(0.67, 0.6, 0.73)","{'Rubber': 89, 'Steel': 19}",low,334.0,915.3,winter
TI3855,TrailRider 3,29,124.38,Optimized performance tire.,tire,BrandA,17.49,12.16,"(0.8, 0.74, 0.76)","{'Rubber': 90, 'Steel': 16}",medium,423.0,971.4,performance
TI9428,TrailRider 7,41,152.06,Optimized summer tire.,tire,BrandB,17.31,11.1,"(0.77, 0.67, 0.78)","{'Rubber': 88, 'Steel': 14}",high,437.9,957.5,summer
TI8905,AllRoad 8,18,159.33,High-performance all_season tire.,tire,BrandA,17.3,14.41,"(0.65, 0.75, 0.8)","{'Rubber': 86, 'Steel': 14}",high,337.9,950.3,all_season
TI2868,SpeedMaster 9,26,170.73,Optimized off_road tire.,tire,BrandE,17.58,12.67,"(0.77, 0.75, 0.79)","{'Rubber': 83, 'Steel': 18}",medium,515.8,746.5,off_road
TI7139,SnowGrip 2,22,103.98,High-performance all_season tire.,tire,BrandC,17.35,11.47,"(0.62, 0.69, 0.76)","{'Rubber': 83, 'Steel': 16}",medium,474.0,970.5,all_season
TI3337,EcoTread 7,50,111.78,Reliable winter tire.,tire,BrandA,17.51,10.35,"(0.7, 0.77, 0.71)","{'Rubber': 89, 'Steel': 18}",medium,425.3,787.9,winter
TI4988,EcoTread 4,41,155.29,Reliable performance tire.,tire,BrandA,17.36,13.01,"(0.72, 0.63, 0.77)","{'Rubber': 88, 'Steel': 11}",medium,561.1,932.3,performance
TI8529,EcoTread 5,14,134.81,Reliable off_road tire.,tire,BrandA,17.34,11.04,"(0.72, 0.8, 0.68)","{'Rubber': 88, 'Steel': 15}",low,448.7,844.9,off_road
TI3593,AllRoad 4,9,186.69,High-performance performance tire.,tire,BrandC,17.53,14.14,"(0.71, 0.6, 0.63)","{'Rubber': 84, 'Steel': 13}",medium,437.1,863.7,performance
TI8116,TrailRider 8,46,164.54,Optimized all_season tire.,tire,BrandC,17.32,13.07,"(0.75, 0.68, 0.66)","{'Rubber': 80, 'Steel': 11}",low,378.5,885.4,all_season
TI9031,TrailRider 1,34,125.22,Optimized performance tire.,tire,BrandE,17.53,12.6,"(0.75, 0.79, 0.78)","{'Rubber': 83, 'Steel': 17}",low,502.2,959.7,performance
TI1874,AllRoad 6,39,181.39,Durable performance tire.,tire,BrandB,17.35,12.93,"(0.63, 0.73, 0.78)","{'Rubber': 90, 'Steel': 20}",low,335.1,914.1,performance
TI8805,EcoTread 2,40,112.71,Durable winter tire.,tire,BrandD,17.58,10.01,"(0.72, 0.65, 0.65)","{'Rubber': 83, 'Steel': 20}",medium,417.6,779.5,winter
TI2470,TrailRider 6,46,118.87,Reliable all_season tire.,tire,BrandB,17.38,10.26,"(0.76, 0.67, 0.79)","{'Rubber': 90, 'Steel': 15}",high,548.2,934.0,all_season
TI5308,SpeedMaster 5,7,197.9,Durable off_road tire.,tire,BrandA,17.51,12.47,"(0.68, 0.6, 0.6)","{'Rubber': 85, 'Steel': 10}",low,321.1,959.7,off_road
TI1589,SpeedMaster 1,21,168.34,Durable winter tire.,tire,BrandD,17.38,14.54,"(0.67, 0.63, 0.76)","{'Rubber': 85, 'Steel': 16}",medium,556.6,993.6,winter
TI9727,TrailRider 8,32,143.15,Reliable winter tire.,tire,BrandC,17.57,12.44,"(0.68, 0.66, 0.74)","{'Rubber': 80, 'Steel': 16}",medium,331.3,992.9,winter
TI3447,AllRoad 8,5,138.03,Durable performance tire.,tire,BrandD,17.42,12.11,"(0.7, 0.72, 0.71)","{'Rubber': 87, 'Steel': 12}",high,584.5,851.3,performance
TI1133,AllRoad 1,7,117.37,Reliable performance tire.,tire,BrandB,17.44,14.57,"(0.6, 0.75, 0.65)","{'Rubber': 83, 'Steel': 20}",medium,369.4,904.5,performance
TI2385,AllRoad 2,2,138.56,High-performance summer tire.,tire,BrandD,17.46,11.56,"(0.8, 0.71, 0.76)","{'Rubber': 85, 'Steel': 14}",high,386.2,848.5,summer
TI7757,SpeedMaster 7,50,187.42,Durable performance tire.,tire,BrandB,17.41,11.98,"(0.78, 0.74, 0.75)","{'Rubber': 89, 'Steel': 16}",low,598.5,799.9,performance
TI9547,SpeedMaster 3,43,174.63,Reliable off_road tire.,tire,BrandA,17.33,14.46,"(0.6, 0.78, 0.73)","{'Rubber': 80, 'Steel': 19}",low,345.0,714.1,off_road
TI6658,EcoTread 9,32,102.19,Durable performance tire.,tire,BrandE,17.52,13.95,"(0.7, 0.69, 0.74)","{'Rubber': 83, 'Steel': 14}",low,571.4,878.1,performance
TI6693,AllRoad 5,12,130.42,High-performance summer tire.,tire,BrandB,17.45,10.46,"(0.61, 0.74, 0.62)","{'Rubber': 83, 'Steel': 13}",high,576.9,748.6,summer
TI7933,SpeedMaster 5,19,151.57,Reliable off_road tire.,tire,BrandB,17.54,13.9,"(0.79, 0.7, 0.8)","{'Rubber': 83, 'Steel': 18}",low,320.1,985.5,off_road
TI9657,EcoTread 9,37,115.29,Durable winter tire.,tire,BrandE,17.38,13.22,"(0.63, 0.71, 0.71)","{'Rubber': 81, 'Steel': 20}",low,567.8,981.3,winter
TI9769,SnowGrip 3,45,134.92,Reliable all_season tire.,tire,BrandE,17.53,14.85,"(0.63, 0.61, 0.79)","{'Rubber': 90, 'Steel': 11}",low,570.3,980.2,all_season
TI8653,AllRoad 5,31,110.12,Durable off_road tire.,tire,BrandB,17.53,10.75,"(0.67, 0.63, 0.76)","{'Rubber': 86, 'Steel': 18}",medium,334.0,717.3,off_road
TI9888,EcoTread 6,1,163.78,Reliable off_road tire.,tire,BrandE,17.3,12.04,"(0.71, 0.67, 0.62)","{'Rubber': 80, 'Steel': 14}",medium,312.0,824.0,off_road
TI3721,EcoTread 2,37,136.05,Reliable summer tire.,tire,BrandD,17.33,12.56,"(0.63, 0.65, 0.76)","{'Rubber': 82, 'Steel': 15}",medium,545.0,866.2,summer
TI8059,SnowGrip 9,14,171.46,High-performance summer tire.,tire,BrandE,17.34,11.78,"(0.71, 0.61, 0.76)","{'Rubber': 86, 'Steel': 16}",high,379.2,847.0,summer
TI6926,AllRoad 9,29,162.14,High-performance all_season tire.,tire,BrandE,17.52,12.22,"(0.61, 0.75, 0.65)","{'Rubber': 84, 'Steel': 13}",high,517.2,744.9,all_season
TI9408,SnowGrip 2,29,197.08,Durable all_season tire.,tire,BrandA,17.54,13.3,"(0.8, 0.7, 0.8)","{'Rubber': 86, 'Steel': 15}",high,504.9,976.4,all_season
TI4517,SnowGrip 1,44,155.84,Reliable all_season tire.,tire,BrandE,17.31,11.55,"(0.69, 0.67, 0.67)","{'Rubber': 85, 'Steel': 13}",high,410.5,733.3,all_season
TI7614,EcoTread 2,41,153.09,Optimized winter tire.,tire,BrandD,17.39,12.81,"(0.71, 0.69, 0.67)","{'Rubber': 83, 'Steel': 16}",low,402.8,908.4,winter
TI6062,SpeedMaster 2,48,152.11,Durable off_road tire.,tire,BrandB,17.36,14.61,"(0.78, 0.63, 0.61)","{'Rubber': 87, 'Steel': 17}",low,392.3,929.8,off_road
TI3200,SnowGrip 6,6,110.79,Optimized off_road tire.,tire,BrandB,17.5,11.34,"(0.66, 0.73, 0.75)","{'Rubber': 87, 'Steel': 20}",low,415.3,712.6,off_road
TI1040,EcoTread 3,16,121.13,High-performance off_road tire.,tire,BrandD,17.53,12.6,"(0.61, 0.75, 0.77)","{'Rubber': 80, 'Steel': 18}",low,390.9,725.9,off_road
TI5111,EcoTread 7,5,175.98,Optimized off_road tire.,tire,BrandC,17.57,11.25,"(0.7, 0.77, 0.72)","{'Rubber': 83, 'Steel': 18}",medium,339.4,772.9,off_road
TI4282,SnowGrip 1,15,118.54,Durable performance tire.,tire,BrandE,17.35,11.15,"(0.71, 0.77, 0.65)","{'Rubber': 80, 'Steel': 10}",medium,531.3,949.0,performance
TI2858,SpeedMaster 4,48,117.3,Optimized off_road tire.,tire,BrandE,17.42,13.04,"(0.79, 0.65, 0.71)","{'Rubber': 86, 'Steel': 15}",low,344.6,759.3,off_road
TI9108,TrailRider 7,20,143.14,Optimized summer tire.,tire,BrandD,17.45,12.69,"(0.78, 0.77, 0.79)","{'Rubber': 83, 'Steel': 16}",high,546.0,817.9,summer
TI3203,TrailRider 3,23,102.76,Durable all_season tire.,tire,BrandB,17.57,12.15,"(0.8, 0.77, 0.8)","{'Rubber': 85, 'Steel': 12}",low,538.0,814.8,all_season
TI5602,TrailRider 2,37,104.55,Optimized summer tire.,tire,BrandC,17.46,12.68,"(0.64, 0.76, 0.65)","{'Rubber': 88, 'Steel': 13}",high,569.5,731.4,summer
TI1806,SpeedMaster 7,26,181.6,High-performance all_season tire.,tire,BrandE,17.49,10.77,"(0.79, 0.68, 0.77)","{'Rubber': 86, 'Steel': 10}",low,426.3,899.8,all_season
TI9287,AllRoad 3,1,147.01,Reliable all_season tire.,tire,BrandC,17.3,11.62,"(0.66, 0.68, 0.62)","{'Rubber': 82, 'Steel': 19}",high,379.0,820.7,all_season
TI7259,AllRoad 8,12,148.46,High-performance winter tire.,tire,BrandB,17.38,14.01,"(0.7, 0.77, 0.6)","{'Rubber': 84, 'Steel': 20}",low,456.2,828.9,winter
TI7223,SnowGrip 4,24,101.62,Reliable winter tire.,tire,BrandE,17.35,11.09,"(0.8, 0.75, 0.61)","{'Rubber': 84, 'Steel': 15}",low,562.6,822.9,winter
TI5752,TrailRider 2,23,110.38,Durable winter tire.,tire,BrandD,17.45,14.5,"(0.74, 0.64, 0.67)","{'Rubber': 84, 'Steel': 18}",high,356.0,751.2,winter
TI1848,AllRoad 3,38,181.62,Durable winter tire.,tire,BrandC,17.43,10.44,"(0.65, 0.78, 0.63)","{'Rubber': 84, 'Steel': 16}",high,383.6,998.2,winter
TI9917,TrailRider 6,33,191.88,Reliable all_season tire.,tire,BrandA,17.44,12.08,"(0.7, 0.76, 0.73)","{'Rubber': 81, 'Steel': 12}",medium,447.4,935.8,all_season
TI5750,SpeedMaster 6,27,187.42,High-performance summer tire.,tire,BrandD,17.33,11.25,"(0.67, 0.63, 0.79)","{'Rubber': 87, 'Steel': 16}",low,406.9,888.4,summer
TI7609,AllRoad 2,21,126.92,Reliable off_road tire.,tire,BrandE,17.41,10.98,"(0.78, 0.79, 0.71)","{'Rubber': 89, 'Steel': 15}",low,451.9,886.1,off_road
TI6854,EcoTread 4,8,133.34,Durable off_road tire.,tire,BrandC,17.47,11.3,"(0.66, 0.68, 0.72)","{'Rubber': 82, 'Steel': 15}",medium,498.2,825.2,off_road
TI9671,TrailRider 2,13,163.38,Reliable all_season tire.,tire,BrandA,17.59,13.09,"(0.61, 0.67, 0.79)","{'Rubber': 87, 'Steel': 13}",medium,445.7,950.9,all_season
TI9777,AllRoad 9,36,158.96,Optimized performance tire.,tire,BrandB,17.4,13.68,"(0.66, 0.73, 0.61)","{'Rubber': 82, 'Steel': 11}",high,444.2,851.7,performance
TI9167,EcoTread 1,7,148.51,Durable summer tire.,tire,BrandA,17.42,14.81,"(0.64, 0.61, 0.74)","{'Rubber': 80, 'Steel': 15}",low,338.9,821.2,summer
TI7085,SnowGrip 1,43,189.4,Durable performance tire.,tire,BrandC,17.55,14.28,"(0.76, 0.75, 0.73)","{'Rubber': 86, 'Steel': 13}",high,574.1,770.2,performance
TI7055,SpeedMaster 2,41,184.7,Optimized winter tire.,tire,BrandC,17.55,10.02,"(0.7, 0.64, 0.69)","{'Rubber': 82, 'Steel': 10}",low,504.9,869.7,winter
TI4100,TrailRider 9,6,166.68,High-performance all_season tire.,tire,BrandA,17.57,13.88,"(0.66, 0.74, 0.6)","{'Rubber': 89, 'Steel': 15}",low,416.0,961.7,all_season
TI1351,TrailRider 9,45,199.53,Reliable off_road tire.,tire,BrandD,17.46,11.67,"(0.64, 0.66, 0.74)","{'Rubber': 86, 'Steel': 14}",high,317.1,996.6,off_road
TI3650,SpeedMaster 3,5,120.2,Optimized summer tire.,tire,BrandD,17.59,10.94,"(0.73, 0.61, 0.74)","{'Rubber': 90, 'Steel': 11}",high,432.1,999.0,summer
TI1521,AllRoad 7,17,149.66,Durable all_season tire.,tire,BrandE,17.5,10.25,"(0.63, 0.7, 0.6)","{'Rubber': 87, 'Steel': 14}",low,560.8,944.9,all_season
TI1799,TrailRider 3,12,156.15,High-performance performance tire.,tire,BrandE,17.4,14.04,"(0.63, 0.67, 0.77)","{'Rubber': 86, 'Steel': 13}",low,402.5,705.1,performance
TI9845,SpeedMaster 4,29,110.85,Durable summer tire.,tire,BrandD,17.57,13.85,"(0.77, 0.65, 0.77)","{'Rubber': 86, 'Steel': 20}",medium,303.7,893.8,summer
TI9261,SpeedMaster 3,1,154.06,Optimized all_season tire.,tire,BrandB,17.3,12.38,"(0.67, 0.77, 0.72)","{'Rubber': 87, 'Steel': 17}",high,599.8,845.0,all_season
TI9809,SpeedMaster 8,44,129.67,Reliable summer tire.,tire,BrandA,17.59,11.12,"(0.79, 0.75, 0.68)","{'Rubber': 86, 'Steel': 12}",medium,471.0,994.3,summer
TI1084,AllRoad 3,20,170.68,Durable off_road tire.,tire,BrandB,17.36,14.89,"(0.61, 0.62, 0.71)","{'Rubber': 86, 'Steel': 11}",medium,542.0,737.6,off_road
TI7353,TrailRider 1,21,171.67,High-performance performance tire.,tire,BrandC,17.48,14.18,"(0.74, 0.66, 0.64)","{'Rubber': 85, 'Steel': 14}",low,360.2,764.1,performance
TI8988,AllRoad 4,1,181.33,Reliable winter tire.,tire,BrandB,17.56,14.36,"(0.62, 0.67, 0.67)","{'Rubber': 88, 'Steel': 18}",low,372.2,847.0,winter
TI9708,TrailRider 1,10,193.62,Durable performance tire.,tire,BrandE,17.4,13.27,"(0.71, 0.69, 0.65)","{'Rubber': 84, 'Steel': 13}",medium,596.4,759.0,performance
TI3874,SpeedMaster 9,47,189.9,Reliable summer tire.,tire,BrandA,17.52,13.81,"(0.72, 0.79, 0.73)","{'Rubber': 88, 'Steel': 15}",high,472.1,922.2,summer
TI1856,AllRoad 6,41,182.42,Optimized off_road tire.,tire,BrandB,17.47,12.67,"(0.61, 0.8, 0.63)","{'Rubber': 88, 'Steel': 13}",high,446.0,950.7,off_road
TI9307,TrailRider 3,3,139.66,Durable performance tire.,tire,BrandE,17.33,13.26,"(0.71, 0.78, 0.68)","{'Rubber': 84, 'Steel': 17}",high,362.8,865.5,performance
TI6755,AllRoad 4,38,153.27,Optimized off_road tire.,tire,BrandC,17.44,12.65,"(0.72, 0.7, 0.69)","{'Rubber': 84, 'Steel': 19}",high,410.1,775.4,off_road
TI9386,AllRoad 6,22,179.35,Reliable winter tire.,tire,BrandB,17.53,14.71,"(0.61, 0.76, 0.66)","{'Rubber': 82, 'Steel': 15}",low,558.4,803.0,winter
TI8842,AllRoad 2,29,136.58,Optimized winter tire.,tire,BrandB,17.38,14.79,"(0.74, 0.68, 0.7)","{'Rubber': 86, 'Steel': 15}",low,308.3,795.4,winter
TI7930,AllRoad 1,22,192.93,High-performance performance tire.,tire,BrandE,17.58,13.01,"(0.71, 0.68, 0.64)","{'Rubber': 86, 'Steel': 15}",medium,309.6,960.3,performance
TI9611,AllRoad 2,36,125.73,Optimized summer tire.,tire,BrandE,17.38,11.24,"(0.72, 0.79, 0.77)","{'Rubber': 88, 'Steel': 13}",high,559.9,753.3,summer
TI6106,SpeedMaster 3,47,143.33,Reliable all_season tire.,tire,BrandE,17.33,11.27,"(0.71, 0.71, 0.64)","{'Rubber': 83, 'Steel': 20}",medium,464.6,899.2,all_season
TI6669,AllRoad 9,23,125.06,Reliable summer tire.,tire,BrandB,17.45,10.33,"(0.66, 0.71, 0.69)","{'Rubber': 88, 'Steel': 10}",low,494.2,934.8,summer
