id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,max_stress,suspension_type
SU1364,SmoothDrive 5,15,275.34,Durable coilover suspension.,suspension,BrandA,17.42,9.21,"(0.51, 0.8, 0.7)","{'Steel': 75, 'Rubber': 21}",low,1559.7,coilover
SU2891,SmoothDrive 2,19,224.0,Advanced air suspension.,suspension,BrandD,17.44,8.83,"(0.64, 0.61, 0.64)","{'Steel': 61, 'Rubber': 27}",high,1557.7,air
SU9252,TrailShock 8,20,175.77,Advanced leaf_spring suspension.,suspension,BrandC,17.39,8.97,"(0.72, 0.68, 0.69)","{'Steel': 60, 'Rubber': 28}",medium,1500.7,leaf_spring
SU6055,TrailShock 3,5,196.52,Durable leaf_spring suspension.,suspension,BrandC,17.5,8.77,"(0.52, 0.54, 0.66)","{'Steel': 79, 'Rubber': 39}",high,1278.5,leaf_spring
SU5772,AirRide 1,31,161.62,Durable hydraulic suspension.,suspension,BrandD,17.37,8.07,"(0.56, 0.78, 0.61)","{'Steel': 75, 'Rubber': 22}",medium,1699.7,hydraulic
SU7289,TrailShock 2,39,272.16,High-performance leaf_spring suspension.,suspension,BrandB,17.42,9.68,"(0.51, 0.66, 0.58)","{'Steel': 72, 'Rubber': 40}",high,1683.5,leaf_spring
SU6035,SmoothDrive 5,19,253.95,High-performance leaf_spring suspension.,suspension,BrandB,17.39,9.23,"(0.65, 0.64, 0.55)","{'Steel': 77, 'Rubber': 31}",medium,1711.5,leaf_spring
SU9695,TrailShock 1,28,266.94,Durable leaf_spring suspension.,suspension,BrandE,17.55,7.56,"(0.73, 0.57, 0.72)","{'Steel': 61, 'Rubber': 38}",medium,1554.9,leaf_spring
SU6199,ShockMaster 6,34,234.11,Reliable spring suspension.,suspension,BrandE,17.49,9.9,"(0.51, 0.64, 0.8)","{'Steel': 67, 'Rubber': 27}",low,1510.2,spring
SU2444,ShockMaster 1,7,245.91,High-performance spring suspension.,suspension,BrandE,17.56,9.25,"(0.51, 0.63, 0.64)","{'Steel': 77, 'Rubber': 28}",medium,1416.7,spring
SU4184,SmoothDrive 4,25,210.05,Reliable coilover suspension.,suspension,BrandC,17.44,7.71,"(0.52, 0.52, 0.67)","{'Steel': 64, 'Rubber': 40}",low,1296.7,coilover
SU9139,TrailShock 9,45,235.19,Reliable coilover suspension.,suspension,BrandD,17.43,7.65,"(0.64, 0.63, 0.59)","{'Steel': 80, 'Rubber': 27}",high,1217.7,coilover
SU4238,ShockMaster 7,11,211.42,Durable air suspension.,suspension,BrandB,17.49,7.85,"(0.76, 0.64, 0.65)","{'Steel': 80, 'Rubber': 23}",high,1439.3,air
SU7099,SpringFlex 1,15,157.21,High-performance leaf_spring suspension.,suspension,BrandA,17.43,7.42,"(0.76, 0.61, 0.64)","{'Steel': 74, 'Rubber': 34}",medium,1392.5,leaf_spring
SU9705,ShockMaster 9,30,247.3,High-performance leaf_spring suspension.,suspension,BrandC,17.49,8.84,"(0.61, 0.79, 0.59)","{'Steel': 70, 'Rubber': 32}",low,1668.9,leaf_spring
SU9166,AirRide 8,14,290.02,Durable hydraulic suspension.,suspension,BrandC,17.55,7.32,"(0.77, 0.63, 0.52)","{'Steel': 76, 'Rubber': 40}",medium,1349.5,hydraulic
SU9127,TrailShock 4,43,183.49,Durable hydraulic suspension.,suspension,BrandE,17.51,8.53,"(0.55, 0.75, 0.78)","{'Steel': 78, 'Rubber': 21}",high,1432.8,hydraulic
SU4605,SpringFlex 6,39,254.26,Reliable air suspension.,suspension,BrandB,17.56,9.52,"(0.55, 0.7, 0.78)","{'Steel': 71, 'Rubber': 26}",medium,1463.6,air
SU4176,TrailShock 7,9,230.98,Advanced hydraulic suspension.,suspension,BrandA,17.35,8.68,"(0.58, 0.65, 0.67)","{'Steel': 71, 'Rubber': 32}",low,1546.5,hydraulic
SU5082,ShockMaster 9,40,220.41,Reliable air suspension.,suspension,BrandD,17.52,7.13,"(0.62, 0.59, 0.74)","{'Steel': 67, 'Rubber': 40}",medium,1289.5,air
SU7431,TrailShock 2,19,287.22,High-performance hydraulic suspension.,suspension,BrandB,17.4,7.69,"(0.68, 0.54, 0.69)","{'Steel': 68, 'Rubber': 33}",high,1580.6,hydraulic
SU9891,AirRide 7,3,174.72,Durable leaf_spring suspension.,suspension,BrandB,17.46,9.67,"(0.74, 0.56, 0.76)","{'Steel': 77, 'Rubber': 22}",medium,1503.0,leaf_spring
SU6690,SmoothDrive 6,44,217.24,Reliable leaf_spring suspension.,suspension,BrandE,17.59,9.34,"(0.67, 0.63, 0.61)","{'Steel': 79, 'Rubber': 21}",medium,1773.5,leaf_spring
SU4193,AirRide 8,48,291.03,Durable leaf_spring suspension.,suspension,BrandE,17.43,9.17,"(0.71, 0.72, 0.59)","{'Steel': 63, 'Rubber': 35}",medium,1763.7,leaf_spring
SU5433,SpringFlex 9,45,228.15,High-performance hydraulic suspension.,suspension,BrandA,17.46,9.89,"(0.6, 0.58, 0.61)","{'Steel': 75, 'Rubber': 33}",high,1631.2,hydraulic
SU9332,TrailShock 9,38,202.81,Reliable leaf_spring suspension.,suspension,BrandD,17.51,7.82,"(0.58, 0.55, 0.8)","{'Steel': 63, 'Rubber': 21}",medium,1322.3,leaf_spring
SU4032,TrailShock 2,20,172.69,Durable hydraulic suspension.,suspension,BrandA,17.36,8.32,"(0.61, 0.54, 0.57)","{'Steel': 69, 'Rubber': 21}",medium,1563.0,hydraulic
SU4202,SmoothDrive 6,25,154.9,Advanced hydraulic suspension.,suspension,BrandC,17.42,7.28,"(0.73, 0.64, 0.79)","{'Steel': 72, 'Rubber': 20}",high,1456.4,hydraulic
SU7623,SpringFlex 4,49,245.3,Durable air suspension.,suspension,BrandD,17.44,8.16,"(0.58, 0.68, 0.69)","{'Steel': 67, 'Rubber': 29}",medium,1633.0,air
SU8082,ShockMaster 2,33,239.07,Durable coilover suspension.,suspension,BrandD,17.35,7.82,"(0.52, 0.64, 0.71)","{'Steel': 80, 'Rubber': 26}",medium,1204.4,coilover
SU2187,TrailShock 5,40,204.36,High-performance spring suspension.,suspension,BrandC,17.52,9.95,"(0.53, 0.65, 0.79)","{'Steel': 69, 'Rubber': 25}",low,1289.8,spring
SU3572,SpringFlex 6,4,182.59,Reliable hydraulic suspension.,suspension,BrandC,17.53,9.41,"(0.68, 0.69, 0.76)","{'Steel': 77, 'Rubber': 29}",low,1553.9,hydraulic
SU3422,AirRide 4,24,208.35,High-performance air suspension.,suspension,BrandC,17.45,7.53,"(0.77, 0.71, 0.6)","{'Steel': 76, 'Rubber': 36}",medium,1673.8,air
SU2318,SmoothDrive 3,28,255.35,High-performance leaf_spring suspension.,suspension,BrandE,17.43,8.54,"(0.62, 0.52, 0.67)","{'Steel': 69, 'Rubber': 23}",high,1730.5,leaf_spring
SU6590,AirRide 5,39,183.94,Advanced spring suspension.,suspension,BrandC,17.53,9.09,"(0.7, 0.75, 0.56)","{'Steel': 66, 'Rubber': 34}",medium,1576.9,spring
SU7144,AirRide 3,33,154.63,High-performance hydraulic suspension.,suspension,BrandE,17.3,9.88,"(0.77, 0.7, 0.62)","{'Steel': 65, 'Rubber': 29}",low,1594.7,hydraulic
SU7665,SpringFlex 1,43,169.8,Reliable spring suspension.,suspension,BrandA,17.46,9.27,"(0.53, 0.55, 0.62)","{'Steel': 74, 'Rubber': 20}",high,1333.7,spring
SU1778,SpringFlex 5,19,283.26,Durable spring suspension.,suspension,BrandB,17.51,8.58,"(0.55, 0.59, 0.58)","{'Steel': 72, 'Rubber': 32}",medium,1356.3,spring
SU4052,SpringFlex 5,49,225.43,Advanced spring suspension.,suspension,BrandC,17.38,9.42,"(0.67, 0.57, 0.77)","{'Steel': 62, 'Rubber': 37}",high,1460.1,spring
SU9879,SmoothDrive 2,44,173.93,Durable coilover suspension.,suspension,BrandC,17.5,9.05,"(0.6, 0.76, 0.73)","{'Steel': 64, 'Rubber': 31}",high,1483.7,coilover
SU3957,AirRide 3,29,155.68,High-performance spring suspension.,suspension,BrandE,17.42,7.12,"(0.72, 0.68, 0.64)","{'Steel': 73, 'Rubber': 24}",low,1521.4,spring
SU9112,SmoothDrive 2,34,200.25,Reliable hydraulic suspension.,suspension,BrandB,17.44,7.09,"(0.64, 0.57, 0.6)","{'Steel': 65, 'Rubber': 27}",high,1611.1,hydraulic
SU4014,SmoothDrive 8,33,172.34,Durable air suspension.,suspension,BrandB,17.34,9.86,"(0.6, 0.75, 0.77)","{'Steel': 66, 'Rubber': 30}",high,1669.8,air
SU2663,ShockMaster 1,50,228.69,Durable air suspension.,suspension,BrandD,17.52,9.92,"(0.63, 0.56, 0.76)","{'Steel': 80, 'Rubber': 29}",high,1678.6,air
SU4625,SpringFlex 3,22,183.14,Durable hydraulic suspension.,suspension,BrandA,17.4,7.91,"(0.79, 0.75, 0.79)","{'Steel': 80, 'Rubber': 30}",high,1373.6,hydraulic
SU3703,AirRide 1,9,224.0,High-performance coilover suspension.,suspension,BrandB,17.49,8.82,"(0.55, 0.74, 0.75)","{'Steel': 75, 'Rubber': 40}",high,1247.3,coilover
SU1471,TrailShock 2,6,184.3,Reliable leaf_spring suspension.,suspension,BrandB,17.4,7.5,"(0.73, 0.58, 0.52)","{'Steel': 75, 'Rubber': 33}",low,1702.8,leaf_spring
SU6376,ShockMaster 9,35,250.23,Reliable leaf_spring suspension.,suspension,BrandC,17.3,7.4,"(0.58, 0.56, 0.7)","{'Steel': 71, 'Rubber': 30}",high,1307.7,leaf_spring
SU8593,ShockMaster 8,11,166.63,High-performance spring suspension.,suspension,BrandE,17.32,7.94,"(0.71, 0.74, 0.59)","{'Steel': 74, 'Rubber': 32}",high,1264.1,spring
SU4343,AirRide 8,24,242.52,High-performance hydraulic suspension.,suspension,BrandC,17.42,9.62,"(0.71, 0.54, 0.75)","{'Steel': 76, 'Rubber': 36}",medium,1547.0,hydraulic
SU3990,SpringFlex 4,12,247.96,High-performance hydraulic suspension.,suspension,BrandD,17.56,7.33,"(0.6, 0.72, 0.61)","{'Steel': 61, 'Rubber': 32}",high,1448.6,hydraulic
SU7344,SpringFlex 4,43,294.75,Advanced coilover suspension.,suspension,BrandB,17.42,9.41,"(0.54, 0.79, 0.55)","{'Steel': 77, 'Rubber': 26}",high,1590.9,coilover
SU9789,ShockMaster 6,40,268.79,Reliable hydraulic suspension.,suspension,BrandB,17.45,7.18,"(0.57, 0.7, 0.57)","{'Steel': 62, 'Rubber': 27}",low,1273.2,hydraulic
SU5668,AirRide 7,33,269.29,Reliable leaf_spring suspension.,suspension,BrandB,17.36,8.63,"(0.62, 0.55, 0.79)","{'Steel': 71, 'Rubber': 30}",low,1707.9,leaf_spring
SU9091,ShockMaster 5,22,295.06,High-performance leaf_spring suspension.,suspension,BrandC,17.43,9.64,"(0.57, 0.69, 0.6)","{'Steel': 69, 'Rubber': 30}",low,1784.7,leaf_spring
SU2984,AirRide 1,37,229.79,Reliable air suspension.,suspension,BrandC,17.45,7.73,"(0.5, 0.7, 0.65)","{'Steel': 67, 'Rubber': 21}",low,1208.0,air
SU4241,TrailShock 6,14,155.1,Reliable leaf_spring suspension.,suspension,BrandA,17.42,8.14,"(0.76, 0.8, 0.76)","{'Steel': 79, 'Rubber': 31}",high,1405.2,leaf_spring
SU7021,ShockMaster 4,26,212.07,High-performance air suspension.,suspension,BrandE,17.52,7.9,"(0.78, 0.71, 0.72)","{'Steel': 68, 'Rubber': 36}",high,1757.1,air
SU2357,SpringFlex 5,42,278.47,Advanced leaf_spring suspension.,suspension,BrandD,17.58,8.34,"(0.74, 0.51, 0.54)","{'Steel': 69, 'Rubber': 24}",medium,1276.8,leaf_spring
SU6660,TrailShock 9,43,174.61,High-performance air suspension.,suspension,BrandB,17.47,8.01,"(0.51, 0.6, 0.57)","{'Steel': 80, 'Rubber': 28}",high,1574.6,air
SU2977,TrailShock 3,3,253.0,Reliable spring suspension.,suspension,BrandB,17.5,9.66,"(0.56, 0.51, 0.73)","{'Steel': 67, 'Rubber': 32}",low,1252.7,spring
SU4819,SmoothDrive 9,40,236.54,Durable spring suspension.,suspension,BrandB,17.4,8.02,"(0.76, 0.76, 0.65)","{'Steel': 74, 'Rubber': 27}",medium,1235.5,spring
SU3391,AirRide 7,14,207.91,Advanced spring suspension.,suspension,BrandD,17.57,8.39,"(0.71, 0.53, 0.67)","{'Steel': 62, 'Rubber': 25}",low,1720.4,spring
SU8978,TrailShock 9,14,279.62,Reliable hydraulic suspension.,suspension,BrandE,17.59,9.3,"(0.64, 0.79, 0.79)","{'Steel': 73, 'Rubber': 24}",medium,1712.5,hydraulic
SU7876,ShockMaster 1,36,213.4,Reliable coilover suspension.,suspension,BrandC,17.35,9.65,"(0.66, 0.51, 0.71)","{'Steel': 72, 'Rubber': 40}",high,1345.3,coilover
SU3003,TrailShock 8,24,193.51,Advanced hydraulic suspension.,suspension,BrandD,17.34,7.96,"(0.73, 0.77, 0.71)","{'Steel': 73, 'Rubber': 30}",medium,1493.9,hydraulic
SU9124,ShockMaster 3,5,257.75,Advanced air suspension.,suspension,BrandA,17.58,8.19,"(0.71, 0.77, 0.54)","{'Steel': 79, 'Rubber': 36}",medium,1592.4,air
SU2573,SmoothDrive 6,30,256.32,High-performance hydraulic suspension.,suspension,BrandB,17.38,7.99,"(0.68, 0.62, 0.7)","{'Steel': 78, 'Rubber': 32}",high,1321.3,hydraulic
SU7917,SpringFlex 4,4,228.97,Advanced leaf_spring suspension.,suspension,BrandC,17.37,8.35,"(0.76, 0.65, 0.73)","{'Steel': 66, 'Rubber': 39}",low,1536.2,leaf_spring
SU8169,TrailShock 9,14,252.7,High-performance spring suspension.,suspension,BrandC,17.46,8.95,"(0.69, 0.77, 0.77)","{'Steel': 80, 'Rubber': 29}",low,1522.4,spring
SU3446,AirRide 3,36,289.58,Durable hydraulic suspension.,suspension,BrandE,17.55,7.76,"(0.56, 0.79, 0.53)","{'Steel': 64, 'Rubber': 39}",low,1769.1,hydraulic
SU4429,TrailShock 9,10,205.51,High-performance leaf_spring suspension.,suspension,BrandD,17.38,7.2,"(0.74, 0.54, 0.55)","{'Steel': 69, 'Rubber': 24}",medium,1361.9,leaf_spring
SU8244,AirRide 9,22,158.87,High-performance spring suspension.,suspension,BrandB,17.58,9.86,"(0.79, 0.51, 0.63)","{'Steel': 67, 'Rubber': 29}",high,1730.9,spring
SU6415,AirRide 7,19,289.95,Durable leaf_spring suspension.,suspension,BrandE,17.55,7.72,"(0.53, 0.79, 0.53)","{'Steel': 73, 'Rubber': 25}",low,1283.9,leaf_spring
SU3864,TrailShock 4,30,210.89,Durable leaf_spring suspension.,suspension,BrandD,17.54,7.48,"(0.75, 0.72, 0.78)","{'Steel': 73, 'Rubber': 32}",high,1759.0,leaf_spring
SU8898,SpringFlex 7,37,215.65,Advanced spring suspension.,suspension,BrandD,17.5,8.06,"(0.76, 0.76, 0.75)","{'Steel': 71, 'Rubber': 35}",medium,1382.4,spring
SU5694,ShockMaster 5,27,194.16,High-performance hydraulic suspension.,suspension,BrandC,17.58,7.21,"(0.79, 0.66, 0.73)","{'Steel': 67, 'Rubber': 24}",high,1527.8,hydraulic
SU5913,ShockMaster 6,40,178.16,High-performance coilover suspension.,suspension,BrandC,17.38,7.73,"(0.75, 0.56, 0.8)","{'Steel': 75, 'Rubber': 30}",low,1757.1,coilover
SU2478,SpringFlex 5,11,244.5,Durable coilover suspension.,suspension,BrandA,17.58,9.06,"(0.69, 0.58, 0.6)","{'Steel': 66, 'Rubber': 25}",high,1712.4,coilover
SU5603,AirRide 1,23,198.99,Advanced coilover suspension.,suspension,BrandC,17.51,7.83,"(0.75, 0.71, 0.55)","{'Steel': 60, 'Rubber': 23}",low,1752.5,coilover
SU7321,TrailShock 2,42,236.96,Advanced spring suspension.,suspension,BrandB,17.6,9.07,"(0.6, 0.51, 0.55)","{'Steel': 60, 'Rubber': 37}",high,1341.4,spring
SU2781,ShockMaster 4,41,267.75,Advanced spring suspension.,suspension,BrandE,17.39,9.62,"(0.53, 0.57, 0.64)","{'Steel': 64, 'Rubber': 27}",high,1768.0,spring
SU9821,TrailShock 4,15,299.25,Reliable spring suspension.,suspension,BrandD,17.4,9.44,"(0.7, 0.74, 0.64)","{'Steel': 71, 'Rubber': 27}",high,1620.2,spring
SU3391,TrailShock 5,10,234.38,Reliable spring suspension.,suspension,BrandB,17.39,8.41,"(0.8, 0.64, 0.71)","{'Steel': 69, 'Rubber': 21}",low,1479.5,spring
SU3847,SmoothDrive 5,42,234.1,Advanced leaf_spring suspension.,suspension,BrandA,17.55,9.45,"(0.56, 0.64, 0.56)","{'Steel': 68, 'Rubber': 35}",high,1509.0,leaf_spring
SU4065,TrailShock 9,29,189.93,Advanced hydraulic suspension.,suspension,BrandE,17.58,7.01,"(0.52, 0.7, 0.58)","{'Steel': 66, 'Rubber': 34}",low,1578.4,hydraulic
SU1479,TrailShock 9,7,224.23,Durable coilover suspension.,suspension,BrandE,17.37,7.93,"(0.64, 0.54, 0.79)","{'Steel': 62, 'Rubber': 30}",high,1261.4,coilover
SU4946,ShockMaster 4,24,171.91,Advanced spring suspension.,suspension,BrandA,17.56,8.57,"(0.65, 0.78, 0.6)","{'Steel': 60, 'Rubber': 29}",medium,1376.4,spring
SU9553,SpringFlex 1,15,292.27,Reliable spring suspension.,suspension,BrandA,17.58,8.17,"(0.74, 0.63, 0.73)","{'Steel': 64, 'Rubber': 35}",high,1703.2,spring
SU9697,TrailShock 3,50,166.76,Advanced coilover suspension.,suspension,BrandA,17.44,8.46,"(0.68, 0.75, 0.59)","{'Steel': 64, 'Rubber': 23}",medium,1241.3,coilover
SU2706,AirRide 5,27,206.38,Reliable coilover suspension.,suspension,BrandE,17.49,7.04,"(0.53, 0.73, 0.6)","{'Steel': 73, 'Rubber': 21}",high,1281.8,coilover
SU3697,SmoothDrive 9,1,157.84,Reliable leaf_spring suspension.,suspension,BrandE,17.56,9.15,"(0.62, 0.5, 0.59)","{'Steel': 63, 'Rubber': 27}",low,1699.4,leaf_spring
SU4854,SmoothDrive 9,37,289.68,Reliable hydraulic suspension.,suspension,BrandE,17.55,8.06,"(0.55, 0.8, 0.61)","{'Steel': 62, 'Rubber': 32}",medium,1284.2,hydraulic
SU1512,ShockMaster 7,38,176.66,Advanced leaf_spring suspension.,suspension,BrandD,17.41,7.67,"(0.66, 0.65, 0.68)","{'Steel': 77, 'Rubber': 33}",high,1451.2,leaf_spring
SU1292,AirRide 5,42,246.45,Durable coilover suspension.,suspension,BrandA,17.34,9.75,"(0.54, 0.52, 0.69)","{'Steel': 78, 'Rubber': 23}",high,1696.6,coilover
SU7312,ShockMaster 8,45,209.98,High-performance coilover suspension.,suspension,BrandE,17.59,8.05,"(0.59, 0.61, 0.59)","{'Steel': 72, 'Rubber': 39}",low,1375.5,coilover
SU9148,SpringFlex 8,37,245.96,Durable coilover suspension.,suspension,BrandB,17.37,8.02,"(0.72, 0.51, 0.52)","{'Steel': 62, 'Rubber': 29}",low,1443.9,coilover
SU5066,AirRide 1,1,249.55,Advanced hydraulic suspension.,suspension,BrandC,17.56,7.01,"(0.55, 0.79, 0.59)","{'Steel': 61, 'Rubber': 36}",medium,1737.9,hydraulic
SU6365,SmoothDrive 1,28,269.19,Advanced spring suspension.,suspension,BrandA,17.34,9.29,"(0.77, 0.71, 0.78)","{'Steel': 60, 'Rubber': 28}",low,1234.4,spring
SU5205,AirRide 4,15,222.2,Durable hydraulic suspension.,suspension,BrandA,17.54,8.22,"(0.5, 0.62, 0.73)","{'Steel': 78, 'Rubber': 30}",medium,1460.1,hydraulic
SU3034,ShockMaster 9,2,259.39,Reliable air suspension.,suspension,BrandD,17.53,7.09,"(0.8, 0.72, 0.51)","{'Steel': 63, 'Rubber': 38}",low,1729.3,air
SU2667,ShockMaster 5,2,239.93,High-performance leaf_spring suspension.,suspension,BrandE,17.59,9.37,"(0.57, 0.74, 0.56)","{'Steel': 60, 'Rubber': 22}",medium,1772.9,leaf_spring
SU8444,AirRide 5,32,281.42,Durable spring suspension.,suspension,BrandA,17.35,8.97,"(0.68, 0.56, 0.58)","{'Steel': 71, 'Rubber': 22}",high,1589.2,spring
SU8949,SmoothDrive 3,24,169.42,High-performance coilover suspension.,suspension,BrandB,17.58,8.88,"(0.71, 0.79, 0.71)","{'Steel': 78, 'Rubber': 33}",low,1602.5,coilover
SU4225,SpringFlex 2,48,181.87,High-performance coilover suspension.,suspension,BrandE,17.59,7.84,"(0.66, 0.6, 0.63)","{'Steel': 66, 'Rubber': 29}",low,1567.6,coilover
SU8651,AirRide 3,45,272.67,High-performance spring suspension.,suspension,BrandA,17.43,9.05,"(0.52, 0.59, 0.67)","{'Steel': 67, 'Rubber': 37}",low,1772.2,spring
SU1360,SpringFlex 9,14,186.32,High-performance spring suspension.,suspension,BrandC,17.52,7.03,"(0.55, 0.6, 0.55)","{'Steel': 80, 'Rubber': 24}",medium,1390.3,spring
SU2895,SmoothDrive 7,9,250.23,Advanced leaf_spring suspension.,suspension,BrandC,17.39,8.97,"(0.57, 0.58, 0.64)","{'Steel': 67, 'Rubber': 29}",medium,1665.4,leaf_spring
SU4697,SmoothDrive 2,34,288.78,Durable air suspension.,suspension,BrandE,17.39,8.04,"(0.67, 0.64, 0.55)","{'Steel': 65, 'Rubber': 29}",medium,1454.8,air
SU7319,AirRide 4,10,192.91,High-performance spring suspension.,suspension,BrandE,17.49,8.31,"(0.58, 0.68, 0.68)","{'Steel': 80, 'Rubber': 29}",medium,1679.4,spring
SU4801,SpringFlex 3,21,166.0,Durable leaf_spring suspension.,suspension,BrandD,17.3,8.19,"(0.67, 0.53, 0.6)","{'Steel': 79, 'Rubber': 26}",medium,1533.8,leaf_spring
SU2099,ShockMaster 6,32,239.62,High-performance spring suspension.,suspension,BrandA,17.57,8.04,"(0.76, 0.55, 0.59)","{'Steel': 75, 'Rubber': 40}",high,1757.4,spring
SU9684,AirRide 7,47,219.23,Durable air suspension.,suspension,BrandC,17.32,9.01,"(0.72, 0.78, 0.58)","{'Steel': 61, 'Rubber': 32}",low,1200.6,air
SU4337,SpringFlex 3,33,253.58,Durable hydraulic suspension.,suspension,BrandC,17.53,7.98,"(0.57, 0.76, 0.53)","{'Steel': 66, 'Rubber': 32}",low,1489.2,hydraulic
SU5355,SmoothDrive 5,21,227.37,Durable hydraulic suspension.,suspension,BrandA,17.46,7.67,"(0.58, 0.77, 0.67)","{'Steel': 67, 'Rubber': 21}",low,1629.9,hydraulic
SU2833,SmoothDrive 1,2,272.47,Advanced spring suspension.,suspension,BrandA,17.38,7.72,"(0.67, 0.78, 0.71)","{'Steel': 64, 'Rubber': 35}",high,1726.5,spring
SU6523,TrailShock 4,43,271.62,Durable spring suspension.,suspension,BrandB,17.58,7.6,"(0.52, 0.58, 0.79)","{'Steel': 68, 'Rubber': 20}",high,1556.2,spring
SU6316,TrailShock 8,16,189.83,High-performance air suspension.,suspension,BrandB,17.53,7.0,"(0.6, 0.51, 0.55)","{'Steel': 64, 'Rubber': 34}",high,1592.1,air
SU7435,AirRide 9,39,210.37,Advanced hydraulic suspension.,suspension,BrandC,17.54,7.47,"(0.53, 0.6, 0.78)","{'Steel': 61, 'Rubber': 20}",low,1596.2,hydraulic
SU5457,ShockMaster 7,20,185.91,Reliable spring suspension.,suspension,BrandD,17.34,8.85,"(0.79, 0.65, 0.7)","{'Steel': 72, 'Rubber': 39}",high,1748.6,spring
SU4506,TrailShock 7,31,242.25,Advanced hydraulic suspension.,suspension,BrandC,17.48,7.24,"(0.78, 0.62, 0.56)","{'Steel': 66, 'Rubber': 36}",medium,1415.9,hydraulic
SU4090,AirRide 8,23,215.02,High-performance hydraulic suspension.,suspension,BrandC,17.59,9.39,"(0.62, 0.74, 0.56)","{'Steel': 65, 'Rubber': 30}",high,1351.7,hydraulic
SU7269,TrailShock 5,27,203.53,Advanced spring suspension.,suspension,BrandC,17.52,9.72,"(0.56, 0.52, 0.8)","{'Steel': 72, 'Rubber': 27}",medium,1291.5,spring
SU1089,ShockMaster 2,48,207.15,High-performance hydraulic suspension.,suspension,BrandB,17.51,9.15,"(0.61, 0.55, 0.64)","{'Steel': 76, 'Rubber': 21}",high,1585.1,hydraulic
SU1654,AirRide 2,48,189.69,Durable air suspension.,suspension,BrandA,17.38,7.39,"(0.71, 0.66, 0.72)","{'Steel': 75, 'Rubber': 26}",medium,1616.8,air
SU6217,ShockMaster 1,49,174.11,Advanced hydraulic suspension.,suspension,BrandB,17.57,7.13,"(0.68, 0.73, 0.78)","{'Steel': 76, 'Rubber': 34}",low,1430.5,hydraulic
SU9110,ShockMaster 3,2,173.5,High-performance spring suspension.,suspension,BrandA,17.39,8.45,"(0.73, 0.71, 0.65)","{'Steel': 73, 'Rubber': 29}",high,1473.6,spring
