id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,voltage,amperage,power_inout,avg_lifespan,temperature_rating,display_type
IN8235,InfoStar 3,12,314.48,Feature-rich infotainment system.,infotainment,BrandA,17.44,2.92,"(0.65, 1.0, 0.61)","{'Glass': 42, 'Plastic': 52}",low,10.7,2.2,23.54,3878,41,led
IN7317,AutoConnect 3,45,466.04,High-resolution infotainment system.,infotainment,BrandC,17.39,2.37,"(0.83, 0.64, 0.7)","{'Glass': 50, 'Plastic': 49}",high,8.3,2.1,17.43,2461,12,tft
IN9749,SmartDash 6,43,235.14,Compact infotainment system.,infotainment,BrandD,17.23,2.65,"(0.86, 0.62, 0.99)","{'Glass': 51, 'Plastic': 49}",undefined,6.7,1.7,11.39,3972,18,tft
IN1249,DriveVision 9,33,403.66,Advanced infotainment system.,infotainment,BrandC,17.12,2.46,"(0.75, 0.51, 0.56)","{'Glass': 43, 'Plastic': 42}",low,8.0,2.9,23.2,4890,38,led
IN8443,DriveVision 9,37,494.21,Advanced infotainment system.,infotainment,BrandC,17.73,2.35,"(0.67, 0.85, 0.67)","{'Glass': 48, 'Plastic': 58}",medium,8.0,1.6,12.8,4633,51,lcd
IN9891,DriveVision 9,35,368.88,High-resolution infotainment system.,infotainment,BrandC,17.22,2.24,"(0.8, 0.98, 0.59)","{'Glass': 44, 'Plastic': 60}",high,11.7,2.2,25.74,3103,23,oled
IN4481,SmartDash 5,13,232.25,High-resolution infotainment system.,infotainment,BrandD,17.64,2.84,"(0.76, 0.57, 0.84)","{'Glass': 50, 'Plastic': 49}",high,9.1,2.7,24.57,3185,42,led
IN5454,DriveVision 8,18,386.58,Advanced infotainment system.,infotainment,BrandA,17.59,2.63,"(0.62, 0.62, 0.57)","{'Glass': 59, 'Plastic': 40}",high,8.2,2.5,20.5,4655,1,led
IN1610,SmartDash 9,24,359.96,High-resolution infotainment system.,infotainment,BrandC,17.12,2.59,"(0.94, 0.84, 0.92)","{'Glass': 46, 'Plastic': 40}",high,6.1,1.1,6.71,2952,26,led
IN8092,InfoStar 7,45,326.52,High-resolution infotainment system.,infotainment,BrandB,17.39,2.76,"(0.92, 0.88, 0.73)","{'Glass': 49, 'Plastic': 43}",medium,8.9,2.4,21.36,2926,48,lcd
IN2882,SmartDash 5,15,215.03,Compact infotainment system.,infotainment,BrandB,17.79,2.18,"(0.52, 0.62, 0.71)","{'Glass': 56, 'Plastic': 58}",undefined,6.5,2.0,13.0,4850,23,led
IN1979,AutoConnect 7,26,342.45,Feature-rich infotainment system.,infotainment,BrandA,17.57,2.36,"(0.56, 0.86, 0.71)","{'Glass': 56, 'Plastic': 59}",low,9.4,1.8,16.92,4466,30,oled
IN5674,AutoConnect 9,48,427.72,Feature-rich infotainment system.,infotainment,BrandA,17.54,2.78,"(0.94, 0.59, 0.89)","{'Glass': 54, 'Plastic': 47}",low,11.2,2.3,25.76,3947,54,led
IN5323,InfoStar 9,48,481.91,Advanced infotainment system.,infotainment,BrandB,17.67,2.99,"(0.76, 0.85, 0.9)","{'Glass': 57, 'Plastic': 46}",undefined,5.4,1.9,10.26,2566,26,oled
IN3976,InfoStar 1,21,296.37,Advanced infotainment system.,infotainment,BrandC,17.03,2.74,"(0.7, 0.91, 0.92)","{'Glass': 54, 'Plastic': 56}",undefined,11.0,2.3,25.3,2290,21,tft
IN1692,InfoStar 4,35,477.4,Compact infotainment system.,infotainment,BrandB,17.68,2.08,"(0.51, 0.55, 0.81)","{'Glass': 59, 'Plastic': 59}",low,9.9,2.3,22.77,4988,2,oled
IN8982,SmartDash 4,35,213.61,Compact infotainment system.,infotainment,BrandA,17.21,2.56,"(0.93, 0.77, 0.9)","{'Glass': 49, 'Plastic': 45}",undefined,5.5,2.8,15.4,3400,31,led
IN4714,SmartDash 6,9,440.31,Compact infotainment system.,infotainment,BrandD,17.07,2.32,"(0.61, 0.85, 0.66)","{'Glass': 54, 'Plastic': 47}",low,10.0,1.6,16.0,3801,2,tft
IN3134,SmartDash 9,48,319.22,High-resolution infotainment system.,infotainment,BrandB,17.59,2.53,"(0.68, 0.66, 0.71)","{'Glass': 59, 'Plastic': 43}",medium,5.8,1.4,8.12,2833,40,led
IN8489,InfoStar 9,9,224.97,High-resolution infotainment system.,infotainment,BrandD,17.48,2.62,"(0.99, 0.94, 0.59)","{'Glass': 50, 'Plastic': 45}",low,10.4,1.9,19.76,2163,49,tft
IN3586,AutoConnect 4,45,375.79,Feature-rich infotainment system.,infotainment,BrandC,17.49,3.0,"(0.74, 0.62, 0.79)","{'Glass': 56, 'Plastic': 41}",high,9.2,1.2,11.04,4871,4,lcd
IN5339,InfoStar 8,15,222.05,Feature-rich infotainment system.,infotainment,BrandD,17.37,2.17,"(0.73, 0.5, 0.66)","{'Glass': 43, 'Plastic': 42}",low,8.0,1.7,13.6,4494,2,oled
IN3328,InfoStar 6,38,317.2,Advanced infotainment system.,infotainment,BrandC,17.51,2.34,"(0.95, 0.73, 0.9)","{'Glass': 42, 'Plastic': 41}",high,8.3,2.0,16.6,4397,2,lcd
IN8163,SmartDash 7,7,236.66,Feature-rich infotainment system.,infotainment,BrandD,17.27,2.36,"(0.99, 0.7, 0.51)","{'Glass': 49, 'Plastic': 42}",high,6.7,1.0,6.7,3811,12,oled
IN4737,AutoConnect 8,50,336.07,High-resolution infotainment system.,infotainment,BrandC,17.67,2.24,"(0.95, 0.83, 0.98)","{'Glass': 45, 'Plastic': 48}",medium,5.5,3.0,16.5,2407,0,tft
IN8711,SmartDash 3,47,403.1,Feature-rich infotainment system.,infotainment,BrandC,17.22,2.97,"(0.87, 0.64, 0.94)","{'Glass': 47, 'Plastic': 56}",high,10.6,3.0,31.8,3600,46,led
IN4849,AutoConnect 3,47,309.02,Compact infotainment system.,infotainment,BrandB,17.71,2.85,"(0.54, 0.76, 0.99)","{'Glass': 53, 'Plastic': 49}",low,11.2,1.1,12.32,3337,26,lcd
IN6556,AutoConnect 9,37,287.62,High-resolution infotainment system.,infotainment,BrandB,17.39,2.89,"(0.99, 0.9, 0.64)","{'Glass': 43, 'Plastic': 53}",medium,9.3,1.3,12.09,4333,51,lcd
IN2809,InfoStar 7,26,433.0,High-resolution infotainment system.,infotainment,BrandA,17.34,2.04,"(0.73, 0.94, 0.6)","{'Glass': 53, 'Plastic': 46}",low,5.4,2.7,14.58,4842,57,oled
IN2036,DriveVision 1,45,442.87,Compact infotainment system.,infotainment,BrandC,17.46,2.55,"(0.9, 0.62, 0.68)","{'Glass': 58, 'Plastic': 41}",high,10.5,3.0,31.5,2364,4,tft
IN4423,SmartDash 3,22,431.99,Advanced infotainment system.,infotainment,BrandB,17.86,2.49,"(0.9, 0.66, 0.95)","{'Glass': 49, 'Plastic': 48}",medium,11.5,1.5,17.25,4288,20,led
IN3552,SmartDash 5,6,347.51,Compact infotainment system.,infotainment,BrandB,17.14,2.9,"(0.98, 0.57, 0.59)","{'Glass': 40, 'Plastic': 49}",low,8.5,2.0,17.0,4041,15,oled
IN4792,DriveVision 5,45,331.72,Feature-rich infotainment system.,infotainment,BrandA,17.41,2.88,"(0.65, 0.52, 0.62)","{'Glass': 40, 'Plastic': 41}",medium,10.0,2.8,28.0,2066,16,lcd
IN6608,InfoStar 5,44,245.6,Advanced infotainment system.,infotainment,BrandB,17.11,2.51,"(0.53, 0.83, 0.83)","{'Glass': 55, 'Plastic': 49}",undefined,6.8,2.7,18.36,4171,15,lcd
IN1028,SmartDash 5,22,290.19,High-resolution infotainment system.,infotainment,BrandC,17.62,2.28,"(0.98, 0.76, 0.96)","{'Glass': 44, 'Plastic': 46}",undefined,8.8,2.9,25.52,2149,8,lcd
IN4916,AutoConnect 8,36,481.43,Compact infotainment system.,infotainment,BrandB,17.98,2.79,"(0.65, 0.79, 0.63)","{'Glass': 49, 'Plastic': 42}",undefined,8.8,2.3,20.24,4066,37,lcd
IN4893,InfoStar 5,28,450.37,Compact infotainment system.,infotainment,BrandC,17.91,2.16,"(0.68, 0.56, 0.87)","{'Glass': 43, 'Plastic': 40}",low,5.2,2.0,10.4,4144,6,led
IN1914,SmartDash 6,19,437.0,High-resolution infotainment system.,infotainment,BrandB,17.59,2.15,"(0.98, 0.8, 0.94)","{'Glass': 42, 'Plastic': 49}",high,8.1,2.2,17.82,2135,34,lcd
IN9593,InfoStar 7,13,204.31,High-resolution infotainment system.,infotainment,BrandB,17.31,2.72,"(0.85, 0.81, 0.97)","{'Glass': 59, 'Plastic': 60}",undefined,8.7,2.9,25.23,2892,52,tft
IN9835,InfoStar 2,50,324.62,Compact infotainment system.,infotainment,BrandD,17.49,2.12,"(0.58, 0.68, 0.75)","{'Glass': 53, 'Plastic': 55}",medium,7.1,1.3,9.23,3207,34,led
IN4335,DriveVision 1,9,283.47,Feature-rich infotainment system.,infotainment,BrandB,17.83,2.89,"(0.7, 0.71, 0.81)","{'Glass': 47, 'Plastic': 42}",medium,8.1,2.2,17.82,4832,5,tft
IN4246,DriveVision 4,8,287.28,Feature-rich infotainment system.,infotainment,BrandC,17.96,2.25,"(0.88, 0.74, 0.96)","{'Glass': 49, 'Plastic': 43}",medium,8.2,2.5,20.5,3567,-8,led
IN6655,AutoConnect 5,28,455.83,Advanced infotainment system.,infotainment,BrandD,17.89,2.27,"(0.81, 0.9, 0.96)","{'Glass': 59, 'Plastic': 54}",medium,10.7,1.8,19.26,4011,16,led
IN5919,SmartDash 3,7,460.69,Feature-rich infotainment system.,infotainment,BrandA,17.93,2.44,"(0.57, 0.64, 0.66)","{'Glass': 59, 'Plastic': 43}",high,6.1,1.9,11.59,2832,0,tft
IN3269,InfoStar 5,48,482.21,Compact infotainment system.,infotainment,BrandC,17.92,2.05,"(0.99, 0.78, 0.93)","{'Glass': 50, 'Plastic': 53}",medium,11.3,2.4,27.12,4994,48,oled
IN1185,InfoStar 6,6,416.86,Compact infotainment system.,infotainment,BrandA,17.3,2.92,"(0.98, 0.6, 0.97)","{'Glass': 52, 'Plastic': 52}",medium,10.8,2.9,31.32,4080,26,tft
IN6998,DriveVision 1,6,462.12,Feature-rich infotainment system.,infotainment,BrandA,17.3,2.58,"(0.75, 0.53, 0.75)","{'Glass': 58, 'Plastic': 44}",medium,7.2,1.6,11.52,2505,-8,lcd
IN6629,AutoConnect 2,8,494.03,Advanced infotainment system.,infotainment,BrandB,17.66,2.79,"(0.98, 0.96, 0.61)","{'Glass': 47, 'Plastic': 46}",low,11.0,1.3,14.3,3232,49,led
IN2498,SmartDash 9,21,388.39,Advanced infotainment system.,infotainment,BrandC,17.95,2.4,"(0.63, 0.89, 0.66)","{'Glass': 40, 'Plastic': 56}",high,10.0,1.5,15.0,2072,29,led
IN1197,AutoConnect 8,6,438.25,Feature-rich infotainment system.,infotainment,BrandA,17.98,2.5,"(0.95, 0.83, 0.51)","{'Glass': 57, 'Plastic': 50}",medium,10.2,2.0,20.4,3161,44,led
IN8353,InfoStar 7,30,481.91,Feature-rich infotainment system.,infotainment,BrandA,17.92,2.5,"(0.65, 0.76, 0.82)","{'Glass': 41, 'Plastic': 48}",medium,10.1,1.1,11.11,2024,-1,tft
IN3646,DriveVision 2,30,402.36,Advanced infotainment system.,infotainment,BrandD,17.42,2.22,"(0.52, 0.77, 0.92)","{'Glass': 57, 'Plastic': 55}",undefined,9.2,1.4,12.88,2672,-9,oled
IN3928,SmartDash 7,3,254.64,Feature-rich infotainment system.,infotainment,BrandC,17.57,2.72,"(0.89, 0.72, 0.5)","{'Glass': 57, 'Plastic': 49}",low,6.7,3.0,20.1,4308,43,oled
IN9071,SmartDash 1,22,489.21,High-resolution infotainment system.,infotainment,BrandB,17.35,2.36,"(0.91, 0.69, 0.51)","{'Glass': 60, 'Plastic': 59}",undefined,6.7,1.8,12.06,4222,45,led
IN8533,SmartDash 8,26,348.5,Feature-rich infotainment system.,infotainment,BrandC,17.73,2.22,"(0.71, 0.68, 0.69)","{'Glass': 49, 'Plastic': 60}",low,10.8,1.8,19.44,2043,17,led
IN6078,DriveVision 9,30,326.88,Feature-rich infotainment system.,infotainment,BrandA,17.87,2.98,"(0.87, 0.82, 0.71)","{'Glass': 60, 'Plastic': 60}",low,9.1,2.9,26.39,3906,-6,lcd
IN3769,DriveVision 4,40,353.65,Feature-rich infotainment system.,infotainment,BrandA,17.0,2.11,"(0.66, 0.6, 0.56)","{'Glass': 58, 'Plastic': 56}",undefined,6.5,1.7,11.05,4317,24,tft
IN5896,SmartDash 6,32,277.02,Advanced infotainment system.,infotainment,BrandC,17.35,2.69,"(0.53, 0.76, 0.68)","{'Glass': 45, 'Plastic': 57}",undefined,9.8,1.7,16.66,3132,13,tft
IN6960,AutoConnect 7,12,207.53,Compact infotainment system.,infotainment,BrandD,17.18,2.08,"(0.85, 0.67, 0.72)","{'Glass': 44, 'Plastic': 53}",undefined,9.6,2.4,23.04,3859,-8,lcd
IN2980,SmartDash 7,46,369.47,Advanced infotainment system.,infotainment,BrandD,17.7,2.24,"(0.94, 0.54, 0.58)","{'Glass': 48, 'Plastic': 55}",medium,5.1,1.3,6.63,3304,25,tft
IN8510,InfoStar 3,26,375.85,Advanced infotainment system.,infotainment,BrandD,17.16,2.42,"(0.68, 0.93, 0.79)","{'Glass': 50, 'Plastic': 56}",medium,11.7,2.2,25.74,3070,0,led
IN2429,DriveVision 4,6,446.52,Feature-rich infotainment system.,infotainment,BrandB,17.14,2.87,"(0.92, 0.83, 0.73)","{'Glass': 47, 'Plastic': 49}",high,7.8,2.7,21.06,4727,7,tft
IN8411,InfoStar 7,40,264.12,Advanced infotainment system.,infotainment,BrandC,17.25,2.58,"(0.75, 0.97, 0.74)","{'Glass': 40, 'Plastic': 59}",high,7.7,1.7,13.09,3951,22,lcd
IN7901,AutoConnect 7,30,292.28,Compact infotainment system.,infotainment,BrandD,17.8,2.08,"(0.92, 0.71, 0.8)","{'Glass': 49, 'Plastic': 59}",high,5.9,1.5,8.85,3938,16,oled
IN8097,AutoConnect 4,13,349.11,Compact infotainment system.,infotainment,BrandA,17.45,2.15,"(0.85, 0.59, 0.88)","{'Glass': 41, 'Plastic': 41}",low,5.9,2.9,17.11,4161,40,tft
IN6082,AutoConnect 2,38,282.38,Advanced infotainment system.,infotainment,BrandB,17.75,2.07,"(0.61, 0.68, 0.99)","{'Glass': 48, 'Plastic': 41}",undefined,5.1,1.6,8.16,4769,-3,tft
IN6562,AutoConnect 1,47,362.07,High-resolution infotainment system.,infotainment,BrandD,17.74,2.91,"(0.89, 0.62, 0.83)","{'Glass': 51, 'Plastic': 40}",medium,9.4,3.0,28.2,4479,4,oled
IN9595,SmartDash 5,20,465.56,High-resolution infotainment system.,infotainment,BrandA,17.34,2.14,"(0.99, 0.75, 0.62)","{'Glass': 58, 'Plastic': 43}",low,5.8,1.9,11.02,3629,57,tft
IN9517,AutoConnect 2,9,219.11,Compact infotainment system.,infotainment,BrandA,17.35,2.89,"(0.91, 0.82, 0.55)","{'Glass': 44, 'Plastic': 42}",low,9.1,2.2,20.02,2845,50,lcd
IN3474,SmartDash 6,25,380.76,Compact infotainment system.,infotainment,BrandC,17.2,2.61,"(0.69, 0.67, 0.67)","{'Glass': 44, 'Plastic': 52}",medium,9.9,2.6,25.74,3183,47,tft
IN5523,SmartDash 6,45,475.94,Compact infotainment system.,infotainment,BrandB,17.23,2.3,"(0.69, 0.71, 0.52)","{'Glass': 40, 'Plastic': 49}",undefined,10.9,1.7,18.53,4333,22,lcd
IN4269,InfoStar 8,41,493.89,Feature-rich infotainment system.,infotainment,BrandB,17.37,2.03,"(0.56, 0.59, 0.54)","{'Glass': 56, 'Plastic': 60}",low,6.9,2.0,13.8,4860,5,tft
IN5526,AutoConnect 6,18,231.84,Advanced infotainment system.,infotainment,BrandC,17.13,2.28,"(0.64, 0.71, 0.84)","{'Glass': 47, 'Plastic': 54}",high,5.8,1.2,6.96,4204,37,oled
IN5897,AutoConnect 8,30,484.17,Compact infotainment system.,infotainment,BrandA,17.63,2.55,"(0.6, 0.85, 0.55)","{'Glass': 60, 'Plastic': 52}",low,9.8,2.2,21.56,4695,-5,led
IN1880,AutoConnect 3,34,232.57,High-resolution infotainment system.,infotainment,BrandD,17.42,2.41,"(0.88, 0.59, 0.87)","{'Glass': 40, 'Plastic': 60}",high,6.7,1.1,7.37,3058,58,led
IN4407,InfoStar 5,22,448.37,Compact infotainment system.,infotainment,BrandD,17.7,2.96,"(0.88, 0.96, 0.53)","{'Glass': 43, 'Plastic': 46}",high,7.9,1.6,12.64,3941,23,led
IN6219,AutoConnect 1,21,289.62,High-resolution infotainment system.,infotainment,BrandB,17.5,2.18,"(0.79, 1.0, 0.53)","{'Glass': 55, 'Plastic': 42}",undefined,6.6,2.0,13.2,4631,51,led
IN6492,DriveVision 1,29,454.26,Compact infotainment system.,infotainment,BrandB,17.57,2.8,"(0.83, 0.7, 0.75)","{'Glass': 48, 'Plastic': 45}",low,5.2,2.2,11.44,3388,33,oled
IN2250,SmartDash 6,1,259.97,Advanced infotainment system.,infotainment,BrandA,17.92,2.52,"(0.97, 0.66, 0.65)","{'Glass': 45, 'Plastic': 59}",low,5.0,2.6,13.0,2694,58,tft
IN3478,SmartDash 4,46,234.86,High-resolution infotainment system.,infotainment,BrandC,17.36,2.67,"(0.89, 0.95, 0.98)","{'Glass': 60, 'Plastic': 60}",low,9.7,2.6,25.22,4142,-2,oled
IN6674,SmartDash 3,26,464.6,High-resolution infotainment system.,infotainment,BrandC,17.66,2.2,"(0.56, 0.96, 0.56)","{'Glass': 58, 'Plastic': 48}",undefined,10.7,1.8,19.26,2665,4,lcd
IN9014,AutoConnect 8,15,398.69,High-resolution infotainment system.,infotainment,BrandC,17.46,2.93,"(0.86, 0.52, 0.92)","{'Glass': 48, 'Plastic': 48}",high,8.4,2.3,19.32,3836,23,oled
IN5064,AutoConnect 5,16,362.07,Compact infotainment system.,infotainment,BrandD,17.27,2.12,"(0.94, 0.91, 0.74)","{'Glass': 40, 'Plastic': 52}",low,11.1,1.6,17.76,4901,30,tft
IN3426,InfoStar 2,49,433.47,Feature-rich infotainment system.,infotainment,BrandA,17.34,2.8,"(0.5, 0.8, 0.94)","{'Glass': 43, 'Plastic': 56}",high,9.8,2.9,28.42,3371,-8,led
IN5231,InfoStar 6,8,258.14,High-resolution infotainment system.,infotainment,BrandB,17.87,2.33,"(0.54, 0.6, 0.75)","{'Glass': 57, 'Plastic': 47}",medium,6.0,1.7,10.2,2594,60,oled
IN6412,DriveVision 4,2,298.18,Feature-rich infotainment system.,infotainment,BrandA,17.72,2.87,"(0.52, 0.7, 0.97)","{'Glass': 60, 'Plastic': 50}",low,9.6,1.6,15.36,4905,58,tft
IN5350,DriveVision 7,25,227.92,High-resolution infotainment system.,infotainment,BrandA,17.94,2.71,"(0.55, 0.75, 0.86)","{'Glass': 57, 'Plastic': 50}",low,9.4,2.7,25.38,3196,36,led
IN8939,SmartDash 6,3,200.8,Advanced infotainment system.,infotainment,BrandC,17.68,2.67,"(0.77, 0.76, 0.69)","{'Glass': 48, 'Plastic': 54}",medium,10.9,1.4,15.26,2091,-6,lcd
IN2708,DriveVision 5,18,245.51,High-resolution infotainment system.,infotainment,BrandD,17.08,2.13,"(0.58, 0.82, 0.94)","{'Glass': 46, 'Plastic': 43}",low,10.3,1.5,15.45,3104,16,lcd
IN7187,SmartDash 9,37,416.48,Compact infotainment system.,infotainment,BrandB,17.18,2.12,"(0.61, 0.77, 0.57)","{'Glass': 48, 'Plastic': 42}",low,8.2,2.4,19.68,2023,48,oled
IN6492,DriveVision 2,35,345.91,Compact infotainment system.,infotainment,BrandD,17.81,2.54,"(0.83, 0.97, 0.95)","{'Glass': 41, 'Plastic': 57}",medium,11.2,1.4,15.68,2337,3,lcd
IN3508,SmartDash 7,6,381.78,Feature-rich infotainment system.,infotainment,BrandA,17.25,2.98,"(0.91, 0.99, 0.92)","{'Glass': 55, 'Plastic': 52}",low,11.3,2.9,32.77,2568,56,oled
