id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,primary_color,secondary_color,finish,protection_type
DT5814,Blackout 4,27,141.65,Durable decal/tint.,decalandtint,BrandA,17.52,0.75,"(1.36, 1.12, 1.45)","{'Vinyl': 73, 'Adhesive': 14}",low,D4AF37,D4AF37,unfinished,uv
DT1339,Flame 3,7,136.51,Durable decal/tint.,decalandtint,BrandC,17.44,0.72,"(1.48, 1.33, 1.39)","{'Vinyl': 76, 'Adhesive': 18}",medium,DAA520,8B4513,glossy,scratch
DT2666,Graphic 6,39,137.91,High-quality decal/tint.,decalandtint,BrandA,17.46,0.88,"(1.25, 1.49, 1.41)","{'Vinyl': 81, 'Adhesive': 10}",high,2980B9,D4AF37,matte,light
DT1440,Flame 5,20,145.55,Durable decal/tint.,decalandtint,BrandC,17.51,0.52,"(1.17, 1.22, 1.35)","{'Vinyl': 82, 'Adhesive': 22}",undefined,708090,2F4F4F,glossy,scratch
DT3152,Racing 3,39,116.25,High-quality decal/tint.,decalandtint,BrandA,17.55,0.66,"(1.45, 1.28, 1.06)","{'Vinyl': 79, 'Adhesive': 12}",low,708090,DAA520,glossy,light
DT7045,Racing 7,46,103.56,Vibrant decal/tint.,decalandtint,BrandB,17.4,0.66,"(1.25, 1.02, 1.43)","{'Vinyl': 72, 'Adhesive': 10}",medium,FF0000,8B4513,unfinished,dust
DT7354,Graphic 7,17,132.38,Vibrant decal/tint.,decalandtint,BrandB,17.52,0.79,"(1.05, 1.47, 1.23)","{'Vinyl': 89, 'Adhesive': 14}",high,DAA520,F5DEB3,glossy,light
DT3867,Blackout 7,35,135.62,High-quality decal/tint.,decalandtint,BrandA,17.53,0.95,"(1.02, 1.48, 1.15)","{'Vinyl': 75, 'Adhesive': 29}",medium,8B4513,2980B9,unfinished,light
DT5118,Graphic 9,11,99.88,Vibrant decal/tint.,decalandtint,BrandC,17.49,0.88,"(1.01, 1.23, 1.16)","{'Vinyl': 81, 'Adhesive': 30}",medium,F5F5F5,2980B9,unfinished,scratch
DT3059,Racing 3,22,84.29,Durable decal/tint.,decalandtint,BrandA,17.55,0.58,"(1.42, 1.48, 1.14)","{'Vinyl': 84, 'Adhesive': 24}",medium,D4AF37,FF0000,glossy,uv
DT8005,Racing 5,47,95.19,Vibrant decal/tint.,decalandtint,BrandC,17.41,0.8,"(1.13, 1.37, 1.23)","{'Vinyl': 85, 'Adhesive': 29}",high,2980B9,FF0000,matte,dust
DT3766,Custom 5,43,132.38,Custom decal/tint.,decalandtint,BrandA,17.41,0.55,"(1.4, 1.24, 1.38)","{'Vinyl': 74, 'Adhesive': 23}",medium,F5DEB3,D4AF37,matte,dust
DT9088,Flame 9,48,131.67,High-quality decal/tint.,decalandtint,BrandB,17.49,0.85,"(1.13, 1.49, 1.23)","{'Vinyl': 86, 'Adhesive': 29}",low,2980B9,D4AF37,unfinished,dust
DT4201,Flame 9,39,110.37,Durable decal/tint.,decalandtint,BrandA,17.57,0.8,"(1.19, 1.18, 1.19)","{'Vinyl': 72, 'Adhesive': 27}",medium,2980B9,708090,unfinished,light
DT7709,Custom 3,28,110.73,Custom decal/tint.,decalandtint,BrandA,17.54,0.8,"(1.38, 1.0, 1.31)","{'Vinyl': 78, 'Adhesive': 18}",low,FF0000,F5DEB3,unfinished,uv
DT9604,Graphic 5,37,111.11,Custom decal/tint.,decalandtint,BrandA,17.56,0.87,"(1.28, 1.06, 1.41)","{'Vinyl': 89, 'Adhesive': 15}",high,FF0000,8B4513,glossy,light
DT2401,Racing 6,32,113.19,High-quality decal/tint.,decalandtint,BrandB,17.49,0.89,"(1.15, 1.44, 1.2)","{'Vinyl': 90, 'Adhesive': 23}",undefined,DAA520,F5F5F5,glossy,scratch
DT4025,Graphic 6,45,132.57,Durable decal/tint.,decalandtint,BrandB,17.54,0.59,"(1.25, 1.03, 1.34)","{'Vinyl': 79, 'Adhesive': 11}",low,2980B9,FF5733,glossy,dust
DT4955,Blackout 6,48,139.33,Vibrant decal/tint.,decalandtint,BrandB,17.56,0.77,"(1.45, 1.3, 1.21)","{'Vinyl': 80, 'Adhesive': 19}",high,708090,FF5733,unfinished,light
DT3629,Custom 6,25,87.1,Custom decal/tint.,decalandtint,BrandC,17.54,0.84,"(1.28, 1.45, 1.45)","{'Vinyl': 84, 'Adhesive': 30}",high,708090,8B4513,unfinished,scratch
DT4018,Blackout 6,21,118.03,Vibrant decal/tint.,decalandtint,BrandB,17.48,0.74,"(1.19, 1.1, 1.08)","{'Vinyl': 82, 'Adhesive': 21}",high,708090,D4AF37,glossy,uv
DT1299,Racing 9,31,122.55,Custom decal/tint.,decalandtint,BrandC,17.51,1.0,"(1.24, 1.28, 1.26)","{'Vinyl': 70, 'Adhesive': 15}",high,DAA520,D4AF37,glossy,dust
DT1024,Racing 1,20,83.83,Durable decal/tint.,decalandtint,BrandC,17.44,0.75,"(1.29, 1.38, 1.04)","{'Vinyl': 86, 'Adhesive': 26}",low,D4AF37,2F4F4F,glossy,dust
DT5183,Blackout 5,32,113.83,High-quality decal/tint.,decalandtint,BrandC,17.41,0.79,"(1.44, 1.46, 1.13)","{'Vinyl': 87, 'Adhesive': 17}",medium,D4AF37,FF0000,unfinished,scratch
DT9519,Racing 5,6,129.7,Vibrant decal/tint.,decalandtint,BrandB,17.48,0.94,"(1.17, 1.02, 1.21)","{'Vinyl': 81, 'Adhesive': 11}",medium,2F4F4F,8B4513,glossy,scratch
DT5708,Custom 5,9,90.58,Custom decal/tint.,decalandtint,BrandC,17.47,0.7,"(1.16, 1.13, 1.17)","{'Vinyl': 73, 'Adhesive': 19}",high,FF0000,708090,glossy,scratch
DT3755,Custom 8,35,98.02,Durable decal/tint.,decalandtint,BrandA,17.58,0.78,"(1.31, 1.09, 1.2)","{'Vinyl': 85, 'Adhesive': 18}",medium,708090,FF5733,unfinished,scratch
DT6184,Racing 2,3,114.35,Durable decal/tint.,decalandtint,BrandC,17.49,0.61,"(1.36, 1.39, 1.39)","{'Vinyl': 81, 'Adhesive': 16}",high,2980B9,8B4513,matte,uv
DT4361,Flame 6,4,132.86,Custom decal/tint.,decalandtint,BrandB,17.56,0.82,"(1.41, 1.39, 1.17)","{'Vinyl': 70, 'Adhesive': 30}",low,F5F5F5,F5DEB3,matte,dust
DT1377,Blackout 1,26,103.7,Custom decal/tint.,decalandtint,BrandB,17.41,0.65,"(1.18, 1.14, 1.46)","{'Vinyl': 87, 'Adhesive': 26}",high,8B4513,F5DEB3,matte,dust
DT4687,Graphic 5,1,142.94,Custom decal/tint.,decalandtint,BrandC,17.55,0.87,"(1.42, 1.29, 1.08)","{'Vinyl': 76, 'Adhesive': 30}",undefined,2980B9,2F4F4F,matte,uv
DT6884,Flame 4,13,146.22,Custom decal/tint.,decalandtint,BrandA,17.46,0.93,"(1.36, 1.34, 1.23)","{'Vinyl': 75, 'Adhesive': 24}",low,2F4F4F,DAA520,matte,uv
DT2333,Custom 9,27,119.12,High-quality decal/tint.,decalandtint,BrandB,17.56,0.72,"(1.34, 1.4, 1.31)","{'Vinyl': 83, 'Adhesive': 29}",undefined,F5DEB3,2980B9,glossy,scratch
DT2289,Custom 5,2,81.19,Durable decal/tint.,decalandtint,BrandB,17.43,0.6,"(1.43, 1.22, 1.49)","{'Vinyl': 79, 'Adhesive': 22}",medium,FF5733,DAA520,matte,dust
DT4825,Racing 5,7,123.25,High-quality decal/tint.,decalandtint,BrandB,17.56,0.83,"(1.29, 1.11, 1.38)","{'Vinyl': 85, 'Adhesive': 28}",high,FF5733,F5F5F5,glossy,scratch
DT8365,Graphic 6,26,87.73,Durable decal/tint.,decalandtint,BrandA,17.45,0.75,"(1.28, 1.02, 1.21)","{'Vinyl': 73, 'Adhesive': 17}",low,FF0000,F5DEB3,unfinished,scratch
DT7749,Custom 1,27,91.07,Custom decal/tint.,decalandtint,BrandB,17.42,0.66,"(1.36, 1.22, 1.27)","{'Vinyl': 85, 'Adhesive': 25}",high,8B4513,708090,unfinished,scratch
DT5254,Graphic 3,27,141.43,High-quality decal/tint.,decalandtint,BrandC,17.45,0.97,"(1.06, 1.21, 1.35)","{'Vinyl': 72, 'Adhesive': 29}",undefined,DAA520,2F4F4F,matte,dust
DT4463,Blackout 5,9,116.24,Custom decal/tint.,decalandtint,BrandB,17.55,0.68,"(1.41, 1.31, 1.09)","{'Vinyl': 84, 'Adhesive': 13}",medium,F5F5F5,708090,glossy,scratch
DT1577,Racing 9,48,115.36,Custom decal/tint.,decalandtint,BrandB,17.44,0.77,"(1.29, 1.48, 1.19)","{'Vinyl': 84, 'Adhesive': 11}",low,8B4513,2980B9,unfinished,light
DT7605,Graphic 5,50,114.27,Durable decal/tint.,decalandtint,BrandC,17.5,0.8,"(1.14, 1.43, 1.17)","{'Vinyl': 81, 'Adhesive': 11}",high,FF0000,2980B9,unfinished,scratch
DT6575,Blackout 9,8,90.51,Custom decal/tint.,decalandtint,BrandA,17.41,0.97,"(1.49, 1.29, 1.44)","{'Vinyl': 84, 'Adhesive': 15}",medium,8B4513,FF0000,matte,dust
DT3267,Custom 9,31,135.09,High-quality decal/tint.,decalandtint,BrandB,17.52,0.8,"(1.4, 1.19, 1.01)","{'Vinyl': 85, 'Adhesive': 18}",low,2F4F4F,FF0000,unfinished,light
DT6780,Flame 4,18,96.55,Durable decal/tint.,decalandtint,BrandC,17.5,0.79,"(1.11, 1.47, 1.24)","{'Vinyl': 76, 'Adhesive': 24}",undefined,2F4F4F,8B4513,glossy,uv
DT5328,Custom 1,1,135.39,Durable decal/tint.,decalandtint,BrandC,17.48,0.94,"(1.05, 1.41, 1.48)","{'Vinyl': 90, 'Adhesive': 23}",low,DAA520,2980B9,matte,dust
DT3937,Flame 6,12,89.75,High-quality decal/tint.,decalandtint,BrandA,17.59,0.87,"(1.47, 1.24, 1.23)","{'Vinyl': 75, 'Adhesive': 29}",low,F5F5F5,F5DEB3,matte,scratch
DT6330,Graphic 3,17,112.54,Custom decal/tint.,decalandtint,BrandB,17.51,0.7,"(1.18, 1.44, 1.11)","{'Vinyl': 71, 'Adhesive': 26}",low,8B4513,FF5733,glossy,uv
DT4003,Graphic 3,32,146.69,Durable decal/tint.,decalandtint,BrandA,17.5,1.0,"(1.09, 1.48, 1.41)","{'Vinyl': 77, 'Adhesive': 19}",undefined,F5F5F5,708090,unfinished,scratch
DT3662,Blackout 6,9,87.05,Custom decal/tint.,decalandtint,BrandB,17.51,0.7,"(1.17, 1.46, 1.27)","{'Vinyl': 75, 'Adhesive': 13}",medium,FF5733,FF5733,unfinished,light
DT8546,Blackout 9,33,137.23,Custom decal/tint.,decalandtint,BrandC,17.42,0.63,"(1.01, 1.5, 1.27)","{'Vinyl': 90, 'Adhesive': 21}",undefined,8B4513,F5DEB3,glossy,light
DT1559,Custom 2,2,84.66,High-quality decal/tint.,decalandtint,BrandC,17.6,0.58,"(1.01, 1.34, 1.01)","{'Vinyl': 88, 'Adhesive': 28}",undefined,DAA520,F5F5F5,unfinished,scratch
DT7097,Flame 6,49,132.06,Durable decal/tint.,decalandtint,BrandA,17.45,0.6,"(1.45, 1.05, 1.03)","{'Vinyl': 83, 'Adhesive': 24}",low,F5DEB3,DAA520,glossy,scratch
DT4128,Blackout 6,22,127.19,Vibrant decal/tint.,decalandtint,BrandB,17.5,0.73,"(1.16, 1.08, 1.28)","{'Vinyl': 85, 'Adhesive': 26}",undefined,708090,2F4F4F,matte,scratch
DT1765,Racing 4,9,90.94,Durable decal/tint.,decalandtint,BrandA,17.53,0.58,"(1.28, 1.41, 1.36)","{'Vinyl': 86, 'Adhesive': 16}",low,F5F5F5,FF5733,unfinished,dust
DT3704,Flame 8,43,123.67,Vibrant decal/tint.,decalandtint,BrandB,17.45,0.94,"(1.38, 1.05, 1.25)","{'Vinyl': 75, 'Adhesive': 25}",low,FF0000,2980B9,matte,uv
DT2148,Graphic 3,27,116.49,Vibrant decal/tint.,decalandtint,BrandC,17.52,0.65,"(1.32, 1.02, 1.5)","{'Vinyl': 77, 'Adhesive': 20}",low,D4AF37,D4AF37,matte,dust
DT7744,Flame 3,2,138.81,Custom decal/tint.,decalandtint,BrandC,17.58,0.94,"(1.49, 1.08, 1.42)","{'Vinyl': 83, 'Adhesive': 24}",low,708090,2F4F4F,matte,scratch
DT1493,Flame 3,36,125.47,Custom decal/tint.,decalandtint,BrandC,17.45,0.68,"(1.16, 1.25, 1.07)","{'Vinyl': 80, 'Adhesive': 21}",high,F5DEB3,2F4F4F,unfinished,dust
DT2309,Graphic 1,44,126.72,High-quality decal/tint.,decalandtint,BrandB,17.41,0.51,"(1.19, 1.31, 1.01)","{'Vinyl': 87, 'Adhesive': 26}",medium,DAA520,FF0000,glossy,scratch
DT6424,Custom 2,21,147.34,Custom decal/tint.,decalandtint,BrandC,17.43,0.7,"(1.08, 1.39, 1.3)","{'Vinyl': 73, 'Adhesive': 22}",high,FF5733,FF5733,glossy,light
DT5107,Racing 1,11,91.62,Vibrant decal/tint.,decalandtint,BrandB,17.55,0.72,"(1.37, 1.19, 1.15)","{'Vinyl': 77, 'Adhesive': 10}",undefined,8B4513,FF5733,unfinished,scratch
DT7048,Racing 4,36,146.75,High-quality decal/tint.,decalandtint,BrandB,17.53,0.97,"(1.07, 1.3, 1.22)","{'Vinyl': 77, 'Adhesive': 22}",undefined,D4AF37,F5DEB3,matte,uv
DT6344,Flame 5,29,87.32,Vibrant decal/tint.,decalandtint,BrandB,17.57,0.95,"(1.14, 1.45, 1.17)","{'Vinyl': 86, 'Adhesive': 11}",high,8B4513,F5DEB3,unfinished,scratch
DT2817,Blackout 1,2,86.8,Durable decal/tint.,decalandtint,BrandB,17.42,0.96,"(1.05, 1.04, 1.32)","{'Vinyl': 84, 'Adhesive': 16}",undefined,FF5733,F5DEB3,unfinished,light
DT9123,Flame 7,12,94.6,High-quality decal/tint.,decalandtint,BrandA,17.56,0.9,"(1.42, 1.3, 1.24)","{'Vinyl': 86, 'Adhesive': 23}",medium,D4AF37,FF5733,unfinished,uv
DT6187,Blackout 2,34,105.71,Vibrant decal/tint.,decalandtint,BrandC,17.54,0.6,"(1.34, 1.22, 1.24)","{'Vinyl': 86, 'Adhesive': 24}",high,D4AF37,8B4513,glossy,scratch
DT1715,Racing 5,29,142.62,Vibrant decal/tint.,decalandtint,BrandB,17.54,0.73,"(1.13, 1.06, 1.31)","{'Vinyl': 90, 'Adhesive': 10}",high,708090,2F4F4F,glossy,dust
DT6449,Flame 4,26,80.64,Custom decal/tint.,decalandtint,BrandB,17.42,0.92,"(1.29, 1.08, 1.49)","{'Vinyl': 85, 'Adhesive': 29}",low,FF0000,D4AF37,glossy,scratch
DT9001,Custom 5,22,123.37,High-quality decal/tint.,decalandtint,BrandB,17.44,0.6,"(1.05, 1.33, 1.22)","{'Vinyl': 84, 'Adhesive': 13}",low,2980B9,708090,matte,light
DT9550,Custom 7,45,129.2,Custom decal/tint.,decalandtint,BrandB,17.55,0.94,"(1.42, 1.34, 1.14)","{'Vinyl': 81, 'Adhesive': 27}",high,FF5733,F5DEB3,glossy,scratch
DT2524,Racing 3,5,108.68,Vibrant decal/tint.,decalandtint,BrandB,17.45,0.55,"(1.19, 1.17, 1.5)","{'Vinyl': 88, 'Adhesive': 30}",medium,FF5733,DAA520,glossy,dust
DT8397,Custom 6,34,109.64,High-quality decal/tint.,decalandtint,BrandA,17.41,0.56,"(1.32, 1.08, 1.0)","{'Vinyl': 72, 'Adhesive': 22}",low,F5F5F5,8B4513,glossy,uv
DT2120,Graphic 4,27,99.0,Vibrant decal/tint.,decalandtint,BrandC,17.59,0.52,"(1.26, 1.42, 1.33)","{'Vinyl': 83, 'Adhesive': 11}",undefined,2F4F4F,2980B9,unfinished,scratch
DT5449,Blackout 7,18,107.15,High-quality decal/tint.,decalandtint,BrandA,17.4,0.97,"(1.08, 1.37, 1.13)","{'Vinyl': 72, 'Adhesive': 25}",medium,F5F5F5,DAA520,unfinished,light
DT7796,Racing 8,22,140.35,Vibrant decal/tint.,decalandtint,BrandA,17.55,0.74,"(1.38, 1.49, 1.45)","{'Vinyl': 85, 'Adhesive': 16}",low,2980B9,DAA520,unfinished,light
DT4370,Graphic 7,6,125.5,High-quality decal/tint.,decalandtint,BrandC,17.43,0.79,"(1.07, 1.09, 1.41)","{'Vinyl': 79, 'Adhesive': 18}",undefined,D4AF37,8B4513,glossy,uv
DT2235,Graphic 1,18,88.79,High-quality decal/tint.,decalandtint,BrandB,17.54,0.84,"(1.01, 1.04, 1.32)","{'Vinyl': 70, 'Adhesive': 22}",medium,2980B9,DAA520,glossy,uv
DT3810,Graphic 2,41,147.02,Durable decal/tint.,decalandtint,BrandC,17.52,0.94,"(1.38, 1.37, 1.49)","{'Vinyl': 79, 'Adhesive': 25}",high,708090,D4AF37,glossy,dust
DT6838,Blackout 9,22,97.93,High-quality decal/tint.,decalandtint,BrandA,17.51,0.85,"(1.13, 1.31, 1.13)","{'Vinyl': 87, 'Adhesive': 21}",high,708090,8B4513,unfinished,dust
DT2341,Custom 8,2,147.64,Custom decal/tint.,decalandtint,BrandB,17.56,0.54,"(1.46, 1.18, 1.32)","{'Vinyl': 72, 'Adhesive': 16}",medium,2F4F4F,D4AF37,glossy,scratch
DT2587,Flame 9,30,134.85,Durable decal/tint.,decalandtint,BrandB,17.58,0.88,"(1.37, 1.34, 1.5)","{'Vinyl': 81, 'Adhesive': 27}",low,2980B9,708090,glossy,light
DT6627,Flame 3,50,86.28,High-quality decal/tint.,decalandtint,BrandC,17.46,0.7,"(1.13, 1.36, 1.49)","{'Vinyl': 79, 'Adhesive': 17}",high,8B4513,F5DEB3,matte,uv
DT5955,Racing 8,3,141.95,High-quality decal/tint.,decalandtint,BrandC,17.41,0.8,"(1.31, 1.12, 1.27)","{'Vinyl': 90, 'Adhesive': 30}",low,2F4F4F,8B4513,glossy,uv
DT8446,Custom 8,6,105.31,Durable decal/tint.,decalandtint,BrandA,17.43,0.96,"(1.27, 1.12, 1.33)","{'Vinyl': 88, 'Adhesive': 22}",low,D4AF37,DAA520,matte,dust
DT2464,Racing 3,7,128.46,Vibrant decal/tint.,decalandtint,BrandA,17.55,0.92,"(1.2, 1.4, 1.07)","{'Vinyl': 81, 'Adhesive': 23}",medium,2980B9,FF0000,glossy,light
DT3150,Blackout 1,15,114.11,Vibrant decal/tint.,decalandtint,BrandB,17.51,0.5,"(1.44, 1.41, 1.43)","{'Vinyl': 74, 'Adhesive': 18}",high,8B4513,FF0000,unfinished,light
DT3518,Custom 5,32,128.97,Durable decal/tint.,decalandtint,BrandA,17.49,0.94,"(1.24, 1.28, 1.08)","{'Vinyl': 86, 'Adhesive': 23}",medium,FF5733,D4AF37,glossy,uv
DT4279,Blackout 1,35,94.95,Durable decal/tint.,decalandtint,BrandA,17.53,0.57,"(1.01, 1.36, 1.31)","{'Vinyl': 83, 'Adhesive': 14}",high,F5F5F5,2F4F4F,glossy,dust
DT1803,Graphic 9,40,106.97,High-quality decal/tint.,decalandtint,BrandA,17.5,0.87,"(1.23, 1.45, 1.41)","{'Vinyl': 80, 'Adhesive': 19}",low,2F4F4F,708090,matte,dust
DT9689,Custom 6,33,103.71,High-quality decal/tint.,decalandtint,BrandB,17.43,0.84,"(1.19, 1.13, 1.3)","{'Vinyl': 74, 'Adhesive': 15}",low,DAA520,FF5733,matte,uv
DT2867,Graphic 1,5,103.18,Vibrant decal/tint.,decalandtint,BrandB,17.44,0.73,"(1.15, 1.47, 1.31)","{'Vinyl': 71, 'Adhesive': 28}",undefined,2F4F4F,2980B9,glossy,scratch
DT1043,Custom 3,5,128.83,High-quality decal/tint.,decalandtint,BrandB,17.5,0.95,"(1.17, 1.46, 1.34)","{'Vinyl': 82, 'Adhesive': 16}",low,2F4F4F,D4AF37,glossy,dust
DT1005,Racing 6,21,145.17,High-quality decal/tint.,decalandtint,BrandA,17.59,0.95,"(1.04, 1.42, 1.02)","{'Vinyl': 88, 'Adhesive': 21}",undefined,2F4F4F,2F4F4F,unfinished,light
DT2971,Graphic 3,2,109.76,High-quality decal/tint.,decalandtint,BrandC,17.56,0.68,"(1.47, 1.41, 1.46)","{'Vinyl': 89, 'Adhesive': 12}",undefined,F5F5F5,708090,glossy,dust
DT5094,Blackout 2,32,126.61,Custom decal/tint.,decalandtint,BrandA,17.58,0.64,"(1.31, 1.02, 1.29)","{'Vinyl': 88, 'Adhesive': 22}",high,2980B9,2980B9,matte,uv
DT6800,Flame 7,9,119.1,Vibrant decal/tint.,decalandtint,BrandC,17.56,0.92,"(1.24, 1.32, 1.48)","{'Vinyl': 79, 'Adhesive': 17}",undefined,FF5733,708090,matte,dust
DT5705,Graphic 6,9,114.03,Durable decal/tint.,decalandtint,BrandA,17.49,0.99,"(1.32, 1.18, 1.26)","{'Vinyl': 78, 'Adhesive': 13}",high,708090,F5DEB3,glossy,uv
DT9020,Racing 6,6,127.48,Vibrant decal/tint.,decalandtint,BrandC,17.55,0.6,"(1.38, 1.28, 1.26)","{'Vinyl': 71, 'Adhesive': 10}",low,FF0000,2980B9,glossy,light
DT2299,Custom 1,4,127.34,Vibrant decal/tint.,decalandtint,BrandA,17.43,0.98,"(1.28, 1.04, 1.25)","{'Vinyl': 89, 'Adhesive': 11}",high,F5F5F5,F5F5F5,matte,dust
DT5366,Custom 6,7,88.96,Durable decal/tint.,decalandtint,BrandC,17.55,0.66,"(1.04, 1.2, 1.09)","{'Vinyl': 86, 'Adhesive': 19}",low,FF5733,2F4F4F,glossy,scratch
DT5064,Blackout 1,47,95.49,Durable decal/tint.,decalandtint,BrandC,17.42,0.81,"(1.04, 1.29, 1.25)","{'Vinyl': 88, 'Adhesive': 25}",high,2980B9,2F4F4F,matte,scratch
DT5288,Graphic 5,27,135.01,Vibrant decal/tint.,decalandtint,BrandA,17.59,0.62,"(1.43, 1.07, 1.25)","{'Vinyl': 79, 'Adhesive': 21}",low,2980B9,F5F5F5,matte,light
DT3359,Flame 5,9,110.64,Custom decal/tint.,decalandtint,BrandA,17.57,0.93,"(1.38, 1.2, 1.4)","{'Vinyl': 76, 'Adhesive': 25}",low,F5DEB3,FF5733,matte,dust
DT6642,Racing 3,27,97.96,Vibrant decal/tint.,decalandtint,BrandB,17.52,0.59,"(1.27, 1.21, 1.17)","{'Vinyl': 90, 'Adhesive': 12}",high,DAA520,FF5733,unfinished,light
DT2873,Graphic 8,14,103.16,Durable decal/tint.,decalandtint,BrandC,17.53,0.9,"(1.29, 1.24, 1.3)","{'Vinyl': 70, 'Adhesive': 19}",undefined,F5F5F5,FF0000,matte,light
DT9979,Blackout 7,16,97.07,Custom decal/tint.,decalandtint,BrandB,17.55,0.57,"(1.37, 1.3, 1.32)","{'Vinyl': 89, 'Adhesive': 17}",high,8B4513,FF0000,glossy,light
DT7531,Flame 5,6,127.34,Durable decal/tint.,decalandtint,BrandA,17.6,0.7,"(1.49, 1.24, 1.12)","{'Vinyl': 75, 'Adhesive': 12}",undefined,DAA520,DAA520,glossy,dust
DT3894,Blackout 7,1,111.61,High-quality decal/tint.,decalandtint,BrandB,17.54,0.97,"(1.13, 1.42, 1.37)","{'Vinyl': 81, 'Adhesive': 19}",undefined,708090,DAA520,matte,uv
DT5470,Graphic 6,2,97.82,High-quality decal/tint.,decalandtint,BrandC,17.56,0.81,"(1.21, 1.09, 1.25)","{'Vinyl': 89, 'Adhesive': 17}",high,F5F5F5,FF5733,unfinished,uv
DT2598,Racing 6,20,131.03,Custom decal/tint.,decalandtint,BrandC,17.58,0.69,"(1.07, 1.37, 1.24)","{'Vinyl': 84, 'Adhesive': 21}",undefined,8B4513,8B4513,glossy,scratch
DT7832,Flame 2,32,110.99,Vibrant decal/tint.,decalandtint,BrandA,17.4,0.62,"(1.21, 1.14, 1.25)","{'Vinyl': 86, 'Adhesive': 19}",undefined,708090,FF0000,matte,uv
DT9313,Graphic 1,27,87.42,Custom decal/tint.,decalandtint,BrandB,17.41,0.73,"(1.38, 1.36, 1.38)","{'Vinyl': 84, 'Adhesive': 24}",high,FF5733,F5F5F5,glossy,uv
DT4108,Custom 7,31,116.65,High-quality decal/tint.,decalandtint,BrandC,17.42,0.74,"(1.17, 1.04, 1.11)","{'Vinyl': 78, 'Adhesive': 25}",low,D4AF37,D4AF37,matte,scratch
DT3171,Graphic 4,31,124.9,Custom decal/tint.,decalandtint,BrandC,17.52,0.55,"(1.35, 1.37, 1.25)","{'Vinyl': 70, 'Adhesive': 24}",medium,F5F5F5,F5F5F5,glossy,scratch
DT6948,Racing 3,2,82.72,Custom decal/tint.,decalandtint,BrandB,17.58,0.93,"(1.07, 1.37, 1.29)","{'Vinyl': 90, 'Adhesive': 12}",low,D4AF37,FF0000,matte,light
DT1167,Custom 6,47,108.7,High-quality decal/tint.,decalandtint,BrandC,17.55,0.56,"(1.06, 1.42, 1.16)","{'Vinyl': 86, 'Adhesive': 11}",high,D4AF37,F5DEB3,unfinished,dust
DT5711,Custom 2,24,117.84,Vibrant decal/tint.,decalandtint,BrandC,17.43,0.89,"(1.32, 1.39, 1.2)","{'Vinyl': 81, 'Adhesive': 10}",medium,FF0000,708090,matte,scratch
DT1190,Graphic 7,22,99.02,Durable decal/tint.,decalandtint,BrandB,17.52,0.68,"(1.26, 1.05, 1.31)","{'Vinyl': 77, 'Adhesive': 27}",medium,D4AF37,F5F5F5,unfinished,uv
