id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,voltage,amperage,power_inout,avg_lifespan,temperature_rating
WH8687,PowerLine 9,1,96.63,Flexible wiring harness.,wiringharness,BrandC,17.9,0.61,"(0.28, 0.25, 0.29)","{'Copper': 70, 'Plastic': 15}",medium,47.6,18.6,885.36,11085,-10
WH6888,PowerLine 1,4,53.36,Durable wiring harness.,wiringharness,BrandA,17.68,0.68,"(0.24, 0.27, 0.29)","{'Copper': 86, 'Plastic': 22}",low,27.5,12.5,343.75,14829,34
WH8346,CablePro 9,24,85.92,Flexible wiring harness.,wiringharness,BrandB,17.42,0.66,"(0.25, 0.26, 0.27)","{'Copper': 88, 'Plastic': 10}",medium,36.1,18.9,682.29,14821,8
WH4711,SafeConnect 7,14,73.35,Flexible wiring harness.,wiringharness,BrandD,17.63,0.53,"(0.29, 0.22, 0.25)","{'Copper': 88, 'Plastic': 14}",high,17.9,14.3,255.97,14846,9
WH4016,PowerLine 1,46,77.62,Efficient wiring harness.,wiringharness,BrandB,17.58,0.96,"(0.27, 0.21, 0.21)","{'Copper': 74, 'Plastic': 15}",low,39.5,14.7,580.65,13681,-20
WH7493,WireFlex 2,36,92.17,Reliable wiring harness.,wiringharness,BrandC,17.68,0.89,"(0.23, 0.29, 0.29)","{'Copper': 79, 'Plastic': 29}",low,23.2,11.9,276.08,12786,15
WH5241,PowerLine 2,23,79.72,Durable wiring harness.,wiringharness,BrandA,17.71,1.0,"(0.23, 0.21, 0.22)","{'Copper': 84, 'Plastic': 19}",low,38.8,11.6,450.08,13630,34
WH1565,CablePro 2,3,65.4,Reliable wiring harness.,wiringharness,BrandA,17.39,0.52,"(0.21, 0.29, 0.29)","{'Copper': 87, 'Plastic': 26}",undefined,43.5,14.1,613.35,14611,69
WH6205,CablePro 1,13,98.03,Efficient wiring harness.,wiringharness,BrandA,17.81,0.95,"(0.24, 0.21, 0.28)","{'Copper': 81, 'Plastic': 11}",high,15.1,11.9,179.69,14598,36
WH6963,SafeConnect 3,33,82.57,Flexible wiring harness.,wiringharness,BrandB,17.09,0.84,"(0.28, 0.21, 0.29)","{'Copper': 75, 'Plastic': 22}",low,36.2,14.6,528.52,11880,60
WH8526,SafeConnect 2,17,95.63,Durable wiring harness.,wiringharness,BrandB,17.27,0.75,"(0.21, 0.27, 0.29)","{'Copper': 89, 'Plastic': 14}",high,14.5,10.6,153.7,14912,4
WH2892,CablePro 2,17,84.57,Flexible wiring harness.,wiringharness,BrandC,17.91,0.56,"(0.22, 0.27, 0.3)","{'Copper': 79, 'Plastic': 28}",undefined,24.6,10.2,250.92,12743,10
WH6357,WireFlex 2,22,95.1,Durable wiring harness.,wiringharness,BrandC,17.34,0.63,"(0.28, 0.26, 0.23)","{'Copper': 86, 'Plastic': 10}",undefined,29.3,16.2,474.66,11049,0
WH8304,CablePro 4,10,81.63,Durable wiring harness.,wiringharness,BrandA,17.71,0.91,"(0.28, 0.26, 0.29)","{'Copper': 75, 'Plastic': 16}",medium,44.7,16.8,750.96,11407,19
WH5660,PowerLine 4,15,90.17,Durable wiring harness.,wiringharness,BrandD,17.13,0.92,"(0.29, 0.21, 0.24)","{'Copper': 78, 'Plastic': 20}",medium,37.9,10.9,413.11,11409,-20
WH2102,WireFlex 2,36,64.18,Efficient wiring harness.,wiringharness,BrandD,17.72,0.54,"(0.27, 0.29, 0.23)","{'Copper': 80, 'Plastic': 21}",high,14.3,17.6,251.68,13880,14
WH9562,CablePro 3,14,75.35,Durable wiring harness.,wiringharness,BrandD,17.08,0.89,"(0.22, 0.26, 0.29)","{'Copper': 87, 'Plastic': 11}",high,38.7,11.8,456.66,13354,25
WH9038,SafeConnect 3,15,62.54,Efficient wiring harness.,wiringharness,BrandA,17.51,0.52,"(0.28, 0.27, 0.25)","{'Copper': 89, 'Plastic': 11}",low,29.1,13.1,381.21,14381,69
WH9379,SafeConnect 2,34,53.87,Efficient wiring harness.,wiringharness,BrandD,17.79,0.78,"(0.26, 0.28, 0.27)","{'Copper': 89, 'Plastic': 20}",low,16.6,14.9,247.34,13679,73
WH1013,PowerLine 4,13,80.58,Flexible wiring harness.,wiringharness,BrandC,17.74,0.68,"(0.27, 0.28, 0.22)","{'Copper': 88, 'Plastic': 28}",low,23.9,17.8,425.42,12080,45
WH1646,PowerLine 4,36,72.59,Flexible wiring harness.,wiringharness,BrandB,17.14,0.87,"(0.29, 0.28, 0.29)","{'Copper': 83, 'Plastic': 30}",low,19.7,10.6,208.82,14175,15
WH2468,WireFlex 1,48,77.42,Reliable wiring harness.,wiringharness,BrandB,17.52,0.52,"(0.25, 0.28, 0.28)","{'Copper': 78, 'Plastic': 16}",medium,47.3,15.1,714.23,11307,23
WH2299,SafeConnect 3,8,87.68,Efficient wiring harness.,wiringharness,BrandB,17.16,0.88,"(0.29, 0.26, 0.27)","{'Copper': 81, 'Plastic': 26}",medium,27.0,13.7,369.9,13241,54
WH4483,PowerLine 1,14,88.31,Reliable wiring harness.,wiringharness,BrandA,17.99,0.68,"(0.2, 0.28, 0.22)","{'Copper': 79, 'Plastic': 18}",low,34.2,17.3,591.66,12738,68
WH9597,PowerLine 5,35,85.77,Durable wiring harness.,wiringharness,BrandC,17.44,0.62,"(0.2, 0.29, 0.26)","{'Copper': 90, 'Plastic': 23}",low,15.7,16.9,265.33,11816,71
WH4243,WireFlex 2,22,82.04,Flexible wiring harness.,wiringharness,BrandB,17.59,0.91,"(0.24, 0.23, 0.25)","{'Copper': 72, 'Plastic': 13}",medium,28.5,17.9,510.15,14782,44
WH4026,PowerLine 7,47,94.84,Efficient wiring harness.,wiringharness,BrandB,17.62,0.64,"(0.29, 0.23, 0.29)","{'Copper': 80, 'Plastic': 18}",low,28.8,13.7,394.56,11682,1
WH9844,SafeConnect 3,18,64.69,Reliable wiring harness.,wiringharness,BrandC,17.74,0.68,"(0.21, 0.29, 0.3)","{'Copper': 72, 'Plastic': 21}",medium,15.1,17.8,268.78,11533,29
WH2681,SafeConnect 1,8,72.81,Efficient wiring harness.,wiringharness,BrandA,17.34,0.78,"(0.25, 0.3, 0.27)","{'Copper': 86, 'Plastic': 28}",medium,34.7,18.6,645.42,14130,6
WH9166,CablePro 2,40,72.5,Durable wiring harness.,wiringharness,BrandB,17.85,0.58,"(0.26, 0.26, 0.28)","{'Copper': 82, 'Plastic': 10}",low,14.9,19.3,287.57,14218,-5
WH7804,SafeConnect 4,40,93.37,Reliable wiring harness.,wiringharness,BrandC,17.6,0.91,"(0.22, 0.25, 0.27)","{'Copper': 71, 'Plastic': 10}",undefined,19.5,13.6,265.2,11199,77
WH1178,SafeConnect 3,15,61.26,Reliable wiring harness.,wiringharness,BrandD,17.47,0.82,"(0.25, 0.2, 0.26)","{'Copper': 84, 'Plastic': 21}",low,41.5,13.9,576.85,10551,19
WH3441,CablePro 8,44,62.69,Efficient wiring harness.,wiringharness,BrandA,17.68,0.84,"(0.2, 0.24, 0.25)","{'Copper': 70, 'Plastic': 13}",high,36.6,16.3,596.58,13272,21
WH7502,CablePro 4,5,89.22,Flexible wiring harness.,wiringharness,BrandC,17.02,0.81,"(0.27, 0.27, 0.22)","{'Copper': 82, 'Plastic': 20}",medium,46.2,12.6,582.12,11578,43
WH6181,CablePro 1,14,92.86,Durable wiring harness.,wiringharness,BrandD,17.74,0.63,"(0.23, 0.2, 0.21)","{'Copper': 83, 'Plastic': 30}",low,39.4,19.8,780.12,13124,-1
WH5218,PowerLine 6,41,68.19,Reliable wiring harness.,wiringharness,BrandC,17.8,0.85,"(0.24, 0.24, 0.21)","{'Copper': 74, 'Plastic': 26}",low,16.7,13.3,222.11,11504,-2
WH3649,SafeConnect 2,27,60.02,Reliable wiring harness.,wiringharness,BrandC,17.0,0.86,"(0.21, 0.29, 0.21)","{'Copper': 72, 'Plastic': 11}",low,28.6,13.3,380.38,11392,15
WH8990,CablePro 9,23,73.52,Flexible wiring harness.,wiringharness,BrandD,17.38,0.83,"(0.25, 0.25, 0.29)","{'Copper': 85, 'Plastic': 30}",high,26.3,11.3,297.19,12821,35
WH4608,WireFlex 3,22,64.56,Reliable wiring harness.,wiringharness,BrandA,17.9,0.89,"(0.27, 0.3, 0.27)","{'Copper': 88, 'Plastic': 27}",low,42.1,12.1,509.41,11045,38
WH5026,SafeConnect 4,33,75.63,Efficient wiring harness.,wiringharness,BrandA,17.66,0.78,"(0.2, 0.26, 0.29)","{'Copper': 77, 'Plastic': 28}",undefined,24.0,13.9,333.6,13244,-10
WH4960,SafeConnect 9,4,77.72,Reliable wiring harness.,wiringharness,BrandA,17.81,0.73,"(0.22, 0.22, 0.25)","{'Copper': 70, 'Plastic': 12}",undefined,41.1,19.1,785.01,10462,-2
WH9653,WireFlex 5,9,93.14,Efficient wiring harness.,wiringharness,BrandA,17.64,0.72,"(0.27, 0.27, 0.23)","{'Copper': 87, 'Plastic': 25}",undefined,18.6,11.4,212.04,10130,62
WH7479,PowerLine 1,40,69.48,Durable wiring harness.,wiringharness,BrandB,17.42,0.75,"(0.23, 0.24, 0.29)","{'Copper': 74, 'Plastic': 23}",low,45.9,11.9,546.21,13312,2
WH9786,WireFlex 1,29,63.3,Flexible wiring harness.,wiringharness,BrandD,17.2,0.74,"(0.22, 0.3, 0.22)","{'Copper': 76, 'Plastic': 21}",undefined,24.4,12.5,305.0,13897,29
WH1501,PowerLine 9,47,86.64,Efficient wiring harness.,wiringharness,BrandD,17.24,0.52,"(0.21, 0.22, 0.26)","{'Copper': 74, 'Plastic': 30}",low,43.2,10.9,470.88,10547,-17
WH7663,SafeConnect 8,21,94.19,Reliable wiring harness.,wiringharness,BrandA,17.24,0.67,"(0.23, 0.29, 0.23)","{'Copper': 85, 'Plastic': 15}",undefined,22.5,15.1,339.75,13613,59
WH9937,PowerLine 2,27,88.75,Reliable wiring harness.,wiringharness,BrandC,17.34,0.72,"(0.2, 0.22, 0.22)","{'Copper': 77, 'Plastic': 11}",medium,32.3,17.4,562.02,13653,-4
WH7618,SafeConnect 5,50,95.72,Flexible wiring harness.,wiringharness,BrandB,17.15,0.86,"(0.23, 0.21, 0.27)","{'Copper': 88, 'Plastic': 18}",high,28.5,14.6,416.1,12431,11
WH2310,PowerLine 2,30,98.52,Durable wiring harness.,wiringharness,BrandD,17.31,0.81,"(0.23, 0.23, 0.22)","{'Copper': 87, 'Plastic': 20}",high,43.4,19.1,828.94,11105,31
WH9565,PowerLine 7,44,71.38,Reliable wiring harness.,wiringharness,BrandC,17.78,0.5,"(0.27, 0.25, 0.24)","{'Copper': 76, 'Plastic': 18}",low,46.1,11.8,543.98,12023,43
WH2225,SafeConnect 7,30,99.11,Durable wiring harness.,wiringharness,BrandD,17.31,0.63,"(0.22, 0.28, 0.2)","{'Copper': 76, 'Plastic': 21}",high,32.4,17.1,554.04,12508,-3
WH5420,CablePro 2,21,61.54,Flexible wiring harness.,wiringharness,BrandA,17.12,0.91,"(0.28, 0.25, 0.21)","{'Copper': 75, 'Plastic': 13}",low,18.2,19.8,360.36,11916,33
WH9550,WireFlex 7,11,52.11,Flexible wiring harness.,wiringharness,BrandB,17.32,0.85,"(0.22, 0.21, 0.28)","{'Copper': 89, 'Plastic': 13}",undefined,32.7,10.5,343.35,11147,-8
WH7112,SafeConnect 7,7,65.74,Durable wiring harness.,wiringharness,BrandD,17.69,0.54,"(0.26, 0.22, 0.22)","{'Copper': 71, 'Plastic': 19}",high,12.4,16.5,204.6,13927,45
WH7516,CablePro 7,18,86.37,Efficient wiring harness.,wiringharness,BrandB,17.37,0.78,"(0.28, 0.21, 0.25)","{'Copper': 72, 'Plastic': 10}",undefined,44.8,18.0,806.4,14371,19
WH1042,SafeConnect 5,3,76.78,Efficient wiring harness.,wiringharness,BrandC,17.5,0.73,"(0.29, 0.25, 0.28)","{'Copper': 75, 'Plastic': 18}",high,25.0,11.6,290.0,11529,10
WH7903,CablePro 6,26,58.87,Flexible wiring harness.,wiringharness,BrandA,17.54,0.88,"(0.26, 0.23, 0.22)","{'Copper': 82, 'Plastic': 14}",high,24.1,10.4,250.64,12088,1
WH2526,PowerLine 4,2,94.97,Durable wiring harness.,wiringharness,BrandB,17.12,0.81,"(0.28, 0.24, 0.27)","{'Copper': 77, 'Plastic': 24}",low,46.4,17.9,830.56,11347,32
WH3609,WireFlex 9,6,98.76,Durable wiring harness.,wiringharness,BrandA,17.77,0.78,"(0.23, 0.29, 0.2)","{'Copper': 77, 'Plastic': 11}",low,30.2,19.1,576.82,14140,50
WH7040,PowerLine 3,7,69.52,Durable wiring harness.,wiringharness,BrandC,17.79,0.84,"(0.28, 0.29, 0.26)","{'Copper': 75, 'Plastic': 11}",high,37.4,19.1,714.34,10661,8
WH8193,PowerLine 5,29,55.79,Reliable wiring harness.,wiringharness,BrandA,17.84,0.91,"(0.28, 0.25, 0.27)","{'Copper': 84, 'Plastic': 30}",low,24.3,14.2,345.06,13570,49
WH5201,SafeConnect 9,21,87.79,Flexible wiring harness.,wiringharness,BrandD,17.06,0.82,"(0.26, 0.24, 0.27)","{'Copper': 77, 'Plastic': 26}",high,21.7,12.4,269.08,13262,47
WH2213,WireFlex 5,24,75.51,Efficient wiring harness.,wiringharness,BrandD,17.08,0.58,"(0.25, 0.29, 0.29)","{'Copper': 77, 'Plastic': 27}",low,41.1,16.0,657.6,10917,16
WH9869,SafeConnect 1,12,59.48,Flexible wiring harness.,wiringharness,BrandA,17.66,0.62,"(0.25, 0.21, 0.26)","{'Copper': 78, 'Plastic': 19}",medium,36.6,18.5,677.1,12585,39
WH6112,PowerLine 4,39,67.16,Efficient wiring harness.,wiringharness,BrandD,17.94,0.99,"(0.21, 0.29, 0.25)","{'Copper': 71, 'Plastic': 26}",undefined,23.0,17.6,404.8,10339,56
WH1891,WireFlex 4,13,52.78,Reliable wiring harness.,wiringharness,BrandA,17.8,0.59,"(0.24, 0.26, 0.23)","{'Copper': 87, 'Plastic': 26}",medium,41.6,14.0,582.4,13854,49
WH3659,PowerLine 2,34,98.1,Efficient wiring harness.,wiringharness,BrandB,17.11,0.53,"(0.23, 0.22, 0.28)","{'Copper': 71, 'Plastic': 23}",medium,28.2,18.3,516.06,10682,32
WH4940,WireFlex 3,26,84.16,Flexible wiring harness.,wiringharness,BrandD,17.49,0.73,"(0.23, 0.24, 0.28)","{'Copper': 72, 'Plastic': 16}",undefined,12.6,18.3,230.58,10837,-5
WH3251,CablePro 1,23,73.89,Efficient wiring harness.,wiringharness,BrandA,17.3,0.67,"(0.22, 0.23, 0.24)","{'Copper': 70, 'Plastic': 19}",medium,38.9,16.8,653.52,11264,57
WH5448,WireFlex 9,39,62.65,Durable wiring harness.,wiringharness,BrandC,17.39,0.92,"(0.21, 0.21, 0.25)","{'Copper': 72, 'Plastic': 28}",medium,21.2,18.3,387.96,11709,4
WH9898,PowerLine 1,31,86.86,Flexible wiring harness.,wiringharness,BrandB,17.24,0.8,"(0.25, 0.25, 0.23)","{'Copper': 81, 'Plastic': 21}",high,17.7,17.3,306.21,11996,-18
WH6905,WireFlex 5,46,67.03,Efficient wiring harness.,wiringharness,BrandC,17.12,1.0,"(0.25, 0.29, 0.22)","{'Copper': 70, 'Plastic': 25}",medium,27.2,13.8,375.36,11883,-9
WH3648,SafeConnect 4,34,59.79,Reliable wiring harness.,wiringharness,BrandD,17.17,0.71,"(0.21, 0.27, 0.23)","{'Copper': 88, 'Plastic': 11}",low,44.5,16.1,716.45,14766,72
WH7357,SafeConnect 2,17,77.2,Flexible wiring harness.,wiringharness,BrandC,17.16,0.83,"(0.23, 0.27, 0.26)","{'Copper': 78, 'Plastic': 12}",medium,44.6,17.2,767.12,12670,9
WH4393,PowerLine 6,50,99.45,Durable wiring harness.,wiringharness,BrandB,17.86,0.81,"(0.21, 0.22, 0.29)","{'Copper': 89, 'Plastic': 30}",undefined,42.9,19.6,840.84,14547,-11
WH3150,SafeConnect 4,8,56.47,Efficient wiring harness.,wiringharness,BrandA,17.64,0.67,"(0.25, 0.24, 0.29)","{'Copper': 90, 'Plastic': 17}",undefined,12.8,15.9,203.52,10329,31
WH7348,WireFlex 3,44,61.02,Durable wiring harness.,wiringharness,BrandB,17.93,0.8,"(0.25, 0.29, 0.24)","{'Copper': 70, 'Plastic': 21}",high,44.2,12.4,548.08,12498,79
WH2751,SafeConnect 3,5,58.0,Efficient wiring harness.,wiringharness,BrandC,17.29,0.72,"(0.2, 0.3, 0.23)","{'Copper': 74, 'Plastic': 10}",low,18.6,19.2,357.12,13654,42
WH5168,PowerLine 4,33,86.21,Efficient wiring harness.,wiringharness,BrandA,17.36,0.59,"(0.25, 0.21, 0.24)","{'Copper': 83, 'Plastic': 24}",undefined,33.8,13.7,463.06,14330,-6
WH6745,WireFlex 9,44,82.02,Durable wiring harness.,wiringharness,BrandC,17.17,0.76,"(0.27, 0.28, 0.23)","{'Copper': 70, 'Plastic': 26}",high,22.5,16.0,360.0,14669,-11
