id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,torque,horsepower,transmission_type
TR8096,ShiftPro 2,37,2531.64,Reliable automatic transmission.,transmission,BrandC,17.38,73.81,"(1.39, 0.88, 1.03)","{'Steel': 60, 'Aluminum': 40}",low,271.8,161.8,Automatic
TR7537,DriveMax 2,17,1831.15,Durable manual transmission.,transmission,BrandA,17.59,106.66,"(1.27, 0.75, 0.82)","{'Aluminum': 80, 'Titanium': 20}",low,254.6,102.6,Manual
TR9550,TurboClutch 9,48,1855.57,Smooth automatic transmission.,transmission,BrandE,17.46,83.49,"(1.03, 1.45, 1.22)","{'Aluminum': 80, 'Titanium': 20}",medium,299.0,235.5,Automatic
TR7200,HeavyTorque 7,43,2023.34,Efficient cvt transmission.,transmission,BrandD,17.53,117.31,"(1.06, 1.35, 0.97)","{'Copper': 50, 'Steel': 50}",medium,205.9,126.7,CVT
TR2938,HeavyTorque 2,33,2373.83,Smooth manual transmission.,transmission,BrandB,17.55,116.21,"(0.78, 0.76, 1.39)","{'Copper': 50, 'Steel': 50}",medium,504.7,186.0,Manual
TR3546,ShiftPro 4,45,1517.66,Durable cvt transmission.,transmission,BrandD,17.47,111.62,"(0.59, 1.33, 0.65)","{'Steel': 60, 'Aluminum': 40}",high,492.6,136.8,CVT
TR8869,HeavyTorque 5,26,1242.99,Durable automatic transmission.,transmission,BrandB,17.42,75.48,"(0.83, 0.67, 0.91)","{'Steel': 70, 'Aluminum': 30}",medium,566.3,209.2,Automatic
TR1297,HeavyTorque 9,9,1749.34,Efficient automatic transmission.,transmission,BrandB,17.36,76.93,"(0.57, 0.54, 1.21)","{'Steel': 75, 'Iron': 25}",low,206.2,184.9,Automatic
TR6810,DriveMax 5,48,2589.79,Smooth dual-clutch transmission.,transmission,BrandC,17.46,95.39,"(0.86, 0.97, 0.55)","{'Copper': 50, 'Steel': 50}",low,201.7,100.2,Dual-Clutch
TR8096,DriveMax 4,42,2696.7,Reliable automatic transmission.,transmission,BrandC,17.4,82.97,"(1.45, 0.56, 0.61)","{'Steel': 75, 'Iron': 25}",low,434.0,151.0,Automatic
TR4628,SwiftShift 1,46,2707.43,Smooth automatic transmission.,transmission,BrandB,17.4,93.31,"(0.85, 0.83, 0.83)","{'Steel': 70, 'Aluminum': 30}",medium,208.4,213.5,Automatic
TR2669,HeavyTorque 9,44,2108.86,Smooth manual transmission.,transmission,BrandA,17.45,80.13,"(0.75, 0.59, 0.77)","{'Steel': 60, 'Aluminum': 40}",high,408.6,129.6,Manual
TR2730,SwiftShift 2,32,2630.1,Efficient automatic transmission.,transmission,BrandD,17.3,86.93,"(1.17, 1.28, 0.89)","{'Copper': 50, 'Steel': 50}",medium,438.1,173.6,Automatic
TR9693,HeavyTorque 5,35,1461.26,Durable dual-clutch transmission.,transmission,BrandB,17.55,129.67,"(0.52, 1.0, 0.99)","{'Steel': 60, 'Aluminum': 40}",medium,292.9,127.5,Dual-Clutch
TR5751,SwiftShift 3,8,1638.55,Durable cvt transmission.,transmission,BrandB,17.4,74.17,"(0.91, 0.5, 0.71)","{'Copper': 50, 'Steel': 50}",low,291.4,105.7,CVT
TR5715,DriveMax 3,16,1050.27,Efficient automatic transmission.,transmission,BrandB,17.45,120.68,"(0.85, 1.08, 1.31)","{'Copper': 50, 'Steel': 50}",high,289.8,100.4,Automatic
TR6804,DriveMax 8,27,2338.45,Efficient dual-clutch transmission.,transmission,BrandA,17.48,99.82,"(1.23, 0.91, 1.38)","{'Copper': 50, 'Steel': 50}",medium,500.3,165.1,Dual-Clutch
TR3584,HeavyTorque 6,16,1238.89,Reliable dual-clutch transmission.,transmission,BrandC,17.58,86.24,"(0.57, 1.05, 0.57)","{'Steel': 60, 'Aluminum': 40}",low,290.4,110.3,Dual-Clutch
TR4163,DriveMax 6,12,2366.19,Reliable manual transmission.,transmission,BrandD,17.48,114.88,"(1.05, 1.35, 0.56)","{'Steel': 70, 'Aluminum': 30}",high,526.6,160.2,Manual
TR6687,DriveMax 2,6,1620.66,Smooth automatic transmission.,transmission,BrandE,17.35,82.85,"(0.6, 1.0, 1.02)","{'Aluminum': 80, 'Titanium': 20}",medium,344.8,237.6,Automatic
TR4937,TurboClutch 5,3,2060.26,Efficient cvt transmission.,transmission,BrandC,17.37,117.22,"(0.97, 0.83, 0.89)","{'Steel': 75, 'Iron': 25}",high,361.4,133.8,CVT
TR2389,ShiftPro 1,13,2631.52,Reliable automatic transmission.,transmission,BrandA,17.52,77.95,"(0.55, 0.85, 0.7)","{'Steel': 60, 'Aluminum': 40}",medium,501.0,245.3,Automatic
TR3237,SwiftShift 3,44,1864.81,Efficient dual-clutch transmission.,transmission,BrandC,17.47,81.28,"(0.91, 0.78, 0.77)","{'Copper': 50, 'Steel': 50}",medium,485.3,155.6,Dual-Clutch
TR6906,TurboClutch 9,43,1742.6,Reliable manual transmission.,transmission,BrandB,17.45,120.3,"(1.04, 0.63, 0.73)","{'Aluminum': 80, 'Titanium': 20}",low,299.7,198.0,Manual
TR3083,SwiftShift 4,4,2704.87,Efficient cvt transmission.,transmission,BrandB,17.36,93.61,"(0.97, 1.11, 0.7)","{'Steel': 70, 'Aluminum': 30}",low,321.2,212.2,CVT
TR9547,TurboClutch 2,29,2164.33,Efficient dual-clutch transmission.,transmission,BrandB,17.6,83.11,"(0.68, 0.56, 0.57)","{'Steel': 60, 'Aluminum': 40}",high,406.0,111.7,Dual-Clutch
TR9364,TurboClutch 4,43,2554.18,Efficient automatic transmission.,transmission,BrandE,17.57,87.17,"(1.21, 1.06, 0.86)","{'Aluminum': 80, 'Titanium': 20}",high,554.2,102.3,Automatic
TR2415,ShiftPro 9,41,1850.18,Durable dual-clutch transmission.,transmission,BrandD,17.45,125.89,"(0.62, 0.88, 0.81)","{'Steel': 60, 'Aluminum': 40}",medium,240.1,161.2,Dual-Clutch
TR5588,TurboClutch 4,27,1225.88,Durable cvt transmission.,transmission,BrandE,17.43,99.58,"(1.35, 0.97, 0.78)","{'Steel': 60, 'Aluminum': 40}",medium,206.9,169.8,CVT
TR4491,SwiftShift 3,2,2939.71,Efficient dual-clutch transmission.,transmission,BrandE,17.47,97.42,"(1.31, 1.18, 0.87)","{'Aluminum': 80, 'Titanium': 20}",low,431.6,129.7,Dual-Clutch
TR9937,DriveMax 4,42,1826.5,Reliable manual transmission.,transmission,BrandD,17.34,99.57,"(1.24, 0.82, 1.31)","{'Steel': 75, 'Iron': 25}",high,516.5,112.7,Manual
TR7168,SwiftShift 6,41,1307.58,Smooth cvt transmission.,transmission,BrandD,17.49,114.15,"(1.25, 0.77, 0.89)","{'Steel': 70, 'Aluminum': 30}",low,422.5,100.6,CVT
TR2356,DriveMax 7,11,2906.88,Smooth cvt transmission.,transmission,BrandB,17.33,110.51,"(0.61, 0.61, 0.54)","{'Copper': 50, 'Steel': 50}",high,561.1,131.2,CVT
TR1203,HeavyTorque 2,40,2542.94,Efficient automatic transmission.,transmission,BrandA,17.33,82.24,"(1.49, 0.72, 1.08)","{'Steel': 75, 'Iron': 25}",high,231.5,174.2,Automatic
TR4193,SwiftShift 1,22,2958.92,Durable automatic transmission.,transmission,BrandC,17.33,75.34,"(0.79, 0.69, 0.77)","{'Steel': 75, 'Iron': 25}",high,208.0,190.2,Automatic
TR5370,ShiftPro 8,17,1671.72,Reliable automatic transmission.,transmission,BrandD,17.6,108.47,"(1.38, 1.11, 1.01)","{'Steel': 60, 'Aluminum': 40}",low,476.1,140.7,Automatic
TR3726,ShiftPro 5,34,2998.65,Reliable cvt transmission.,transmission,BrandB,17.39,102.8,"(1.47, 1.42, 1.42)","{'Copper': 50, 'Steel': 50}",low,453.7,162.3,CVT
TR7955,HeavyTorque 7,22,2450.98,Efficient automatic transmission.,transmission,BrandB,17.34,89.97,"(0.77, 0.88, 1.48)","{'Steel': 75, 'Iron': 25}",low,308.8,247.1,Automatic
TR1639,SwiftShift 2,16,1337.53,Smooth cvt transmission.,transmission,BrandB,17.52,124.23,"(1.49, 1.2, 0.5)","{'Steel': 60, 'Aluminum': 40}",medium,369.3,186.5,CVT
TR6779,DriveMax 7,29,2639.63,Smooth dual-clutch transmission.,transmission,BrandA,17.53,99.39,"(0.55, 1.43, 1.31)","{'Copper': 50, 'Steel': 50}",high,232.6,246.5,Dual-Clutch
TR8485,DriveMax 8,32,1897.08,Reliable cvt transmission.,transmission,BrandD,17.39,96.13,"(1.01, 0.55, 0.85)","{'Steel': 75, 'Iron': 25}",medium,347.0,164.3,CVT
TR7928,ShiftPro 2,30,2081.47,Durable automatic transmission.,transmission,BrandE,17.59,98.59,"(0.59, 0.71, 0.67)","{'Aluminum': 80, 'Titanium': 20}",low,540.0,194.0,Automatic
TR2356,DriveMax 7,17,1117.89,Reliable cvt transmission.,transmission,BrandC,17.57,90.04,"(1.38, 0.95, 0.51)","{'Steel': 75, 'Iron': 25}",low,331.5,238.6,CVT
TR7138,DriveMax 7,26,1367.81,Reliable dual-clutch transmission.,transmission,BrandE,17.49,107.2,"(1.14, 0.71, 0.68)","{'Steel': 70, 'Aluminum': 30}",low,434.7,141.0,Dual-Clutch
TR8003,ShiftPro 3,43,1475.36,Efficient dual-clutch transmission.,transmission,BrandA,17.35,92.43,"(1.11, 1.38, 0.81)","{'Copper': 50, 'Steel': 50}",low,490.6,194.6,Dual-Clutch
TR5717,SwiftShift 3,46,1024.05,Efficient manual transmission.,transmission,BrandA,17.52,122.13,"(1.02, 1.17, 1.43)","{'Steel': 75, 'Iron': 25}",high,495.6,163.8,Manual
TR8736,TurboClutch 3,22,1037.49,Durable cvt transmission.,transmission,BrandE,17.38,70.29,"(0.72, 1.06, 1.01)","{'Steel': 60, 'Aluminum': 40}",high,482.7,206.7,CVT
TR8589,TurboClutch 6,16,2304.95,Durable dual-clutch transmission.,transmission,BrandD,17.49,70.01,"(1.39, 0.9, 0.91)","{'Aluminum': 80, 'Titanium': 20}",low,321.1,142.3,Dual-Clutch
TR3707,TurboClutch 7,22,1078.8,Reliable dual-clutch transmission.,transmission,BrandC,17.55,95.38,"(1.29, 1.43, 0.84)","{'Steel': 60, 'Aluminum': 40}",medium,443.4,235.2,Dual-Clutch
TR9820,HeavyTorque 4,22,2153.31,Smooth cvt transmission.,transmission,BrandB,17.58,126.48,"(0.9, 0.96, 1.15)","{'Steel': 70, 'Aluminum': 30}",high,483.6,201.8,CVT
TR2110,ShiftPro 3,35,2679.53,Smooth manual transmission.,transmission,BrandB,17.52,97.42,"(0.57, 1.48, 0.68)","{'Steel': 75, 'Iron': 25}",medium,307.2,106.1,Manual
TR7316,SwiftShift 5,8,2868.98,Durable automatic transmission.,transmission,BrandB,17.39,120.73,"(1.08, 1.23, 0.53)","{'Steel': 75, 'Iron': 25}",high,596.9,192.3,Automatic
TR8931,TurboClutch 3,22,1669.36,Smooth manual transmission.,transmission,BrandB,17.48,121.53,"(1.41, 1.48, 1.2)","{'Steel': 70, 'Aluminum': 30}",medium,420.2,243.9,Manual
TR1357,ShiftPro 5,32,1415.9,Smooth cvt transmission.,transmission,BrandA,17.37,106.81,"(1.45, 1.39, 1.46)","{'Steel': 70, 'Aluminum': 30}",high,459.5,185.8,CVT
TR8904,HeavyTorque 1,40,1924.18,Efficient cvt transmission.,transmission,BrandC,17.38,77.31,"(1.17, 1.0, 0.62)","{'Steel': 60, 'Aluminum': 40}",medium,215.0,232.2,CVT
TR3739,SwiftShift 2,23,1311.93,Reliable automatic transmission.,transmission,BrandB,17.57,101.12,"(1.03, 1.45, 1.04)","{'Steel': 60, 'Aluminum': 40}",medium,230.0,199.5,Automatic
TR6185,TurboClutch 3,8,2585.0,Efficient dual-clutch transmission.,transmission,BrandB,17.36,90.0,"(1.08, 1.19, 1.08)","{'Steel': 70, 'Aluminum': 30}",high,202.7,124.2,Dual-Clutch
TR9761,SwiftShift 8,43,1627.71,Reliable cvt transmission.,transmission,BrandC,17.42,93.65,"(1.18, 1.03, 1.32)","{'Copper': 50, 'Steel': 50}",medium,564.6,144.9,CVT
TR5247,ShiftPro 4,46,2326.15,Reliable cvt transmission.,transmission,BrandD,17.35,129.34,"(0.87, 0.85, 0.66)","{'Steel': 60, 'Aluminum': 40}",low,238.8,177.6,CVT
TR7777,TurboClutch 9,3,2600.66,Reliable dual-clutch transmission.,transmission,BrandD,17.49,90.07,"(0.79, 1.11, 1.4)","{'Steel': 70, 'Aluminum': 30}",high,566.5,241.7,Dual-Clutch
